"","Table 4.12:  Shrimp Production (Aquaculture) (Mt)","","","","","","","","","",""
"District","Description","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","No. of Ponds","2,350","2,186","2,279","2,903","4,235","4,184","4,016","3,221","4,155","3,264"
"Puttalam","","","","","","","","","","",""
"","Area (Ha)","1,186","1,077","1,202","1,347","2,038","2,011","1,890","1,576","1,987","1,626"
"","Production (Mt)","3,319","3,940","3,022","4,180","4,850","6,702","5,825","4,307","7,776","5,437"
"","No. of Farms","","","","","","","65","","76","66"
"","No. of Ponds","18","-","107","137","224","","186","195","192","178"
"Batticaloa","","","","","","","","","","",""
"","Area (Ha)","38","49","123","225","205","","109","128","121","110"
"","Production (Mt)","161","208","270","250","300","388","205","323","404","421"
"","No. of Farms","","","","","","","","","",""
"","No. of Ponds","","","","","","","","","","23"
"Mannar","","","","","","","","","","",""
"","Area (Ha)","","","","","","","","","","22"
"","Production (Mt)","","","","","","","","","","542"
