Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Variety,,,2022,2023,,"% Change 1st week of Sep. 2023, compared to:",, ,,,,,,
Sinhala Name,,Common Name,1st week of Sep.,4th  week of Aug.,1st week of Sep.,Last week ,Last Year,,, , , ,,
1,තෝරා,Seer (L),2540,1900,1800,-0.05263157894736842,-0.29133858267716534,, ,,,,,
2,පරව් (ලොකු),Trevally (L),1600,1183.33,1475,0.24648238445742107,-0.078125,  , , ,, ,, 
3,ගල්මාළු (ලොකු),Rock fish (L),1575,1428,1250,-0.12464985994397759,-0.20634920634920634, ,, ,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),1250,1157.14,750,-0.35185025148210247,-0.4,, ,, , , ,
5,තලපත්,Sail fish,2108.33,1960.67,1985.71,0.012771144557727697,-0.05815977574668097,,,,, ,,
6,බලයා,Skipjack tuna,928.57,854.17,921.43,0.07874310734397133,-0.007689242598834875,,,,,, ,
7,කෙළවල්ලා,Yellowfin tuna,1566.67,1350,1491.67,0.10494074074074079,-0.04787223856970517, ,,,,, ,
8,සාලයා (මට්ට),Sardinella,552.14,478.57,521.43,0.089558476293959,-0.055619951461585895,,,,,,,
9,මෝරා,Sharks,1300,1125,1045.83,-0.0703733333333334,-0.19551538461538467,,,,, , ,
10,හුරුල්ලා,Herrings,839.24,553.57,610,0.10193832758278076,-0.27315189933749584,,,,,,,
11,කුම්බලා,Indian Mackerel,1028.57,857.14,950,0.10833702779009265,-0.07638760609389729,,,,,,,
12,කාරල්ලා,Pony fish,480,442.86,339.29,-0.23386623312107663,-0.29314583333333327,,,,,,,
13,කටුවල්ලා,Katuwalla,450,550,700,0.2727272727272727,0.5555555555555556,,, ,,,,
14,හාල්මැස්සා,Anchovy,612.5,485.77,468,-0.0365810980505177,-0.23591836734693877,,, ,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1557.14,1471.43,1483.33,0.008087370788960307,-0.04740100440551278,,,,,,,
16, කොප්පරා,Marlins,2420.83,2400,2442.86,0.017858333333333386,0.009100184647414399,, ,,,,,
17,අලගොඩුවා,Frigate tuna(L),900,558.33,750,0.34329160174090584,-0.16666666666666666,,,,,,,
18,ඇටවල්ලා,Kawakawa,1035.71,733.33,928.37,0.2659648452947513,-0.10363904954089467,,, ,,,,
19,ඇටිස්සා,Red Bream(L),1400,1508.33,1421.43,-0.05761338699091039,0.015307142857142903,,,,,,,
20,බෝල්ලා,Big eye scade,1010,910,850,-0.06593406593406594,-0.15841584158415842,,,, ,,,
21,ගින්නටි පරව්,Ginnati Paraw,1075,1375,1258.33,-0.08485090909090914,0.17053953488372087,, ,,, ,,
22,හබරලි,Needle fish,1208.57,1100,1125,0.022727272727272728,-0.06914783587214637,,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1453.33,1166.67,1057.14,-0.0938825889068888,-0.2726084234138151,, , ,,,,
24,ජීලාවා,Barracuda(L),1600,1420,1443.33,0.01642957746478868,-0.09791875000000004,,, ,,,,
25,ලින්නා,Indian Scad(L),1071.43,464.29,685.71,0.476900213228801,-0.3600048533268622,,, ,,,,
26,ලින්නා,Indian Scad(S),1000,380,450,0.18421052631578946,-0.55,,,,,,,
27,ලේන පරව්,Rainbow Runner,1025,657.14,760.71,0.15760720698785655,-0.25784390243902433,,,,,,,
28,සුද්දා,Threadfin  Bream,1075,1200,1116.67,-0.06944166666666661,0.038762790697674486,,, ,,,,
29,සූඩයා,White Sardinella,456.25,341.67,385,0.12681827494365902,-0.15616438356164383,,,,,, ,
30,දැල්ලා,Squids /Cuttle fish,1579.47,1400,1875,0.3392857142857143,0.1871070675606374,,,,,,,
31,කකුළුවා(L),Sea Crabs(L),2100,2100,2157.14,0.02720952380952375,0.02720952380952375,,,, ,,,
32,තිලාපියා,Tilapia (M),,,,,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,,
