Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Variety,,,2021,2022,,"% Change 1st week of June. 2022, compared to:",, ,,,,
Sinhala Name,,Common Name,1st week of June,4th week of May,1st week of June,Last week ,Last Year,,,,,
1,තෝරා,Seer (Nl),920,1891.67,1916.67,0.013215835743020717,1.0833369565217392,,,,,
2,පරව් (ලොකු),Trevally (L),637.5,1228.57,1470,0.1965130192011852,1.3058823529411765,  ,,,,
3,ගල්මාළු (ලොකු),Rock fish (L),616.67,1320,1750,0.32575757575757575,1.8378224982567661, ,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),250,1133.33,1575,0.3897099697352052,,,,,, 
5,තලපත්,Sail fish,835.71,1716.67,1739.29,0.013176673443352473,1.081212382285721,,,,,
6,බලයා,Skipjack tuna,461.43,1150,1021.43,-0.11180000000000004,1.2136185336887502,,,,,
7,කෙළවල්ලා,Yellowfin tuna,651.67,1521.43,1555,0.02206476801430229,1.386177052802799,,,,,
8,සාලයා (මට්ට),Sardinella,182.14,457.14,658.57,0.4406308789429935,2.6157351487866483,,,,,
9,මෝරා,Sharks,600,1380,1275,-0.07608695652173914,1.125,,,,,
10,හුරුල්ලා,Herrings,454.29,928.57,991.67,0.06795395069838558,1.1829007902441169,,,,,
11,කුම්බලා,Indian Mackerel,530,1142.86,1164.29,0.01875120312199225,1.1967735849056602,,,,,
12,කාරල්ලා,Pony fish,192,390,400,0.02564102564102564,1.0833333333333333,,,,,
13,කටුවල්ලා,Katuwalla,310,490,650,0.32653061224489793,1.096774193548387,,,,,
14,හාල්මැස්සා,Anchovy,333,607.14,705,0.16118193497381167,1.117117117117117,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",771.43,1214.29,1075,-0.11470900690938735,0.39351593793344836,,,,,
16, කොප්පරා,Marlins,917.14,1950,1907.14,-0.02197948717948713,1.0794426150860283,,,,,
17,අලගොඩුවා,Frigate tuna(L),464.17,983.33,810,-0.17626839413014964,0.7450503048452075,,,,,
18,ඇටවල්ලා,Atawalla,475,918.75,860,-0.06394557823129252,0.8105263157894737,,,,,
19,ඇටිස්සා,Red Bream(L),750,1366.27,1575,0.15277360990141042,1.1,,,,,
20,බෝල්ලා,Big eye scade,503,975,1091.67,0.11966153846153854,1.1703180914512923,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,653.75,1362.5,1400,0.027522935779816515,1.1414913957934991,,,,,
22,හබරලි,Needle fish,485.71,1016.67,1025,0.008193415759292633,1.1103127380535711,,,,,
23,හැඩැල්ලා,Indian Anchovies,866.67,1225,1310,0.06938775510204082,0.5115326479513541,,,,,
24,ජීලාවා,Barracuda(L),600,1300,1466.67,0.12820769230769236,1.44445,,,,,
25,ලින්නා,Indian Scad(L),527.14,818.86,890.74,0.0877805729917202,0.6897598360966727,,,,,
26,ලින්නා,Indian Scad(S),364,718.33,799.29,0.11270585942394153,1.1958516483516481,,,,,
27,ලේන පරව්,Rainbow Runner,562.5,825,905,0.09696969696969697,0.6088888888888889,, ,,,
28,සුද්දා,Threadfin  Bream,570,1087.5,975,-0.10344827586206896,0.7105263157894737,,,,,
29,සූඩයා,White Sardinella,117.5,270,418.75,0.5509259259259259,2.5638297872340425,,,,,
30,දැල්ලා,Squids /Cuttle fish,817.86,1528.57,1516.67,-0.00778505400472328,0.8544371897390752,,,,,
31,කකුළුවා(L),Sea Crabs(L),1245,2020,1975,-0.022277227722772276,0.5863453815261044,,,,,
32,තිලාපියා,Tilapia (M),300,800,600,-0.25,1,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,
