Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2022,2023,2023,"% Change 1st week of June 2023, compared to:",
Sinhala Name,,Common Name,Average of 1st week of June,Average of 4th week of May,Average of 1st week of June,Last week ,Last Year
1,තෝරා,Seer,3260,3395,3642.5,0.07290132547864507,0.11733128834355828
2,පරව් (ලොකු),Trevally (L),2546.67,2810,2895,0.030249110320284697,0.13677861678191516
3,ගල්මාළු (ලොකු),Rock Fish (L),1900,2420,2460,0.01652892561983471,0.29473684210526313
4,තලපත්,Sail fish,2570,3398.33,3396.67,-0.0004884752216529456,0.32166147859922184
5,බලයා,Skipjack tuna,1720,1737,1694.5,-0.024467472654001152,-0.014825581395348838
6,කෙළවල්ලා,Yellowfin tuna,2666,2997,2931.67,-0.02179846513179844,0.0996511627906977
7,සාලයා (මට්ට),Sardinella,864,732,876,0.19672131147540983,0.013888888888888888
8,මෝරා,Shark,1720,2167,2167,0,0.25988372093023254
9,හුරුල්ලා,Herrings,1241,1230,1373.33,0.11652845528455279,0.10663174858984684
10,කුම්බලා,Indian mackerel,1353.33,1500,1446.64,-0.03557333333333327,0.06894844568582695
11,කාරල්ලා,Pony fish,700,,660,,-0.05714285714285714
12,කටුවල්ලා,Katuwalla,,,,,
13,හාල්මැස්සා,Anchovies,,813,920,0.13161131611316113,
14,ඉස්සා (M),Prawns (M),1415,1791.67,1907,0.0643701127997901,0.34770318021201413
15, කොප්පරා,Marlins,2902.5,3880,3850,-0.007731958762886598,0.326442721791559
16,අලගොඩුවා,Frigate tuna,1100,1210,1343,0.10991735537190082,0.22090909090909092
17,ඇටවල්ලා,Kawakawa,1106.66,1486.67,1400,-0.05829807556485304,0.2650678618545894
18,ඇටිස්සා,Red Bream(L),,,1893,,
19,බෝල්ලා,Big eye scade,1256.66,1492.5,1394,-0.0659966499162479,0.10928970445466547
20,ගින්නටි පරව්,Ginnati paraw,,1746.67,1873,0.07232619785076741,
21,හබරලි,Needle fish,,,1580,,
22,හැඩැල්ලා,Indian Anchovy,1656.67,1970,2035,0.03299492385786802,
23,ජීලාවා,Barracuda,2940,2415,2695,0.11594202898550725,-0.08333333333333333
24,ලින්නා,Indian Scade,1132.5,1393.33,1403,0.006940207990928261,0.23885209713024283
25,ලේන පරව්,Rainbow runner,1300,1520,1538,0.011842105263157895,0.18307692307692308
26,සුද්දා,Threadfin bream,1492,1663,1585,-0.04690318701142514,0.06233243967828418
27,සූඩයා,White Sardinella,,460,,,
28,දැල්ලා,Cuttle fish,1652.5,2125,2143,0.008470588235294117,0.2968229954614221
29,කකුළුවා,Sea Crabs(L),2790,2590,2630,0.015444015444015444,-0.05734767025089606
30,තිලාපියා,Thilapia (M),800,1190,1070,-0.10084033613445378,0.3375
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,
,,,,,,, 
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,, ,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
