--- 01-Wholesale.csv ---

Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Variety,,,2023,2024,,% Change   compared to:2nd week of Oct. 2024,, , ,, , ,,,,
Sinhala Name,,Common Name,2nd  week of Oct.,1st  week of Oct.,2nd  week of Oct.,Last week ,Last Year,, , , , ,,,,
1,තෝරා,Seer (L),1607.14,1785.71,1858.3333333333333,0.04066916427266086,0.15629835193781072,, , , ,,, , ,
2,පරව් (ලොකු),Trevally (L),1040,978.57,1007.1428571428571,0.029198582771653596,-0.03159340659340663,  , , , , ,, ,,
3,ගල්මාළු (ලොකු),Rock fish (L),1116.67,983.3333333333334,1041.6666666666667,0.05932203389830512,-0.06716696368070542, , , , ,,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),837.5,830,725,-0.12650602409638553,-0.13432835820895522,, , , , , ,,,
5,තලපත්,Sail fish,1750,1678.5714285714287,1558.3333333333333,-0.07163120567375897,-0.10952380952380956,,,,, ,,,,
6,බලයා,Skipjack tuna,721.43,671.4285714285714,725,0.07978723404255317,0.004948505052465312, ,, ,, , ,,,
7,කෙළවල්ලා,Yellowfin tuna,987.5,1050,958.33,-0.08730476190476187,-0.029539240506329074, ,,,,,,,,
8,සාලයා (මට්ට),Sardinella,235.71,261.42857142857144,268.57142857142856,0.027322404371584574,0.13941465602404882,,,,,,,,,
9,මෝරා,Sharks,850,1000,900,-0.1,0.058823529411764705,,, ,, , ,,,
10,හුරුල්ලා,Herrings,340,564.2857142857143,550,-0.025316455696202615,0.6176470588235294,,,,,,,,,
11,කුම්බලා,Indian Mackerel,575,687.5,564.2857142857143,-0.17922077922077914,-0.01863354037267072,,,,,,,,,
12,කාරල්ලා,Pony fish,220,175,275,0.5714285714285714,0.25,,,, ,,,,,
13,කටුවල්ලා,Katuwalla,350,450,341.6666666666667,-0.2407407407407407,-0.023809523809523756,,, ,,,,,,
14,හාල්මැස්සා,Anchovy,396,350,331.25,-0.05357142857142857,-0.16351010101010102,,, ,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1390,1535.7142857142858,1550,0.009302325581395305,0.11510791366906475,,,,,,,,,
16, කොප්පරා,Marlins,2103.57,2014.2857142857142,1828.5714285714287,-0.09219858156028361,-0.1307294605972568,, ,,,,,,,
17,අලගොඩුවා,Frigate tuna(L),610,540,550,0.018518518518518517,-0.09836065573770492,,,,,,,,,
18,ඇටවල්ලා,Kawakawa,716.67,628.5714285714286,637.5,0.01420454545454548,-0.11046925363137841,,, ,,,,,,
19,ඇටිස්සා,Red Bream(L),1166.67,1000,1214.2857142857142,0.21428571428571422,0.04081335277817562,,,,,,,,,
20,බෝල්ලා,Big eye scade,415,616.6666666666666,550,-0.10810810810810806,0.3253012048192771,,,, ,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,935.71,666.6666666666666,770.8333333333334,0.1562500000000001,-0.1762048782920634,, ,,, ,,,,
22,හබරලි,Needle fish,757.14,696.4285714285714,700,0.005128205128205105,-0.07546820931399739,,, ,, ,,,,
23,හැඩැල්ලා,Indian Anchovies,1064.29,1135.7142857142858,1170.8333333333333,0.030922431865827965,0.10010742686047346,, , , , ,,,,
24,ජීලාවා,Barracuda(L),1140,1140,1133.3333333333333,-0.0058479532163743355,-0.0058479532163743355,,, ,,,,,,
25,ලින්නා,Indian Scad(L),446,550,505,-0.08181818181818182,0.13228699551569506,,, ,,,,,,
26,ලින්නා,Indian Scad(S),380,441.6666666666667,433.3333333333333,-0.018867924528301973,0.1403508771929824,,,,,,,,,
27,ලේන පරව්,Rainbow Runner,578.57,635.7142857142857,521.4285714285714,-0.17977528089887632,-0.09876320682273294,,, , ,, ,,,
28,සුද්දා,Threadfin  Bream,716.67,642.8571428571429,617.8571428571429,-0.03888888888888889,-0.13787776402368884,,, ,,,,,, 
29,සූඩයා,White Sardinella,191.67,185.71428571428572,197,0.06076923076923072,0.027808212031095177, ,,,,, , ,,
30,දැල්ලා,Squids /Cuttle fish,1564.29,1442.857142857143,1507.142857142857,0.04455445544554451,-0.036532320002776245,,,,, ,,,,
31,කකුළුවා(L),Sea Crabs(L),2000,2040,1892.857142857143,-0.07212885154061623,-0.036532320002776245,,,, ,,,,,
32,තිලාපියා,Tilapia (M),350,400,416.6666666666667,0.04166666666666671,0.19047619047619052,,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,,,,

--- 02-Retail.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Variety,,,2023.0,2024,,Compared to Average of 2nd week of  Oct. 2024,, ,,,,,,,
Sinhala Name,,Common Name,,Average of 1st week of  Oct.,Average of 2nd week of  Oct.,Last week ,Last Year,, ,, ,,,,
1,තෝරා,Seer,3065.0,3726.67,3790,0.016993723619209623,0.2365415986949429,, ,, ,, ,,
2,පරව් (ලොකු),Trevally (L),2210.0,2260,2296,0.01592920353982301,0.03891402714932127, , , ,, ,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2130.0,2090,2120,0.014354066985645933,-0.004694835680751174,, ,,,,,,
4,තලපත්,Sail fish,2927.0,2896.67,2776,-0.04165817991003465,-0.05158865732832251,,, , ,,,,
5,බලයා,Skipjack tuna,1413.0,1200,1233.33,0.02777499999999994,-0.1271549893842888,,, ,,,,,
6,කෙළවල්ලා,Yellowfin tuna,2030.0,2270,2006,-0.11629955947136564,-0.011822660098522168,,, , ,,,, 
7,සාලයා (මට්ට),Sardinella,533.0,532,543.33,0.021296992481203085,0.0193808630393997,,,, ,,, ,
8,මෝරා,Shark,1690.0,1722.5,1693.33,-0.01693468795355592,0.0019704142011833887,,,,,,,,
9,හුරුල්ලා,Herrings,633.0,930,890,-0.043010752688172046,0.4060031595576619,,,,,,,,
10,කුම්බලා,Indian mackerel,1025.0,910,873.33,-0.04029670329670325,-0.14797073170731703,,,,,,,,
11,කාරල්ලා,Pony fish,,520,580,0.11538461538461539,,,,,,,,,
12,කටුවල්ලා,Katuwalla,,640,,, ,,,,,,,,
13,හාල්මැස්සා,Anchovies,690.0,,553.33,,,,,,,,,,
14,ඉස්සා (M),Prawns (M),1765.0,1965,1976,0.0055979643765903305,0.11954674220963173,,,,,,,,
15, කොප්පරා,Marlins,3693.0,3190,3090,-0.03134796238244514,-0.16328188464662877,,,,,,,,
16,අලගොඩුවා,Frigate tuna,723.0,920,920,0,0.27247579529737204,,,,,,,,
17,ඇටවල්ලා,Kawakawa,790.0,1010,962.5,-0.04702970297029703,0.21835443037974683,,,,,,,,
18,ඇටිස්සා,Red Bream(L),,1710,1860,0.08771929824561403,,,, ,,,,,
19,බෝල්ලා,Big eye scade,690.0,920,865,-0.059782608695652176,0.2536231884057971,,,,,,,,
20,ගින්නටි පරව්,Ginnati paraw,,,862.5,,,,,, ,,, ,
21,හබරලි,Needle fish,1067.0,1160,1210,0.04310344827586207, ,,, ,,,,,
22,හැඩැල්ලා,Indian Anchovy,1330.0,1593.33,1602.5,0.0057552421657786354,0.20488721804511278,,,,,,,,
23,ජීලාවා,Barracuda,,2120,2180,0.02830188679245283,,,,,,,,,
24,ලින්නා,Indian Scade,690.0,856.67,803.33,-0.06226434916595646,0.16424637681159426,,,,,,,,
25,ලේන පරව්,Rainbow runner,905.0,980,862.5,-0.11989795918367346,-0.04696132596685083,,,,,,,,
26,සුද්දා,Threadfin bream,880.0,910,867.5,-0.046703296703296704,-0.014204545454545454,,,,,,,,
27,සූඩයා,White Sardinella,340.0,340,345,0.014705882352941176,0.014705882352941176,,,,,,,,
28,දැල්ලා,Cuttle fish,1780.0,2010,2055,0.022388059701492536,0.1544943820224719,,,,,,,,
29,කකුළුවා,Sea Crabs(L),,2720,2650,-0.025735294117647058,,,,,,,,,
30,තිලාපියා,Thilapia (M),893.0,,910,,0.019036954087346025,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,,, ,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
