Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Variety,,,2025,2026,,% Change   compared to:4th week of Jan. 2026,, , ,, , ,,,,
Sinhala Name,,Common Name,4th  week of Jan.,3rd  week of Jan.,4th  week of Jan.,Last week ,Last Year,, ,, , ,,,,
1,තෝරා,Seer (Ni-L),2010,2441.6666666666665,2040,-0.16450511945392488,0.014925373134328358,, , , ,, , , ,
2,පරව් (ලොකු),Trevally (L),1350,1300,1125,-0.1346153846153846,-0.16666666666666666,  , , ,  , ,, ,,
3,ගල්මාළු (ලොකු),Rock fish (L),1375,1428.5714285714287,1230,-0.13900000000000007,-0.10545454545454545, , , , , , ,,,
4,ගල්මාළු (පොඩි),Rock fish (S),1000,1107.142857142857,900,-0.18709677419354837,-0.1,, , , , , ,, ,
5,තලපත්,Sail fish,1885.7142857142858,2142.8571428571427,1962.5,-0.08416666666666658,0.040719696969696934,, , , , ,,,,
6,බලයා,Skipjack tuna,728.5714285714286,1057.142857142857,810.7142857142857,-0.23310810810810814,0.11274509803921565, , , , , , ,,,
7,කෙළවල්ලා,Yellowfin tuna,1414.2857142857142,1607.142857142857,1300,-0.1911111111111111,-0.08080808080808076, , , , , ,,,,
8,සාලයා (මට්ට),Sardinella,395.8333333333333,360.7142857142857,495,0.3722772277227722,0.25052631578947376,,, , , , ,,,
9,මෝරා,Sharks,1150,1316.6666666666667,1150,-0.12658227848101272,0,,, , , , ,,,
10,හුරුල්ලා,Herrings,991.6666666666666,928.5714285714286,950,0.023076923076923096,-0.04201680672268904,, ,, ,,, ,,
11,කුම්බලා,Indian Mackerel,937.5,941.6666666666666,1187.5,0.26106194690265494,0.26666666666666666,,,,,,,,,
12,කාරල්ලා,Pony fish,250,280,343.75,0.22767857142857142,0.375,, , , ,, , ,,
13,කටුවල්ලා,Katuwalla,575,533.3333333333334,560.7142857142857,0.051339285714285546,-0.024844720496894495,, , , ,, ,,, 
14,හාල්මැස්සා,Anchovy,315,400,462.5,0.15625,0.46825396825396826,,, , , , ,,,
15,ඉස්සා (M),"Prawns (M) 3""",2003.5714285714287,2264.285714285714,2257.1428571428573,-0.003154574132491999,0.12655971479500897,, , , ,,,,,
16, කොප්පරා,Marlins,2250,2442.8571428571427,2228.5714285714284,-0.08771929824561402,-0.009523809523809582,, , , ,, ,,,
17,අලගොඩුවා,Frigate tuna(L),840,820,,,,,, ,,,,,,
18,ඇටවල්ලා,Kawakawa,885,1075,937.5,-0.12790697674418605,0.059322033898305086,,, , , , , ,,
19,ඇටිස්සා,Red Bream(L),1483.3333333333333,1500,1260,-0.16,-0.15056179775280895,,,,,,,,,
20,බෝල්ලා,Big eye scade,1000,833.3333333333334,940,0.12799999999999995,-0.06,,, , , ,,,,
21,ගින්නටි පරව්,Ginnati Paraw,929.17,1283.3333333333333,1200,-0.06493506493506487,0.2914751875329596,, , ,, , ,,,
22,හබරලි,Needle fish,966.6666666666666,1150,1064.2857142857142,-0.07453416149068329,0.10098522167487682, , , , , , ,,,
23,හැඩැල්ලා,Indian Anchovies,1900,1800,1775,-0.013888888888888888,-0.06578947368421052,, , , , ,,,,
24,ජීලාවා,Barracuda(L),1200,1340,1308.3333333333333,-0.023631840796019956,0.09027777777777772,, , , ,, ,,,
25,ලින්නා,Indian Scad(L),864.2857142857143,821.4285714285714,853.5714285714286,0.03913043478260866,-0.012396694214876108,, , ,,,,,,
26,ලින්නා,Indian Scad(S),691.6666666666666,664.2857142857143,712.5,0.07258064516129024,0.0301204819277109,,,, ,,,, ,
27,ලේන පරව්,Rainbow Runner,716.6666666666666,808.3333333333334,835.7142857142857,0.03387334315169356,0.16611295681063123,,, , , , ,,,
28,සුද්දා,Threadfin  Bream,1175,1320,1058.3333333333333,-0.1982323232323233,-0.09929078014184403,,, ,, ,,,, 
29,සූඩයා,White Sardinella,239.29,280,362.5,0.29464285714285715,0.5148982406285261, ,, ,,, , ,,
30,දැල්ලා,Squids /Cuttle fish(Peeli),1525,2157.1428571428573,1741.6666666666667,-0.19260485651214132,0.14207650273224048,,, , , , ,,,
31,කකුළුවා(L),Sea Crabs(L),1864.2857142857142,2642.8571428571427,1950,-0.2621621621621621,0.04597701149425291,, ,, ,,,,,
32,තිලාපියා,Tilapia (M),700,,,,,,,,, ,,, ,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,, ,,,,,
,,,,,,,,,, ,,,,,,
,,,,,,,,, ,,,,,,,
,,,,,,,,,,, ,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,,,
