Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Variety,,,2023,2024,,Compared to Average of 1st week of June 2024,,, ,,,,,,
Sinhala Name,,Common Name,Average of 1st  week of  June,Average of 4th week of May,Average of 1st  week of  June,Last week ,Last Year,,, ,,,,,
1,තෝරා,Seer,3642.5,3993.33,4160,0.04173709660859485,0.14207275223061083,,, ,,,, ,
2,පරව් (ලොකු),Trevally (L),2895,3036,3193.33,0.05182147562582343,0.10305008635578582,, , , ,,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2460,2100,2280,0.08571428571428572,-0.07317073170731707,,, ,,,,,
4,තලපත්,Sail fish,3396.67,3100,3296.67,0.06344193548387099,-0.02944059917507441,,,,,,,,
5,බලයා,Skipjack tuna,1694.5,1770,1970,0.11299435028248588,0.16258483328415463,,,,,,,,
6,කෙළවල්ලා,Yellowfin tuna,2931.67,2492,2880,0.15569823434991975,-0.01762476677115776,,,, , ,,,
7,සාලයා (මට්ට),Sardinella,876,842.5,848,0.006528189910979229,-0.0319634703196347,,,,, ,,, 
8,මෝරා,Shark,2167,1920,1970,0.026041666666666668,-0.09090909090909091,,,,,,,,
9,හුරුල්ලා,Herrings,1373.33,1100,1290,0.17272727272727273,-0.06067733174109641,,,,,,,,
10,කුම්බලා,Indian mackerel,1446.64,1384,1540,0.11271676300578035,0.06453575181109322,,,,,,,,
11,කාරල්ලා,Pony fish,660,,,, ,,,,,,,,
12,කටුවල්ලා,Katuwalla,,,,, ,,,,,,,,
13,හාල්මැස්සා,Anchovies,920,,,,,,,,,,,,
14,ඉස්සා (M),Prawns (M),1907,2105,1980,-0.05938242280285035,0.03828002097535396,,,,,,,,
15, කොප්පරා,Marlins,3850,3580,3980,0.11173184357541899,0.033766233766233764,,,,,,,,
16,අලගොඩුවා,Frigate tuna,1343,1090,1280,0.1743119266055046,-0.04690990320178704,,,,,,,,
17,ඇටවල්ලා,Kawakawa,1400,1360,1440,0.058823529411764705,0.02857142857142857,,,,,,,,
18,ඇටිස්සා,Red Bream(L),1893,1720,1850,0.0755813953488372,-0.02271526677231907,,,, ,,,,
19,බෝල්ලා,Big eye scade,1394,1313.33,1460,0.11167794842118894,0.047345767575322814,,,,,,,,
20,ගින්නටි පරව්,Ginnati paraw,1873,1706.67,1840,0.07812289429122204,-0.01761879337960491,,,,,,,, 
21,හබරලි,Needle fish,1580,1490,1520,0.020134228187919462,-0.0379746835443038,,,,,,,,
22,හැඩැල්ලා,Indian Anchovy,2035,1630,1700,0.04294478527607362,-0.16461916461916462,,,,,,,,
23,ජීලාවා,Barracuda,2695,,2890,,0.07235621521335807,,,,,,,,
24,ලින්නා,Indian Scade,1403,1105,1324,0.19819004524886877,-0.05630791161796151,,,,,,,,
25,ලේන පරව්,Rainbow runner,1538,1313.33,1580,0.20304873870238255,0.027308192457737322,,,,,,,,
26,සුද්දා,Threadfin bream,1585,,1690,,0.06624605678233439,,,,,,,,
27,සූඩයා,White Sardinella,,520,590,0.1346153846153846,,,,,,,,,
28,දැල්ලා,Cuttle fish,2143,2050,2150,0.04878048780487805,0.0032664489034064394,,,,D,,,,
29,කකුළුවා,Sea Crabs(L),2630,,2715,,0.03231939163498099,,,,,,,,
30,තිලාපියා,Thilapia (M),1070,,1070,,0,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,,,, ,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
