Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Variety,,,2020,2021,2022,,"% Change 3rd week of Feb. 2022, compared to:",,, ,,,,,
Sinhala Name,,Common Name,3rd  week of Feb.,3rd  week of Feb.,2nd  week of Feb.,3rd  week of Feb.,Last week ,Last Year,2020.0,,,,,,
1,තෝරා,Seer (Nl),1328.57,,1100,1300,0.18181818181818182,,-0.021504324198198015,,,,,,
2,පරව් (ලොකු),Trevally (L),545,550,770.83,983.33,0.2756768677918607,0.7878727272727274,0.8042752293577983,,,,,,
3,ගල්මාළු (ලොකු),Rock fish (L),337.5,,700,925,0.32142857142857145,,, ,,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),,,400,600,0.5,,,,,,,,
5,තලපත්,Sail fish,671.67,720,1091.64,1116.67,0.022928804367740252,0.5509305555555557,0.6625277293909213,,,,,,
6,බලයා,Skipjack tuna,315,368.57,445,575,0.29213483146067415,0.5600835662153729,0.8253968253968254,,,,,,
7,කෙළවල්ලා,Yellowfin tuna,578.33,507.14,750,987.5,0.31666666666666665,0.9471940686989786,0.7075026369028062,,,,,,
8,සාලයා (මට්ට),Sardinella,200,151.67,230,271.67,0.18117391304347832,0.791191402386761,0.35835000000000006,,,,,,
9,මෝරා,Sharks,706.67,635,,,,,,,,,,,
10,හුරුල්ලා,Herrings,482.86,465.71,480.83,575,0.1958488447060292,0.23467393871722753,0.19082135608665035,,,,,,
11,කුම්බලා,Indian Mackerel,580.71,416,503.53,620,0.23130697277222814,0.49038461538461536,0.06765855590570158,,,,,,
12,කාරල්ලා,Pony fish,142.5,150,160,195,0.21875,0.3,0.3684210526315789,,,,,,
13,කටුවල්ලා,Katuwalla,285,305,400,391.67,-0.02082499999999996,0.28416393442622956,0.37428070175438605,,,,,,
14,හාල්මැස්සා,Anchovy,331.25,270,275,275,0,0.018518518518518517,-0.16981132075471697,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",992.86,802.5,957.14,1032.5,0.0787345633867564,0.2866043613707165,0.039925064963841815,,,,,,
16, කොප්පරා,Marlins,860,850,1135,1300,0.14537444933920704,0.5294117647058824,0.5116279069767442,,,,,,
17,අලගොඩුවා,Frigate tuna(L),416.67,387.5,381.25,516.67,0.3551999999999999,0.33334193548387087,0.23999808001535974,,,,,,
18,ඇටවල්ලා,Atawalla,425,390,600,660,0.1,0.6923076923076923,0.5529411764705883,,,,,,
19,ඇටිස්සා,Red Bream(L),683.33,630,650,900,0.38461538461538464,0.42857142857142855,0.3170795955102219,,,,,,
20,බෝල්ලා,Big eye scade,517,354.17,475.71,586,0.2318429295158816,0.6545726628455261,0.13346228239845262,,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,487.5,556.43,550,700,0.2727272727272727,0.2580198767140522,0.4358974358974359,,,,,,
22,හබරලි,Needle fish,533.33,454.29,571,675,0.18213660245183888,0.4858350392920821,0.2656329102056887,,,,,,
23,හැඩැල්ලා,Indian Anchovies,900,1000,937.5,975,0.04,-0.025,0.08333333333333333,,,,,,
24,ජීලාවා,Barracuda(L),650,615,,862.5,,,,,,,,,
25,ලින්නා,Indian Scad(L),389.17,287.14,457,543,0.18818380743982493,0.891063592672564,0.3952771282472955,,,,,,
26,ලින්නා,Indian Scad(S),,,364.29,390,0.0705756402865848,,,,,,,, 
27,ලේන පරව්,Rainbow Runner,418.75,371.67,405,500,0.2345679012345679,0.34527941453439875,0.19402985074626866,,,,,,
28,සුද්දා,Threadfin  Bream,555,466.43,,747.5,,0.6025984606479,,,,,,,
29,සූඩයා,White Sardinella,149.29,91.25,147.5,186.67,0.2655593220338982,1.0456986301369862,0.2503851564069931,,,,,,
30,දැල්ලා,Squids /Cuttle fish,707.14,757.14,1075,1212.5,0.12790697674418605,0.6014211374382545,0.7146533925389598,,,,,,
31,කකුළුවා(L),Sea Crabs(L),435.71,650,1100,1150,0.045454545454545456,0.7692307692307693,1.639370223313672,,,,,,
32,තිලාපියා,Tilapia (M),350,350,250,350,0.4,0,0.0,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,,,
