Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Variety,,,2019,2020,2021,,"% Change 2nd  week of September 2021, compared to:",,
Sinhala Name,,Common Name,September 2nd  week average,September 2nd  week average,September 1st  week average,September 2nd  week average,Last week ,Last Year,2019.0
1,තෝරා,Seer,1620,1424,2351,2382.5,0.013398553806890685,0.6731039325842697,0.470679012345679
2,පරව් (ලොකු),Trevally (L),1060,1207.5,1365,1370,0.003663003663003663,0.13457556935817805,0.29245283018867924
3,ගල්මාළු (ලොකු),Rock Fish (L),830,750,1323.33,1256.67,-0.05037292285370985,0.67556,0.5140602409638555
4,තලපත්,Sail fish,1235.83,1240,1532.5,1484,-0.03164763458401305,0.1967741935483871,0.200812409473795
5,බලයා,Skipjack tuna,787.5,760,820,800,-0.024390243902439025,0.05263157894736842,0.015873015873015872
6,කෙළවල්ලා,Yellowfin tuna,1156,1074,1336,1370,0.025449101796407185,0.2756052141527002,0.185121107266436
7,සාලයා (මට්ට),Sardinella,294,326,346.66,325,-0.06248197080713097,-0.003067484662576687,0.1054421768707483
8,මෝරා,Shark,960,865,960,1150,0.19791666666666666,0.32947976878612717,0.19791666666666666
9,හුරුල්ලා,Herrings,512.5,497.5,626.66,663.33,0.058516579963616755,0.3333266331658292,0.29430243902439035
10,කුම්බලා,Indian mackerel,706.67,554,743.33,730,-0.017932815842223563,0.3176895306859206,0.03301399521700375
11,කාරල්ලා,Pony fish,300,,,,,,
12,කටුවල්ලා,Katuwalla,,,,,,,
13,හාල්මැස්සා,Anchovies,530,,640,,,,
14,ඉස්සා (M),Prawns (M),1372.5,1040,1260,1300,0.031746031746031744,0.25,-0.052823315118397086
15, කොප්පරා,Marlins,960,950,1620,1538.75,-0.05015432098765432,0.6197368421052631,0.6028645833333334
16,අලගොඩුවා,Frigate tuna,436.67,430,,,,,
17,ඇටවල්ලා,Kawakawa,450,450,550,500,-0.09090909090909091,0.1111111111111111,0.1111111111111111
18,ඇටිස්සා,Red Bream,910,773.3333333333334,,,,,
19,බෝල්ලා,Big eye scade,486.67,494,610,580,-0.04918032786885246,0.17408906882591094,0.19177265909137606
20,ගින්නටි පරව්,Ginnati paraw,910,780,833.33,800,-0.039996159984639984,0.02564102564102564,-0.12087912087912088
21,හබරලි,Needle fish,660,,760,,,,
22,හැඩැල්ලා,Indian Anchovy,772.5,,1160,1216.67,0.04885344827586213,,0.5749773462783172
23,ජීලාවා,Barracuda,820,618,1112.66,1000,-0.10125285352219013,0.6181229773462783,0.21951219512195122
24,ලින්නා,Indian Scade,430,456.8,634,602,-0.050473186119873815,0.31786339754816106,0.4
25,ලේන පරව්,Rainbow runner,543.33,530,700,700,0,0.32075471698113206,0.28835146227890956
26,සුද්දා,Threadfin bream,536.67,575,730,740,0.0136986301369863,0.28695652173913044,0.3788734231464402
27,සූඩයා,White Sardinella,280,,,,,,
28,දැල්ලා,Cuttle fish,1015,758,1277.5,1282.5,0.003913894324853229,0.691952506596306,0.26354679802955666
29,කකුළුවා,Sea Crabs(L),1337.5,1250,1693.33,1727.5,0.0201791735810504,0.382,0.29158878504672897
30,තිලාපියා,Thilapia (M),560,450,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,440,,,,,
