"1.5. Total Income (Rs Mn)","1,880","","1,804","1,788","1978","2100"
"1.6. Net Profit / Loss (Rs Mn)","","","-","","",""
"2. Infrastructure and other","","","","","",""
"2.1.  Total Manpower","1,325","1,375","1,248","1,124","754","712"
"2.2.  No. of Ice Plants (in operation)","12","6","4","3","2","2"
"2.3.  Ice Production Capacity (Mt/day)","-","90","55","50","59","59"
"2.4.  Ice Sale (Mt)","4,877","16,082","7,525","6,785","9,759","9,843"
"2.5. Cold rooms","16","16","2","2","2","2"
"2.6. Cold storage capacity (Mt/day)","-","10,000","500","800","650","650"
"2.7. No. of Fish Stalls","122","132","112","98","95","103"
"2.8. No. of Freezer Trucks","50","50","50","50","50","50"
"Source:  Ceylon Fisheries Corporation","","","","","",""
"","","","54","","",""
