"Item","1995/1996","2002/2003","2006/2007","2009/2010","2012/2013","2016"
"Fresh Fish","","","","","",""
"Marine large fish","2.6","3.7","3.9","4.3","4.4","4.5"
"Marine small fish","3.5","3.3","3.4","4.4","4.3","4.5"
"Freshwater fish","0.6","1.3","1.6","1.7","1.8","2.3"
"Other","0.1","0.2","0.2","0.4","0.4","0.5"
"Total","6.8","8.5","9.1","10.8","10.9","11.8"
"Dried Fish","","","","","",""
"Marine Dried Fish","3.3","3.9","3.8","3.7","3.5","3.5"
"Freshwater Dried Fish","0.1","0.04","0.1","0.1","0.1","0.1"
"Total","3.4","3.9","3.9","3.8","3.6","3.6"
"Canned Fish","0.26","0.75","0.7","0.7","0.6","1.4"
