Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Variety,,,2022,2023,,"% Change 3rd  week of Jan. 2023, compared to:",, ,,,,,
Sinhala Name,,Common Name,3rd week of  Jan.,2nd week of  Jan.,3rd week of  Jan.,Last week ,Last Year,,,,,,
1,තෝරා,Seer (L),1130,2483.33,2057.14,-0.17162036459109345,0.8204778761061946,,,,,,
2,පරව් (ලොකු),Trevally (L),752.5,1400,1071.43,-0.2346928571428571,0.42382724252491705,  ,, , ,,
3,ගල්මාළු (ලොකු),Rock fish (L),750,1300,1064.29,-0.18131538461538466,, ,,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),,1116.67,832.14,-0.2548022244709718,,, ,,, , 
5,තලපත්,Sail fish,1025,1628.57,1528.57,-0.06140356263470407,0.49128780487804874,,,,,,
6,බලයා,Skipjack tuna,525,771.43,632.14,-0.1805607767393023,0.20407619047619044,,,,,,
7,කෙළවල්ලා,Yellowfin tuna,840,1325,1033.33,-0.2201283018867925,0.2301547619047618, ,,,,,
8,සාලයා (මට්ට),Sardinella,206.67,460.71,383.33,-0.1679581515486966,0.8547926646344414,,,,,,
9,මෝරා,Sharks,700,1000,1007.14,0.007139999999999987,0.43877142857142853,,,,,,
10,හුරුල්ලා,Herrings,430.83,800,735.71,-0.08036249999999995,0.7076573126291114,,,,,,
11,කුම්බලා,Indian Mackerel,470.83,837.5,757.14,-0.09595223880597016,0.6080963405050656,,,,,,
12,කාරල්ලා,Pony fish,,380,380,0,,,,,,,
13,කටුවල්ලා,Katuwalla,,533.33,412.5,-0.22655766598541247,,,, ,,,
14,හාල්මැස්සා,Anchovy,290,478.57,480,0.002988068621100376,0.6551724137931034,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",933.33,1510.71,1471.43,-0.026001019388234653,0.5765377733491905,,,,,,
16, කොප්පරා,Marlins,1158,2071.43,1771.43,-0.1448274863258714,0.5297322970639033,, ,,,,
17,අලගොඩුවා,Frigate tuna(L),425,737.5,637.5,-0.13559322033898305,0.5,,,,,,
18,ඇටවල්ලා,Kawakawa,476.67,891.67,778.57,-0.1268406473246828,0.6333522143201796,,, ,,,
19,ඇටිස්සා,Red Bream(L),770,1380,1128.57,-0.1821956521739131,0.4656753246753246,,,,,,
20,බෝල්ලා,Big eye scade,401,796.43,735.71,-0.0762402219906331,0.8346882793017457,,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,575.83,1125,910,-0.19111111111111112,0.5803275272215757,, ,,, ,
22,හබරලි,Needle fish,567.5,821.43,835.71,0.01738431759249125,0.4726167400881058,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1037.5,1430,1320,-0.07692307692307693,0.27228915662650605,, ,,,,
24,ජීලාවා,Barracuda(L),691.67,1133.33,1050,-0.07352668684319653,0.5180649731808522,,, ,,,
25,ලින්නා,Indian Scad(L),346.67,846.43,750,-0.1139255461172217,1.1634407361467678,,,,,,
26,ලින්නා,Indian Scad(S),277.5,700,640,-0.08571428571428572,1.3063063063063063,,,,,,
27,ලේන පරව්,Rainbow Runner,400,821.43,735.71,-0.10435460112243274,0.8392750000000001,,,,,,
28,සුද්දා,Threadfin  Bream,538.33,1033.33,983.33,-0.0483872528621059,0.8266305054520461,,,,,,
29,සූඩයා,White Sardinella,122.5,312.86,250,-0.20092053953845174,1.0408163265306123,,,,,,
30,දැල්ලා,Squids /Cuttle fish,1043.75,1414.29,1414.29,0,0.3550083832335329,,,,,,
31,කකුළුවා(L),Sea Crabs(L),1900,2057.14,2150,0.04514034047269517,0.13157894736842105,,,, ,,
32,තිලාපියා,Tilapia (M),350,,400,,0.14285714285714285,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,
