Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Variety,,,2020,2021,2022,,"% Change 3rd week of Mar. 2022, compared to:",,, ,
Sinhala Name,,Common Name,3rd  week of Mar.,3rd  week of Mar.,2nd  week of Mar.,3rd  week of Mar.,Last week ,Last Year,2020.0,,
1,තෝරා,Seer (Nl),1108.33,,1466.67,1200,-0.18182004131808796,,0.08271002318803973,,
2,පරව් (ලොකු),Trevally (L),490,500,960,804.17,-0.1623229166666667,,0.6411632653061223,  , 
3,ගල්මාළු (ලොකු),Rock fish (L),,,891.67,800,-0.10280709230993525,,, ,
4,ගල්මාළු (පොඩි),Rock fish (S),,,675,600,-0.1111111111111111,,,,
5,තලපත්,Sail fish,660,666.67,1370.83,1200,-0.1246179322016588,0.7999910000449999,0.8181818181818182,,
6,බලයා,Skipjack tuna,308,378.57,585,516.67,-0.11680341880341888,0.36479382941067695,0.6774999999999999,,
7,කෙළවල්ලා,Yellowfin tuna,522,536,983.33,875,-0.11016647514059373,0.6324626865671642,0.6762452107279694,,
8,සාලයා (මට්ට),Sardinella,168.33,142,247.14,257.5,0.04191955976369675,0.8133802816901409,0.5297332620447929,,
9,මෝරා,Sharks,,607.5,687.5,750,0.09090909090909091,0.2345679012345679,,,
10,හුරුල්ලා,Herrings,340.83,447.14,640,600,-0.0625,0.34186160933935683,0.7604084147522227,,
11,කුම්බලා,Indian Mackerel,600,447.14,635,560,-0.11811023622047244,0.25240416871673305,-0.06666666666666667,,
12,කාරල්ලා,Pony fish,120,100,253.33,250,-0.013144909801444804,1.5,1.0833333333333333,,
13,කටුවල්ලා,Katuwalla,283.33,265,400,366.67,-0.08332499999999995,0.3836603773584906,0.2941446369957295,,
14,හාල්මැස්සා,Anchovy,350,196.67,325,250,-0.23076923076923078,0.2711648955102457,-0.2857142857142857,,
15,ඉස්සා (M),"Prawns (M) 3""",937.5,830,1054.17,1016.67,-0.03557301004581814,0.22490361445783127,0.08444799999999995,,
16, කොප්පරා,Marlins,,775,1466,1375,-0.06207366984993179,0.7741935483870968,,,
17,අලගොඩුවා,Frigate tuna(L),335,405,461.67,350,-0.24188273008859146,-0.13580246913580246,0.04477611940298507,,
18,ඇටවල්ලා,Atawalla,400,417.5,587.5,556.25,-0.05319148936170213,0.3323353293413174,0.390625,,
19,ඇටිස්සා,Red Bream(L),655,558.57,861,816.67,-0.051486643437862994,0.4620727930250459,0.24682442748091596,,
20,බෝල්ලා,Big eye scade,537.5,437.14,617.86,533.33,-0.1368109280419512,0.22004392185569854,-0.007758139534883645,,
21,ගින්නටි පරව්,Ginnati Paraw,700,516.67,780,650,-0.16666666666666666,0.2580563996361315,-0.07142857142857142,,
22,හබරලි,Needle fish,512,454.17,662.5,675,0.018867924528301886,0.48622762401743835,0.318359375,,
23,හැඩැල්ලා,Indian Anchovies,856.25,565,1200,975,-0.1875,0.7256637168141593,0.1386861313868613,,
24,ජීලාවා,Barracuda(L),583.33,600,850,625,-0.2647058823529412,0.041666666666666664,,,
25,ලින්නා,Indian Scad(L),339,280,551.43,531.67,-0.03583410405672523,0.8988214285714284,0.5683480825958701,,
26,ලින්නා,Indian Scad(S),,,447.5,375,-0.16201117318435754,,,, 
27,ලේන පරව්,Rainbow Runner,425,333.33,450,546.67,0.21482222222222214,0.6400264002640026,0.2862823529411764,,
28,සුද්දා,Threadfin  Bream,510,461,762.5,626,-0.17901639344262296,0.3579175704989154,,,
29,සූඩයා,White Sardinella,124,88.33,168.57,172.5,0.023313756896244923,0.9529038831654025,0.3911290322580645,,
30,දැල්ලා,Squids /Cuttle fish,604.17,725,1207.14,1000,-0.17159567241579277,0.3793103448275862,0.6551632818577554,,
31,කකුළුවා(L),Sea Crabs(L),510.25,600,1650,2183.33,0.323230303030303,2.6388833333333332,3.2789416952474277,,
32,තිලාපියා,Tilapia (M),350,,537.5,433.33,-0.19380465116279072,,0.23808571428571423,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,
