"","Summary Statistics at a Glance",""
"Description","Unit","Indicator"
"(6)  Harbours for  2022: 1.Gandara","",""
"(7)  Harbours for 2022: 1.Balapitiya, 2.  Point Peduru, 3. Gurunagar, 4. Pesalai","",""
"(8). Export value of fish and fishery products - Import value of fish and fishery products","",""
