"3.2 Annual Average Inflation Rate","%","2022","46.4"
"4.  National Accounts(3)","","",""
"4.1 Gross Domestic Product (GDP) - At Current Market Price","Rs.Mn","2022","24,147,726"
"4.2 GDP Growth Rate - At Current Market Price","%","2022","-7.8"
"4.3  Per Capita Gross National Income (GNI) - At Current Market Price","Rs","2022","1,060,654"
"4.4  Per Capita Gross National Income (GNI) - At Current Market Price","US$","2022","3,268"
"4.5 Growth Rate of Per Capita GNI - At Current Market Price (Rs.)","%","2022","-7.8"
