"Table 4.10 : Inland Fish Catch Estimates by Major Species","","","","","","","","","",""
"Species","2010","2011","2012","2013","2014","2015","2019","2020","2021","2022"
"Tilapia","28,250","32,000","39,590","39,070","46,610","40,504","54,410","57,810","52,100",""
"","","","","","","","","","","57,770"
"Carps/Mirigal","3,740","3,680","3,570","3,450","3,920","2,847","4,750","7,220","7,760",""
"","","","","","","","","","","9530"
"Catla/Rohu","9,760","11,260","12,460","8,980","11,020","9,117","9,690","9,935","11,950","14,180"
"Hiri Kanaya","2,620","1,940","670","590","580","358","235","200","290","990"
"Lula","1,930","630","1,770","2,040","2,230","1,582","1,950","2,160","2,130","2,920"
"Cultured Shrimps","3,480","4,150","3,310","4,430","5,150","7,090","6,400","7,360","14,410","14,080"
"Freshwater prawns","240","260","290","540","460","374","1,195","1,165","1,040","680"
"Cultured Milk fish & Sea","","","","","","","","","",""
"","30","100","130","90","70","78","310","275","520","880"
"bass","","","","","","","","","",""
"Sea cucumber","","","","","","","280","340","580","560"
"Oyster and Crabs","","30","32","40","38","53","120","60","31","10"
"Lobster","","","","","","","10","5","3",""
"Other wild fish","2,360","5,510","7,128","7,680","5,672","5,297","10,990","15,280","13,421","15,020"
