"Table 3.2 :  Operating Fishing Boats by District - 2021","","","","","","","",""
"","Fisheries District","IMUL","IDAY","OFRP","MTRB","NTRB","NBSB","Total Boats"
"1","Negombo","","40","","","","",""
"","","1,026","","1,499","2","1,276","37","3,880"
"2","Colombo","","16","","","","",""
"","","59","","465","1","269","24","834"
"3","Kalutara","","1","","","","",""
"","","562","","432","4","247","39","1,285"
"4","Galle","","17","","","","",""
"","","593","","447","181","225","44","1,507"
"5","Matara","","62","","","","",""
"","","985","","784","258","607","10","2,706"
"6","Tangalle","","13","","","","",""
"","","706","","726","128","470","86","2,129"
"7","Kalmunai","","55","","","","",""
"","","216","","941","176","794","172","2,354"
"8","Batticaloa","","9","","","","",""
"","","404","","1,523","16","4,638","129","6,719"
"9","Trincomalee","","19","","","","",""
"","","497","","3,332","67","1,752","175","5,842"
"10","Mullaitivu","","-","","","","",""
"","","1","","1,310","2","237","57","1,607"
"11","Kilinochchi","","-","","","","",""
"","","-","","907","123","241","-","1,271"
"12","Jaffna","","394","","","","",""
"","","111","","3,842","602","1,409","158","6,516"
"13","Mannar","","211","","","","",""
"","","43","","3,575","627","825","36","5,317"
"14","Puttalam","","23","","","","",""
"","","74","","2,892","188","1,194","88","4,459"
"15","Chilaw","","-","","","","",""
"","","87","","1,714","23","1,511","15","3,350"
"","Total","5,364","860","24,389","2,398","15,695","1,070","49,776"
