"","Table 1.9 : Fisher Community Organizations  - 2022","","","","","",""
"","","No. of fisheries Organizations","","","","No. of Members",""
"District","","","","","","",""
"","Coastal","Inland","","Total","Coastal","Inland","Total"
"1  Colombo","","","","23","","","1,744"
"","20","","3","","1,540","204",""
"2  Gampaha","72","","18","90","5,821","208","6,029"
"3  Kalutara","41","","13","54","4,116","664","4,780"
"4  Kandy","-","","3","3","-","160","160"
"5  Matale","-","","14","14","-","1,060","1,060"
"6  Nuwara Eliya","-","","8","8","-","265","265"
"7  Galle","47","","6","53","3,305","146","3,451"
"8  Matara","85","","11","96","7,136","192","7,328"
"9  Hambantota","46","","58","104","3,352","529","3,881"
"10  Jaffna","95","","-","95","11,451","-","11,451"
"11  Mannar","71","","14","85","7,505","692","8,197"
"12 Vavuniya","-","","18","18","-","687","687"
"13  Mullaitivu","36","","16","52","3,452","449","3,901"
"14  Kilinochchi","","","","33","","","2,163"
"","26","","7","","1,812","351",""
"15  Batticaloa","152","","23","175","14,041","1,158","15,199"
"16  Ampara","74","","31","105","8,561","1,865","10,426"
"17  Trincomalee","78","","28","106","5,405","467","5,872"
"18  Kurunegala","-","","29","29","-","518","518"
"19  Puttalam","195","","30","225","9,307","1,138","10,445"
"20  Anuradhapura","-","","41","41","-","2,848","2,848"
"21  Polonnaruwa","-","","35","35","-","3,700","3,700"
"22  Badulla","-","","14","14","-","446","446"
"23  Monaragala","-","","51","51","-","420","420"
"24  Ratnapura","-","","13","13","","725","725"
"25  Kegalle","-","","6","6","-","30","30"
"Total","1,038","","490","1,528","86,804","18,922","105,726"
"Source: National Fisheries Federation","","","","","","",""
