"","Table 4.12:  Shrimps Production (Aquaculture)","","","","","","","","","","",""
"District","Description","2008","2010","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"","No. of Ponds","1,795","2,350","4,235","4,184","4,016","3,221","4,155","3,264","2,493","2,911","2,769"
"Puttalam","","","","","","","","","","","",""
"","Area (Ha)","902","1,186","2,038","2,011","1,890","1,576","1,987","1,626","1,328","1,739","19,37.5"
"","Production (Mt)","2,230","3,319","4,850","6,702","5,825","4,307","7,776","5,437","6,240","12,440","11,546"
"","No. of Farms","","","","","65","","76","66","48","-","-"
"","No. of Ponds","-","18","224","","186","195","192","178","169","327","185"
"Batticaloa","","","","","","","","","","","",""
"","Area (Ha)","-","38","205","","109","128","121","110","101","193","105"
"","Production (Mt)","-","161","300","388","205","323","404","421","375","1,040","1,123"
"","No. of Farms","","","","","","","","","2","2","4"
"","No. of Ponds","-","","","","","","","23","26","26","39"
"Mannar","","","","","","","","","","","",""
"","Area (Ha)","-","","","","","","","22","24","24","23.74"
"","Production (Mt)","-","","","","","","","542","745","930","1,255"
"","No. of Farms","-","-","-","-","-","-","-","-","-","-","1"
"","No. of Ponds","","","","","","","","","","","15"
"Other*","","","","","","","","","","","",""
"","Area (Ha)","-","-","-","-","-","-","-","-","","-","7.2"
"","Production (Mt)","-","-","-","-","-","-","-","-","-","-","125"
"","No. of Farms","","","","","65","","76","66","50","2","5"
"","No. of Ponds","1,795","2,368","4,459","4,184","4,202","3,416","4,347","3,465","2,688","3,264","3,008"
"Total","","","","","","","","","","","",""
"","Area (Ha)","902","1,224","2,243","2,011","1,999","1,704","2,108","1,758","1,453","1,956","2,073"
"","Production (Mt)","2,230","3,480","5,150","7,090","6,030","4,630","8,180","6,400","7,360","14,410","14,080"
