Table 10: Summary of Monthly Import and Export of Fish and Fishery Products,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Year/ Month,Exports,,,Imports,,,Exchange Rate
,Quantity (MT),Value (Rs.Mn.),Value (USD Mn.),Quantity (MT),Value (Rs.Mn.),Value   (USD Mn.),Rs./ 1 USD
2015,17461.13598,24716.07136344,181.818989338533,120045.58437,30728.64099174,226.049292652923,135.93778875
2016,17593.035884,26801.6475606,184.07518076163,115692.89916,35172.2698263,241.565072126039,145.601636514523
2017,24826.783906,39229.67282682,257.315399177752,106020.06461,33969.45690936,222.812573611564,152.457540248963
2018,27998.0301294,47948.85406532,294.997256461917,84463.0947,32726.38458631,201.343574420512,162.54
2019,28770.772865,53482.916579,299.158935901366,95636.9350709999,38952.404584,217.881907934775,178.7776
Jan,2879.73603,5664.550847,31.1020768176142,8248.68825,3388.8589,18.6070445263417,182.127736363636
Feb,2898.938835,5067.879858,28.3544623837081,6462.61417,2682.577594,15.0088493831164,178.733061111111
Mar,3256.68419,5559.379522,31.1572441031933,7372.38561,3066.729642,17.1873216563416,178.429757894737
Apr,2657.32816,4458.595468,25.5066661476008,7043.20737,2823.714047,16.1538610107248,174.801185
May,2071.81056,3795.1456,21.5089821755551,12074.87325,4580.030481,25.9573160985782,176.444685714286
Jun,2136.92864,4260.716004,24.1278862540178,6973.09019,2692.571877,15.247687928046,176.588863157895
Jul,2157.28027,4089.926586,23.2395168583535,9251.37744,3691.808459,20.9773557340676,175.990172727273
Aug,1997.10325,4092.596601,22.995928150785,7462.341021,3235.689467,18.1810448855875,177.97049
Sep,1595.24917,3328.990927,18.4150884374724,6136.45627,2681.403425,14.8328073853944,180.77518
Oct,2248.60226,4183.014116,23.0531179741829,8209.40414,3504.557721,19.314059276186,181.45112173913
Nov,2139.57571,3945.237942,21.8726712059558,9090.5968499999,3712.074308,20.5799959405743,180.372936842105
Dec,2731.53579,5036.883108,27.7891004282335,7311.90051,2892.388663,15.9576621712602,181.25391
2020,21298.340255,39873.974728,214.926466189244,85809.110189,35504.31863,191.373390529948,185.5238
Jan,2517.88266,4796.480581,26.4409275660317,7859.42242,3284.881509,18.1081341987541,181.403642857143
