Table 2.1:  Imported Quantity of Fish and Fishery Products (Mt),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85
Item,2014,2015,2016,2017,2018(4),2019(4),2020,   2020   JAN,   2020   FEB,   2020   MAR,   2020    APR,   2020    MAY,   2020    JUN,   2020    JUL,   2020    AUG,   2020   SEP,    2020    OCT,    2020    NOV,    2020    DEC,2020,2020  (JAN-DEC),   2021  JAN,   2021   FEB,   2021    MAR,   2021   APR,   2021   MAY,  2021   JUN,   2021   JUL,   2021   AUG,   2021   SEP,   2021   OCT,   2021    NOV,   2021   DEC,2021, 2021   Jan-Dec,     2022    JAN,    2022    FEB,    2022    MAR,    2022    APR,    2022    MAY,    2022   JUN,   2022   JUL,   2022   AUG,   2022   SEP,   2022   OCT,   2022   NOV,   2022   DEC,2022, 2022  Jan-Dec,    2023   JAN,   2023   FEB, 2023 MAR, 2023 APR,2023 MAY, 2023 JUN, 2023 JUL, 2023 AUG, 2023 SEP, 2023 OCT, 2023 NOV, 2023 DEC,2023, 2023  Jan-Apr, 2024   JAN, 2024     FEB,2024   MAR,2024   APR, 2024    MAY,2024    JUN,2024    JUL,2024    AUG,2024   SEP,2024   OCT,2024   NOV,2024   DEC,2024, 2024  Jan-Apr, 2025   JAN, 2025     FEB, 2025     MAR, 2025     APR, 2025  Jan-Apr,  Change %  2025/2023,  Change %  2025/2024,Percentage to Total
Dried Fish ,10406.204,8445.27896,10520.5922,10214.44698,9506.31819,10253.71181,11643.30776,942.156,684.3439,773.642,897.03036,864.0965,1301.0744,1293.9957,1258.7397,1107.776,999.0325,1065.8327,455.588,11643.30776,11643.30776,372.266,195.57039,354.98171,900.68188,718.8314,573.8765,1543.508,650.69795,617.4915,511.63814,430.9597,643.36718,7513.87035,7513.87035,486.1097,558.614,515.886,325.88338,370.16426,290.1935,542.349,701.784,808.8095,735.308,473.31741,389.77,6198.18875,6198.18875,435.998,489.9794,291.293,363.177,715.77225,604.7204,848.535,798.584,515.722,686.2767,501.817,525.1804,6777.05515,1580.4474,453.941,406.114,551.703,558.715,668.1925,933.215,711.532,770.813,622.03736,614.6469,951.15155,586.5848,7828.64611,1970.473,742.8595,462.888,344.418,605.80635,2155.97185,36.415286582774,9.41392498146383,11.9868353029218
Dried Sprats,24873.618,24607.4227,24456.9713,22797.82765,23197.8258,24805.64512,31102.3052,1749.103,2286.182,2771.343,3034.451,3261.3612,4902.131,2839.089,1013.023,1899.578,1639.422,1407.514,4299.108,31102.3052,31102.3052,2675.079,1317.964,1901.6815,1248.588,1786.987,2133.294,2770.324,2404.457,1993.579,3566.35,2101.253,1171.794,25071.3505,25071.3505,996.671,1805.447,1775.954,2078.8,2253.459,2331.9995,1808.349,1251.508,1546.395,1930.406,3687.6385,2257.242,23723.869,23723.869,1513.099,1618.241,1964.623,1243.28,3010.642,3578.932,2167.102,1441.294,767.003,1765.591,1768.159,1921.049,22759.015,6339.243,2935.195,2331.479,2492.777,1035.194,2249.28,4495.041,1295.832,959.751,525.442,2701.426,3883.36,2458.039,27362.816,8794.645,3948.739,1908.021,2238.369,970.627,9065.756,43.0100723382902,3.08268270066615,50.404055168195
Maldive fish,1255.635,2216.39342,2731.68475,2674.26389,2317.74345,2520.9943,2545.2419,191.107,207.351,211.0915,107.068,205.2515,101.576,271.4415,367.523,315.4344,227.364,217.456,122.578,2545.2419,2545.2419,204.469,118.8395,400.26051,353.9545,121.5769,52.318,142.3615,185.4919,48.272,213.0392,140.818,206.195,2187.59601,2187.59601,153.7974,101.2046,169.021,87.873,53.61274,51.672,98.038,165.865,193.00575,144.4,163.79205,155.393,1537.67454,1537.67454,192.981,224.001,176.842,129.035,142.21,64.69,108.725,129.935,132.047,207.8773,129.225,77.076,1714.6443,722.859,99.262,127.69,144.297,111.703,137.44,61.888,70.771,197.041,319.6085,274.078,192.813,206.612,1943.2035,482.952,221.275,196.524,149.792,194.461,762.052,5.42194259184709,57.7904222365784,4.23687898163522
Canned Fish,19591.357,49016.10115,37088.75634,40613.82522,28068.09608,36805.67494,26043.65227,2717.15734,1007.9442,3395.6587,2776.63913,3980.75936,4079.50861,2710.8916,1246.72026,979.63216,1367.27183,772.58928,1008.8798,26043.65227,26043.65227,804.5165,343.46026,194.46508,241.3646,1104.46005,841.14311,1031.0279,1436.41677,880.61118,517.77296,459.97758,902.8649,8758.08089,8758.08089,654.89207,303.21072,50.029,478.6608,382.65845,360.23174,107.92376,266.6006,228.68763,266.77326,103.83357,227.462,3430.9636,3430.9636,384.82556,184.52846,133.152,302.0731,288.358225,203.2718,651.86675,1083.1388,800.79872,1492.76455,1417.96635,961.68335,7904.427665,1004.57912,514.90097,874.75515,163.06895,1171.822,282.989,189.736,242.7805,717.8689,115.11729,0.2845,200.372,2.3521,4476.04736,2724.54707,32.08159,1.13174,15.36148,3,51.57481,-94.866028073528,-98.1070317863879,0.286747135983935
Food Fish,21094.9,33866.89974,39074.30319,27782.12863,18693.90323,18536.1379309999,12801.18403,1987.71915,992.9764,1058.46148,1097.23379,435.64436,761.0134,1818.1726,917.28775,1532.94492,741.45232,951.59531,506.68255,12801.18403,12801.18403,650.377,707.33881,667.27829,729.62914,704.25205,1049.88334,714.64693,2173.01417,594.20593,653.85047,734.69688,786.85005,10166.02306,10166.02306,712.18841,965.48,219.97985,339.8829,249.08713,131.41772,213.98652,72.07011,162.27304,372.49736,319.25346,63.85869,3821.97519,3821.97519,85.25873,172.60924,100.47928,140.34356,229.48353,639.68722,922.815,1565.2209,383.803,640.44628,985.16421,117.81907,5983.13002,498.69081,397.97518,559.60779,624.6613,1003.31382,765.47305,998.98309,2070.48737,1437.48324,838.19538,696.91541,904.30028,1399.11911,11696.51502,2585.55809,930.55751,1041.70768,1036.40326,948.95,3957.61845,693.601640663881,53.0663134317744,22.0036827252428
Live fish (2),91.073,106.362,128.43604,180.61732,182.56465,185.62437,98.56476,18.85899,16.90873,10.29108,0,0,4.666,5.57,7.217,8.798,7.936,8.16296,10.156,98.56476,98.56476,10.8084,9.654,9.88,7.944,11.96686,9.789,11.217,13.027,14.446,13.8771,15.312,14.71865,142.64001,142.64001,11.669,12.298,13.175,16.902,6.608,14.0154,6.851,9.829,8.97625,10.03541,9.831,11.3942,131.58426,131.58426,12.529,11.9949,14.0908,6.638,11.92078,9.138,14.017,11.607,7.39905,12.19217,11.697,12.641,135.8647,45.2527,14.508,6.2237,12.354,11.148,28.9541,24.58315,13.6158,24.801,14.459,32.468,14.925,18.583,216.62275,44.2337,14.417,23.4987,19.171,17.689,74.7757,65.2403061032822,69.0469031530259,0.415740122284385
Other,1399.007,1787.1264,1692.15534,1756.95492,2496.6433,2529.1466,1574.854269,253.32094,155.01807,160.864019,98.46237,33.60676,62.0523,73.08705,153.10436,202.66541,139.84839,155.8861,86.9385,1574.854269,1574.854269,239.68276,191.27406,170.93649,262.59087,310.13608,221.42803,78.26655,131.5748,106.90142,78.85095,341.04748,204.00339,2336.69288,2336.69288,325.37501,299.19207,301.43879,419.6207,186.7262,191.72192,151.91496,309.06187,279.74092,121.34705,114.01803,192.28599,2892.44351,2892.44351,183.50037,220.48915,261.05473,266.59944,309.93755,253.58364,161.05015,291.73234,425.07034,378.90321,435.63781,346.47859,3534.03732,931.64369,350.44323,579.40125,667.5095,456.29411,510.60684,541.31314,262.60232,148.07148,116.53676,307.30332,399.388667,488.00162,4827.472237,2053.64809,422.0665,516.0041,539.20012,441.14442,1918.41514,105.91725791649,-6.58501087204284,10.6660605637368
Total,78711.794,120045.58437,115692.89916,106020.06461,84463.0947,95636.9350709999,85809.110189,7859.42242,5350.7243,8381.351779,8010.88465,8780.71968,11212.02171,9012.24745,4963.61507,6046.82889,5122.32704,4579.03635,6489.93085,85809.110189,85809.110189,4957.19866,2884.10102,3699.48358,3744.75299,4758.21034,4881.73198,6291.35188,6994.67959,4255.50703,5555.37882,4224.06464,3929.79317,56176.2537,56176.2537,3340.70259,4045.44639,3045.48364,3747.62278,3502.31578,3371.25178,2929.41224,2776.71858,3227.88809,3580.76708,4871.68402,3297.40588,41736.69885,41736.69885,2808.19166,2921.84315,2941.53481,2451.1461,4708.324335,5354.02306,4874.1109,5321.51204,3031.84311,5184.05121,5249.66637,3961.92741,48808.174155,11122.71572,4766.22538,4885.27089,4656.37075,4348.18993,4642.93549,7244.75938,4667.62099,4255.82962,2551.39629,4627.12213,6546.310497,5159.29163,58351.322977,18656.05695,6311.9961,4149.77522,4342.71486,3181.67777,17986.16395,61.7065867974912,-3.59075340408414,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
