--- 01-Retail.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2018,2019,,"% Change 01st  week April 2019, compared to:",
Sinhala Name,,Common Name,1st week April,4th week March,1st week April,Last week ,Last Year
1,තෝරා,Seer,1428,1318.33,1317.2,-0.0008571450243868241,-0.0775910364145658
2,පරව් (ලොකු),Trevally (L),1058,944,835,-0.11546610169491525,-0.2107750472589792
3,ගල්මාළු (ලොකු),Rock Fish (L),600,840,766.5,-0.0875,0.2775
4,තලපත්,Sail fish,1158,1106.67,1120,0.01204514444233595,-0.03281519861830743
5,බලයා,Skipjack tuna,547,646.67,586.67,-0.09278302689161397,0.07252285191956116
6,කෙළවල්ලා,Yellowfin tuna,955,873.33,906.6,0.03809556525024902,-0.05068062827225128
7,සාලයා (මට්ට),Sardinella,207,200,180,-0.1,-0.13043478260869565
8,මෝරා,Shark,785,960,880,-0.08333333333333333,0.12101910828025478
9,හුරුල්ලා,Herrings,420,399.33,364.83,-0.08639471114116144,-0.1313571428571429
10,කුම්බලා,Indian mackerel,383,532,500.5,-0.05921052631578947,0.30678851174934724
11,කාරල්ලා,Pony fish,233,180,380,1.1111111111111112,0.630901287553648
12,කටුවල්ලා,Katuwalla,260,360,330,-0.08333333333333333,0.2692307692307692
13,හාල්මැස්සා,Anchovies,365,350,360,0.02857142857142857,-0.0136986301369863
14,ඉස්සා (M),Prawns (M),907,969.17,853.33,-0.11952495434237535,-0.05917309812568904
15, කොප්පරා,Marlins,790,890,890,0,0.12658227848101267
16,අලගොඩුවා,Frigate tuna,340,320,300,-0.0625,-0.11764705882352941
17,ඇටවල්ලා,Kawakawa,260,413.33,335,-0.18950959281929688,0.28846153846153844
18,ඇටිස්සා,Red Bream,740,800,666.67,-0.16666250000000005,-0.09909459459459465
19,බෝල්ලා,Big eye scade,293,420,400.75,-0.04583333333333333,0.3677474402730375
