Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2018,2019,,"% Change 03rd week February 2019, compared to:",
Sinhala Name,,Common Name,3rd week February,2nd week February,3rd week February,Last week ,Last Year
1,තෝරා,Seer (Nl),1136,1285.71,1220,-0.05110794813760493,0.07394366197183098
2,පරව් (ලොකු),Trevally (L),498,562.86,516,-0.08325338450058631,0.03614457831325301
3,ගල්මාළු (ලොකු),Rock fish (L),513,515.83,665,0.2891844212240466,0.2962962962962963
4,තලපත්,Sail fish,607,614.17,637.5,0.03798622531221004,0.05024711696869852
5,බලයා,Skipjack tuna,280,301.43,305,0.011843545765185924,0.08928571428571429
6,කෙළවල්ලා,Yellowfin tuna,493,581.67,550,-0.05444667938865673,0.11561866125760649
7,සාලයා (මට්ට),Sardinella,135,132,144,0.09090909090909091,0.06666666666666667
8,මෝරා,Sharks,550,541,616.67,0.13987060998151563,0.12121818181818174
9,හුරුල්ලා,Herrings,306,345,346.25,0.0036231884057971015,0.1315359477124183
10,කුම්බලා,Indian Mackerel,311,480,457.5,-0.046875,0.47106109324758844
11,කාරල්ලා,Pony fish,122,129.17,123.33,-0.04521173647131679,0.010901639344262281
12,කටුවල්ලා,Katuwalla,260,180,210,0.16666666666666666,-0.19230769230769232
13,හාල්මැස්සා,Anchovy,226,312.5,283.33,-0.09334400000000005,0.25367256637168134
14,ඉස්සා (M),"Prawns (M) 3""",811,822.86,740,-0.10069756702233675,-0.08754623921085081
15, කොප්පරා,Marlins,665,833.33,683.33,-0.18000072000288,0.02756390977443615
16,අලගොඩුවා,Frigate tuna,273,260,286.67,0.10257692307692313,0.05007326007326013
17,ඇටවල්ලා,Atawalla,325,355,300,-0.15492957746478872,-0.07692307692307693
18,ඇටිස්සා,Red Bream,650,628,583.33,-0.07113057324840757,-0.1025692307692307
19,බෝල්ලා,Big eye scade,283,425.71,425,-0.0016678020248525511,0.5017667844522968
20,ගින්නටි පරව්,Ginnati Paraw,575,525,509,-0.030476190476190476,-0.11478260869565217
21,හබරලි,Needle fish,421,395,426,0.07848101265822785,0.011876484560570071
22,හැඩැල්ලා,Indian Anchovies,839,786.43,837.5,0.0649390282669787,-0.0017878426698450535
23,ජීලාවා,Barracuda,524,516,525,0.01744186046511628,0.0019083969465648854
24,ලින්නා,Indian Scad,216,219,227,0.0365296803652968,0.05092592592592592
25,ලේන පරව්,Rainbow Runner,320,322,330,0.024844720496894408,0.03125
26,සුද්දා,Threadfin  Bream,449,446,400,-0.1031390134529148,-0.1091314031180401
27,සූඩයා,White Sardinella,71,93,106.25,0.1424731182795699,0.4964788732394366
28,දැල්ලා,Squids /Cuttle fish,800,753.57,660,-0.12416895577053233,-0.175
29,කකුළුවා,Sea Crabs,450,516.67,500,-0.03226430797220656,0.1111111111111111
30,තිලාපියා,Tilapia (M),325,381.25,300,-0.21311475409836064,-0.07692307692307693
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,
