"","Table 7.3: Monthly Average Wholesale Fish Prices at Main Fish Market in Colombo** -2022","","","","","","","","","","","","",""
"","2021","","","","","","2022","","","","","","","2022"
"Species","Annual","","","","","","","","","","","","","Annual"
"","","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec",""
"","Average","","","","","","","","","","","","","Average"
"Salaya","196.00","211.54","248.79","251.16","244.55","387.72","624.17","683.39","767.92","613.04","491.61","479.80","425.98","452.47"
"Hurulla","447.00","447.11","543.32","587.00","537.92","753.81","965.03","885.18","992.19","805.88","575.06","569.79","644.78","692.26"
"Balaya","","","","","","","","","","","","","",""
"","409.00","539.65","526.19","556.85","581.32","915.36","903.30","935.48","993.16","758.75","678.45","593.30","700.15","723.50"
"Kelawalla","687.00","851.92","900.00","936.46","1,017.19","1,307.98","1,482.50","1,465.00","1,728.75","1,575.00","1,302.38","1,075.89","1,143.45","1,232.21"
"Thora","1,099.00","1,227.50","1,275.00","1,335.42","1,251.28","1,637.50","2,050.42","2,284.06","2,553.13","2,307.92","1,904.58","1,644.47","1,900.00","1,780.94"
"Paraw","652.00","838.91","834.37","879.59","873.84","1,136.73","1,320.63","1,418.22","1,731.56","1,485.63","1,243.75","1,041.37","1,186.67","1,165.94"
"Mora","628.00","683.33","750.00","759.38","725.00","1,380.00","1,147.22","850.00","1,355.42","1,331.25","954.17","779.79","1,009.59","977.10"
"Thalapath","970.00","1,175.88","1,125.00","1,253.13","1,273.34","1,452.92","1,727.68","1,713.63","2,151.19","2,166.97","1,778.72","1,879.64","1,592.80","1,607.58"
"Kumbala","464.00","493.70","551.97","618.57","662.35","939.26","1,160.03","1,110.72","1,227.68","949.69","686.52","539.65","689.64","802.48"
"Mullet","697.00","751.63","808.96","921.67","873.44","1,117.78","1,477.50","1,606.25","1,859.38","1,366.42","1,258.33","989.88","1,155.18","1,182.20"
"Prawns","878.00","926.19","1,007.23","1,029.32","1,048.07","1,110.34","1,106.55","1,255.89","1,536.25","1,516.67","1,415.63","1,437.20","1,430.76","1,235.01"
"Tilapia (M)","395.00","350.00","300.00","462.50","433.34","800.00","600.00","475.00","550.00","500.00","550.00","475.00","583.33","506.60"
"Source: Statistics Unit, Ministry of Fisheries","","","","","","","","","","","","","",""
