"Table 3.3 :  Operating Fishing Boats by District - 2023","","","","","","","",""
"","Fisheries District","IMUL","IDAY","OFRP","MTRB","NTRB","NBSB","Total Boats"
"1","Negombo","","24","","","","",""
"","","929","","1,485","2","1,359","39","3,838"
"2","Colombo","","12","","","","",""
"","","12","","348","1","178","22","573"
"3","Kalutara","","3","","","","",""
"","","562","","386","-","204","45","1,200"
"4","Galle","","12","","","","",""
"","","650","","445","198","256","47","1,608"
"5","Matara","","68","","","","",""
"","","981","","760","228","548","3","2,588"
"6","Tangalle","","14","","","","",""
"","","864","","744","100","494","86","2,302"
"7","Kalmunai","","39","","","","",""
"","","247","","937","137","931","127","2,418"
"8","Batticaloa","","9","","","","",""
"","","501","","1,824","16","4,188","102","6,640"
"9","Trincomalee","","11","","","","",""
"","","559","","3,543","75","2,437","163","6,788"
"10","Mullaitivu","","-","","","","",""
"","","-","","1,392","-","309","56","1,757"
"11","Kilinochchi","","-","","","","",""
"","","-","","1,163","148","268","-","1,579"
"12","Jaffna","","370","","","","",""
"","","103","","5,142","894","1,418","134","8,061"
"13","Mannar","","196","","","","",""
"","","28","","3,038","589","528","26","4,405"
"14","Puttalam","","23","","","","",""
"","","50","","2,342","179","1,001","121","3,716"
"15","Chilaw","","1","","","","",""
"","","100","","1,683","52","971","17","2,824"
"","Total","5,586","782","25,232","2,619","15,090","988","50,297"
