"","Table 1.5: Active Fishers by District - Marine Fisheries","","","","","","","","","",""
"Fisheries District","1972","1989","1999","2004","2011","2015","2019","2020","2021","2022","2023"
"1
Negombo","5,357","7,419","14,573","16,800","9,510","11,410","9,590","10,330","11,920","11,570","11,210"
"2
Colombo","2,325","1,610","2,653","2,800","1,820","2,400","2,300","2,370","2,370","2,280","2,160"
"3
Kalutara","2,212","3,157","4,322","4,200","5,950","6,120","4,180","4,300","4,300","4,050","4,110"
"4
Galle","3,479","3,590","6,304","6,300","10,260","12,890","11,390","11,050","10,380","9,560","9,510"
"5
Matara","3,270","4,426","5,276","7,100","11,090","13,180","14,840","14,940","15,230","15,380","15,790"
"6
Tangalle","1,742","3,354","7,001","6,100","10,580","14,990","13,780","13,570","12,920","12,250","13,510"
"7
Kalmunai","5,628","9,022","14,592","15,500","26,040","20,400","15,970","16,090","15,820","15,750","15,470"
"8
Batticaloa","5,572","12,843","15,137","21,600","29,980","29,620","40,330","40,470","39,990","41,730","41,770"
"9
Trincomalee","2,823","6,502","10,748","16,100","34,620","33,950","29,700","27,800","29,170","28,530","28,800"
"10
Mullativu","1,349","3,183","1,950","3,300","1,480","3,460","8,950","9,150","8,440","8,570","8,350"
"11
Kilinochchi","-","1,103","1,400","3,700","3,720","3,900","4,150","4,260","4,250","4,930","4,760"
"12
Jaffna","10,826","24,839","9,614","16,800","22,720","23,480","24,070","24,700","24,670","25,780","25,870"
"13
Mannar","2,848","5,684","4,593","9,400","18,530","17,540","18,610","18,950","19,520","17,460","17,610"
"14
Puttalam","10,867","4,539","13,161","12,100","16,810","15,880","16,860","17,010","15,240","14,930","13,350"
"15
Chilaw","-","7,173","9,090","10,000","12,320","12,340","9,890","10,030","9,970","10,720","11,450"
"Total","58,298","98,444","120,414","151,800","215,430","221,560","224,610","225,020","224,190","223,490","223,720"
"Source: Statistics Unit - Ministry of Fisheries","","","","","","","","","","",""
"","Estimated Based on the annual reports submitted by Fisheries Inspectors of DFAR for their FI Divisions","","","","","","","","","",""
"","Table 1.6: Fishing Households by District - Marine Fisheries","","","","","","","","","",""
"Fisheries District","1972","1989","1999","2004","2011","2015","2019","2020","2021","2022","2023"
"1 Negombo","3,849","6,396","11,210","12,900","9,250","9,340","8,450","9,060","10,500","10,190","9,880"
"2 Colombo","2,002","1,451","2,412","2,300","1,650","1,910","1,960","2,050","2,040","1,960","2,010"
"3 Kalutara","1,799","2,366","3,602","3,500","5,610","6,060","3,990","4,060","4,080","3,890","4,060"
"4 Galle","2,941","2,871","5,253","6,700","6,220","7,250","9,190","8,920","8,380","7,930","7,870"
"5 Matara","2,413","3,341","4,796","6,900","10,980","11,770","11,950","12,040","12,270","12,280","12,660"
"6 Tangalle","1,285","2,712","5,385","6,100","10,130","10,720","9,160","9,070","8,610","8,570","9,360"
"7 Kalmunai","4,686","9,328","13,265","15,100","22,740","22,940","14,500","14,560","14,340","14,280","14,030"
"8 Batticaloa","4,679","12,044","13,762","16,700","26,320","25,280","27,290","27,480","27,110","28,630","28,940"
"9 Trincomalee","2,348","5,675","8,123","12,300","32,470","32,600","29,220","27,640","28,850","28,420","28,690"
"10 Mullativu","919","2,798","864","3,100","1,600","2,520","6,450","6,630","6,100","6,210","6,030"
"11 Kilinochchi","-","1,047","400","3,400","2,700","3,660","4,070","4,140","4,150","4,860","4,610"
"12 Jaffna","7,966","22,568","6,922","16,100","19,240","20,210","22,940","23,260","23,380","23,630","23,690"
"13 Mannar","2,093","5,127","4,175","7,300","15,030","14,990","16,850","17,050","17,620","16,870","16,890"
"14 Puttalam","6,289","3,759","10,124","11,400","13,820","12,380","11,130","11,250","10,070","9,860","9,530"
"15 Chilaw","-","6,325","8,264","8,800","9,580","9,330","8,240","8,360","8,310","8,920","9,510"
"Total","43,269","87,808","98,557","132,600","187,340","190,960","185,390","185,570","185,810","186,500","187,760"
"Source: Statistics Unit - Ministry of Fisheries","","","","","","","","","","",""
