"","Table 5.3.1:  Stocking of Post Larvae (Penaeus monodon)","","","","","","","","","","",""
"District","Area (Ha)","2010","2011","2015","2016","2018","2019","2020","","2021","2022","2023"
"","No. of Farms","777","925","1,217","1,300","1,096","1,003","1,035","","410","",""
"","","","","","","","","","","","155","171"
"","No. of Ponds","2,406","3,088","4,404","4,457","3,710","3,071","2,690","","1,306","",""
"","","","","","","","","","","","502","442"
"Puttalam","Area (Ha)","1,202","1,591","2,058","2,298","1,800","1,584","1,268","","640","",""
"","","","","","","","","","","","265","190.9"
"","No of  circular Tanks","","","","","","","","2","","",""
"","Stocking (Mn)","209.0","264.0","319.0","423.3","375.3","315.3","322.0","","96.7","",""
"","","","","","","","","","","","79.3","74.5"
"","No. of Farms","-","-","44","71","76","44","","43","46","",""
"","","","","","","","","","","","45","42"
"","No. of Ponds","-","-","164","165","192","132","","151","198","",""
"","","","","","","","","","","","146","130"
"Batticaloa","","","","","","","","","","","",""
"","Area (Ha)","37.94","51.53","106","106","121","87","","101","124","",""
"","","","","","","","","","","","88","83"
"","Stocking (Mn)","10.8","16.5","16.0","18.4","34.9","18.0","","21.0","28.6","",""
"","","","","","","","","","","","27.4","28.4"
"","No. of Farms","","","","","","2","","2","2","-","-"
"","No. of Ponds","","","","","","26","","26","-","-","-"
"Mannar","","","","","","","","","","","",""
"","Area (Ha)","","","","","","23","","23","-","-","-"
"","Stocking (Mn)","","","","","","36.50","10.40","","-","-","-"
