Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Variety,,,2023,2024,,Compared to Average of 2nd  week of May 2024,,, ,,,,,,
Sinhala Name,,Common Name,Average of 2nd  week of  May,Average of 1st  week of  May,Average of 2nd  week of  May,Last week ,Last Year,,, ,,,,,
1,තෝරා,Seer,3340,3760,3968,0.05531914893617021,0.18802395209580838,,, ,,,, ,
2,පරව් (ලොකු),Trevally (L),2535,2445,2560,0.04703476482617587,0.009861932938856016,, , , ,,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2173,2160,2280,0.05555555555555555,0.04924068108605614,,, ,,,,,
4,තලපත්,Sail fish,2996,2796.67,2840,0.01549342611033834,-0.0520694259012016,,,,,,,,
5,බලයා,Skipjack tuna,1702.5,1350,1393.33,0.03209629629629624,-0.1815976505139501,,,,,,,,
6,කෙළවල්ලා,Yellowfin tuna,2832.5,2230,2313.33,0.03736771300448427,-0.18329037952338925,,,, ,,,,
7,සාලයා (මට්ට),Sardinella,782,616.67,660,0.0702644850568376,-0.15601023017902813,,,,, ,,, 
8,මෝරා,Shark,1800,1990,2000,0.005025125628140704,0.1111111111111111,,,,,,,,
9,හුරුල්ලා,Herrings,1170,883.33,1020,0.15472133857108888,-0.1282051282051282,,,,,,,,
10,කුම්බලා,Indian mackerel,1338,1200,1240,0.03333333333333333,-0.07324364723467862,,,,,,,,
11,කාරල්ලා,Pony fish,,510,560,0.09803921568627451, ,,,,,,,,
12,කටුවල්ලා,Katuwalla,,,,, ,,,,,,,,
13,හාල්මැස්සා,Anchovies,900,,,,,,,,,,,,
14,ඉස්සා (M),Prawns (M),1797,2175,2170,-0.0022988505747126436,0.20756816917084028,,,,,,,,
15, කොප්පරා,Marlins,3530,3380,3430,0.014792899408284023,-0.028328611898016998,,,,,,,,
16,අලගොඩුවා,Frigate tuna,950,1060,1100,0.03773584905660377,0.15789473684210525,,,,,,,,
17,ඇටවල්ලා,Kawakawa,1147,1146.67,1133.33,-0.011633687111374802,-0.011918047079337465,,,,,,,,
18,ඇටිස්සා,Red Bream(L),1600,1733.33,1760,0.015386568051092448,0.1,,,, ,,,,
19,බෝල්ලා,Big eye scade,1220,1160,1166.67,0.005750000000000062,-0.0437131147540983,,,,,,,,
20,ගින්නටි පරව්,Ginnati paraw,1733,1615,1740,0.07739938080495357,0.004039238315060588,,,,,,,, 
21,හබරලි,Needle fish,,1280,,,,,,,,,,,
22,හැඩැල්ලා,Indian Anchovy,1825,1546.67,1553.33,0.004306025202531797,-0.1488602739726028,,,,,,,,
23,ජීලාවා,Barracuda,2148,2040,2060,0.00980392156862745,-0.040968342644320296,,,,,,,,
24,ලින්නා,Indian Scade,1190,896.67,990,0.10408511492522338,-0.16806722689075632,,,,,,,,
25,ලේන පරව්,Rainbow runner,1320,1110,1160,0.04504504504504504,-0.12121212121212122,,,,,,,,
26,සුද්දා,Threadfin bream,1595,1390,1480,0.06474820143884892,-0.07210031347962383,,,,,,,,
27,සූඩයා,White Sardinella,480,410,470,0.14634146341463414,-0.020833333333333332,,,,,,,,
28,දැල්ලා,Cuttle fish,2063,1866.67,1940,0.03928385842168135,-0.059621909840038775,,,,,,,,
29,කකුළුවා,Sea Crabs(L),2443,2690,2760,0.026022304832713755,0.12975849365534178,,,,,,,,
30,තිලාපියා,Thilapia (M),980,,,, ,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
