Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Variety,,,2019,2020,2021,,"% Change 3rd week Oct. 2021, compared to:",,, 
Sinhala Name,,Common Name,3rd week of Oct.,3rd week of Oct.,2nd week of Oct.,3rd week of Oct.,Last week ,Last Year,2019.0,
1,තෝරා,Seer (Nl),1157.14,1158,1150,1187.5,0.03260869565217391,0.02547495682210708,0.026237101820004403,
2,පරව් (ලොකු),Trevally (L),412.5,950,733.33,771.67,0.052282055827526375,-0.18771578947368425,0.8707151515151514,
3,ගල්මාළු (ලොකු),Rock fish (L),475,750,662.5,768.75,0.16037735849056603,,0.618421052631579, 
4,ගල්මාළු (පොඩි),Rock fish (S),,,587.5,525,-0.10638297872340426,,,
5,තලපත්,Sail fish,729.29,723,1129.17,1168.75,0.03505229504857543,0.6165283540802213,0.6025860768692839,
6,බලයා,Skipjack tuna,320,340,375.71,462.5,0.23100263501104581,0.3602941176470588,0.4453125,
7,කෙළවල්ලා,Yellowfin tuna,397.14,500,800,775,-0.03125,0.55,0.9514528881502745,
8,සාලයා (මට්ට),Sardinella,176,203.33,160.71,186,0.15736419637857005,-0.08523090542467915,0.056818181818181816,
9,මෝරා,Sharks,576.67,571.64,676.67,681.25,0.006768439564337182,0.19174655377510325,0.1813515528811973,
10,හුරුල්ලා,Herrings,362.14,371.14,351.43,432.5,0.23068605412173118,0.16532844748612388,0.19428950129784067,
11,කුම්බලා,Indian Mackerel,372.86,446,436.43,429.17,-0.01663497009829753,-0.03773542600896857,0.15102183125033525,
12,කාරල්ලා,Pony fish,140,276.67,271.67,196.67,-0.2760702322670888,-0.2891531427332202,0.4047857142857142,
13,කටුවල්ලා,Katuwalla,150,265,,250,,,,
14,හාල්මැස්සා,Anchovy,254.29,326,325,326.67,0.005138461538461587,0.0020552147239264293,0.28463565220810894,
15,ඉස්සා (M),"Prawns (M) 3""",1087.5,957.14,946.43,945.83,-0.0006339613072281194,-0.011816453183442282,-0.13027126436781605,
16, කොප්පරා,Marlins,860,875,1354.17,1325,-0.021540870053242997,0.5142857142857142,0.5406976744186046,
17,අලගොඩුවා,Frigate tuna(L),226,345,340,406.67,0.1960882352941177,0.17875362318840585,0.799424778761062,
18,ඇටවල්ලා,Atawalla,300,325,420,450,0.07142857142857142,0.38461538461538464,0.5,
19,ඇටිස්සා,Red Bream(L),600,726,725,781.25,0.07758620689655173,0.07610192837465565,0.3020833333333333,
20,බෝල්ලා,Big eye scade,247.14,314,338.57,380,0.12236760492660309,0.21019108280254778,0.5375900299425428,
21,ගින්නටි පරව්,Ginnati Paraw,549,640,525,483.33,-0.0793714285714286,-0.24479687500000002,-0.11961748633879785,
22,හබරලි,Needle fish,360.71,465.83,589.29,600,0.01817441327699441,0.288023527896443,0.6633860996368275,
23,හැඩැල්ලා,Indian Anchovies,720,863.3,900,1000,0.1111111111111111,0.15834588208038927,0.3888888888888889,
24,ජීලාවා,Barracuda(L),481.25,540,591.67,712.5,0.2042185677827168,0.3194444444444444,0.4805194805194805,
25,ලින්නා,Indian Scad(L),236.43,342,445,465.83,0.046808988764044906,0.36207602339181283,0.9702660406885758,
26,ලින්නා,Indian Scad(S),,,379.17,363.75,-0.04066777434923653,,,
27,ලේන පරව්,Rainbow Runner,306.67,372,458,489.17,0.068056768558952,0.3149731182795699,0.5951022271497048,
28,සුද්දා,Threadfin  Bream,365.71,450,495,445,-0.10101010101010101,-0.011111111111111112,0.21681113450548256,
29,සූඩයා,White Sardinella,106.67,134.12,127.5,130,0.0196078431372549,-0.030718759320011963,0.21871191525264833,
30,දැල්ලා,Squids /Cuttle fish,806.25,725,965,1085,0.12435233160621761,0.496551724137931,0.3457364341085271,
31,කකුළුවා(L),Sea Crabs(L),600,660,1100,1266.67,0.15151818181818189,0.9191969696969698,1.1111166666666668,
32,තිලාපියා,Tilapia (M),310,390,425,450,0.058823529411764705,0.15384615384615385,0.45161290322580644,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,
