Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Variety,,,2024,2025,,% Change   compared to:1st week of Feb. 2025,, ,,,,,,,
Sinhala Name,,Common Name,1st week of Feb.,4th  week of Jan.,1st week of Feb.,Last week ,Last Year,, , ,,,,, 
1,තෝරා,Seer,3420,3965,3100,-0.21815889029003782,-0.0935672514619883,, , ,, ,,,
2,පරව් (ලොකු),Trevally (L),2336,2416,2195,-0.09147350993377483,-0.06035958904109589, , ,, ,,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2280,2380,2140,-0.10084033613445378,-0.06140350877192982,, ,,,,,,
4,තලපත්,Sail fish,2820,2920,2796.67,-0.04223630136986299,-0.008273049645390045,,, ,,,,,
5,බලයා,Skipjack tuna,1195,1333.33,1206.67,-0.09499523748809362,0.0097656903765691,,,,,,,,
6,කෙළවල්ලා,Yellowfin tuna,2223,2413.33,2236,-0.07347938325881663,0.005847953216374269,,, ,,,, ,
7,සාලයා (මට්ට),Sardinella,610,535,486.67,-0.09033644859813081,-0.20218032786885243,,, ,,, ,,
8,මෝරා,Shark,1893,2150,2075,-0.03488372093023256,0.09614368726888536,,,,,,,,
9,හුරුල්ලා,Herrings,920,1330,1283.33,-0.03509022556390983,0.3949239130434782,,,,,,,,
10,කුම්බලා,Indian mackerel,1003,1206.67,1073.33,-0.11050245717553278,0.07011964107676961,,,,,,,,
11,කාරල්ලා,Pony fish,,,390,,,,, ,,,,,
12,කටුවල්ලා,Katuwalla,720,,,, ,, ,,,,,,
13,හාල්මැස්සා,Anchovies,,733.33,610,-0.16817803717289628,,,,,,,,,
14,ඉස්සා (M),Prawns (M),1873,2496,2330,-0.06650641025641026,0.24399359316604377,,,,,,,,
15, කොප්පරා,Marlins,3420,3540,3190,-0.09887005649717515,-0.06725146198830409,,,,,,,,
16,අලගොඩුවා,Frigate tuna,980,1083.33,950,-0.12307422484376869,-0.030612244897959183,,, ,,,,,
17,ඇටවල්ලා,Kawakawa,1120,1126.67,1005,-0.10799080476093272,-0.10267857142857142,,,,,,,,
18,ඇටිස්සා,Red Bream(L),1810,1890,1740,-0.07936507936507936,-0.03867403314917127,,,,,,,,
19,බෝල්ලා,Big eye scade,913,1335,1086.67,-0.18601498127340818,0.19021905805038344,,,,,,,,
20,ගින්නටි පරව්,Ginnati paraw,1220,,1210,,-0.00819672131147541,,, ,,, ,,
21,හබරලි,Needle fish,1440,1300,1160,-0.1076923076923077,-0.19444444444444445,,,,,,,,
22,හැඩැල්ලා,Indian Anchovy,1690,2162.5,2265,0.047398843930635835,0.34023668639053256,,,,,,,,
23,ජීලාවා,Barracuda,1740,2226.67,2060,-0.07485168435376596,0.1839080459770115,,,,,,,,
24,ලින්නා,Indian Scade,798,991.67,871.67,-0.1210079966117761,0.09231829573934831,,, ,,,,,
25,ලේන පරව්,Rainbow runner,1147,1060,996.67,-0.059745283018867966,-0.13106364428945078,,,,,,,,
26,සුද්දා,Threadfin bream,1240,1345,1096,-0.18513011152416356,-0.11612903225806452,,,,,,,,
27,සූඩයා,White Sardinella,407,360,320,-0.1111111111111111,-0.21375921375921375,,,,,,,,
28,දැල්ලා,Cuttle fish,1887,2050,2206.67,0.07642439024390248,0.16940646528881828,,,,,,,,
29,කකුළුවා,Sea Crabs(L),2687,2496.67,2586.67,0.03604801595725506,-0.03733903982136209,,,,,,,,
30,තිලාපියා,Thilapia (M),,1020,920,-0.09803921568627451,,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,, ,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,
,,,,,,,, ,,,, ,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
