Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Variety,,,2022,2023,,"% Change 4th week of Aug. 2023, compared to:",, ,,,,,,
Sinhala Name,,Common Name,4th  week of Aug.,3rd  week of Aug.,4th  week of Aug.,Last week ,Last Year,,, , , ,,
1,තෝරා,Seer (L),2400,2225,1900,-0.14606741573033707,-0.20833333333333334,, ,,,,,
2,පරව් (ලොකු),Trevally (L),1750,1220,1183.33,-0.03005737704918039,-0.32381142857142864,  , , ,, ,, 
3,ගල්මාළු (ලොකු),Rock fish (L),1900,1450,1428,-0.015172413793103448,-0.24842105263157896, ,, ,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),1637.5,1300,1157.14,-0.10989230769230761,-0.29334961832061063,, ,, , , ,
5,තලපත්,Sail fish,2433.33,1990,1960.67,-0.014738693467336647,-0.19424410170424886,,,,, ,,
6,බලයා,Skipjack tuna,935.71,729.17,854.17,0.17142778775868453,-0.08714238385824676,,,,,, ,
7,කෙළවල්ලා,Yellowfin tuna,1650,1435.71,1350,-0.05969868566771844,-0.18181818181818182, ,,,,, ,
8,සාලයා (මට්ට),Sardinella,685.71,529.17,478.57,-0.09562144490428401,-0.3020810546732584,,,,,,,
9,මෝරා,Sharks,1300,1090,1125,0.03211009174311927,-0.1346153846153846,,,,, , ,
10,හුරුල්ලා,Herrings,1050,503.75,553.57,0.09889826302729539,-0.47279047619047615,,,,,,,
11,කුම්බලා,Indian Mackerel,1235.71,1014.29,857.14,-0.15493596505930254,-0.3063582879478195,,,,,,,
12,කාරල්ලා,Pony fish,537.5,450,442.86,-0.015866666666666637,-0.17607441860465115,,,,,,,
13,කටුවල්ලා,Katuwalla,616.67,650,550,-0.15384615384615385,-0.108112929119302,,, ,,,,
14,හාල්මැස්සා,Anchovy,680,537.5,485.77,-0.09624186046511632,-0.2856323529411765,,, ,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1550,1457.14,1471.43,0.009806881974278356,-0.05069032258064512,,,,,,,
16, කොප්පරා,Marlins,2475,2228.57,2400,0.07692376725882509,-0.030303030303030304,, ,,,,,
17,අලගොඩුවා,Frigate tuna(L),700,662.5,558.33,-0.15723773584905654,-0.20238571428571422,,,,,,,
18,ඇටවල්ලා,Kawakawa,1010.71,865,733.33,-0.1522196531791907,-0.2744407396780481,,, ,,,,
19,ඇටිස්සා,Red Bream(L),1900,1450,1508.33,0.0402275862068965,-0.20614210526315793,,,,,,,
20,බෝල්ලා,Big eye scade,1050,790,910,0.1518987341772152,-0.13333333333333333,,,, ,,,
21,ගින්නටි පරව්,Ginnati Paraw,1353.13,1240,1375,0.10887096774193548,0.016162526882117674,, ,,, ,,
22,හබරලි,Needle fish,1140,1075,1100,0.023255813953488372,-0.03508771929824561,,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1357.14,1375,1166.67,-0.15151272727272722,-0.1403466112560237,, , ,,,,
24,ජීලාවා,Barracuda(L),1583.33,1400,1420,0.014285714285714285,-0.10315600664422447,,, ,,,,
25,ලින්නා,Indian Scad(L),787.86,565.71,464.29,-0.17927913595305017,-0.4106947934912294,,, ,,,,
26,ලින්නා,Indian Scad(S),743.33,527,380,-0.27893738140417457,-0.4887869452329383,,,,,,,
27,ලේන පරව්,Rainbow Runner,858.33,760.71,657.14,-0.13614912384482925,-0.23439702678457008,,,,,,,
28,සුද්දා,Threadfin  Bream,1366.67,1050,1200,0.14285714285714285,-0.12195336108936325,,, ,,,,
29,සූඩයා,White Sardinella,450.71,462.5,341.67,-0.261254054054054,-0.24192940027955884,,,,,, ,
30,දැල්ලා,Squids /Cuttle fish,1635.71,1775,1400,-0.2112676056338028,-0.14410256096740867,,,,,,,
31,කකුළුවා(L),Sea Crabs(L),2175,2150.33,2100,-0.023405709821283212,-0.034482758620689655,,,, ,,,
32,තිලාපියා,Tilapia (M),500,550,,,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,,
