Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2022,2023,2023,Compared to Average of 2nd week of  October,
Sinhala Name,,Common Name,Average of 2nd week of October,Average of 1st week of October,Average of 2nd week of October,Last week ,Last Year
1,තෝරා,Seer,3335,3300,3065,-0.07121212121212121,-0.08095952023988005
2,පරව් (ලොකු),Trevally (L),2326.67,2410,2210,-0.08298755186721991,-0.05014462729996092
3,ගල්මාළු (ලොකු),Rock Fish (L),2140,2283,2130,-0.06701708278580815,-0.004672897196261682
4,තලපත්,Sail fish,2885,3008,2927,-0.0269281914893617,0.014558058925476604
5,බලයා,Skipjack tuna,1252.5,1366.6,1413,0.03395287575003666,0.1281437125748503
6,කෙළවල්ලා,Yellowfin tuna,2332,2388,2030,-0.14991624790619765,-0.12950257289879932
7,සාලයා (මට්ට),Sardinella,702.5,660,533,-0.19242424242424241,-0.2412811387900356
8,මෝරා,Shark,1780,1710,1690,-0.011695906432748537,-0.05056179775280899
9,හුරුල්ලා,Herrings,870,792,633,-0.20075757575757575,-0.27241379310344827
10,කුම්බලා,Indian mackerel,1102,1038,1025,-0.012524084778420038,-0.06987295825771325
11,කාරල්ලා,Pony fish,680,,,,
12,කටුවල්ලා,Katuwalla,,,,,
13,හාල්මැස්සා,Anchovies,1020,760,690,-0.09210526315789473,-0.3235294117647059
14,ඉස්සා (M),Prawns (M),1940,1845,1765,-0.04336043360433604,-0.09020618556701031
15, කොප්පරා,Marlins,3695,3810,3693,-0.030708661417322834,-0.0005412719891745603
16,අලගොඩුවා,Frigate tuna,1120,825,723,-0.12363636363636364,-0.35446428571428573
17,ඇටවල්ලා,Kawakawa,1126.66,890,790,-0.11235955056179775,-0.29881241900839656
18,ඇටිස්සා,Red Bream(L),,2167,,,
19,බෝල්ලා,Big eye scade,1086.66,787,690,-0.12325285895806862,-0.36502677930539457
20,ගින්නටි පරව්,Ginnati paraw,1346.66,1507,,-1,-1
21,හබරලි,Needle fish,1100,,1067,,
22,හැඩැල්ලා,Indian Anchovy,1486.66,1467,1330,-0.09338786639400136,-0.10537715415764201
23,ජීලාවා,Barracuda,2235,,,,-1
24,ලින්නා,Indian Scade,1066,767,690,-0.10039113428943937,-0.3527204502814259
