Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2019,2020,,"% Change 4th  week January 2020, compared to:",
Sinhala Name,,Common Name,4th Week January ,3rd Week January ,4th Week January ,Last week ,Last Year
1,තෝරා,Seer (Nl),1685.71,1585.71,1500,-0.05084504452129965,-0.11016722923871843
2,පරව් (ලොකු),Trevally (L),608.33,625,632.5,0.012328834678546183,0.039731724557394765
3,ගල්මාළු (ලොකු),Rock fish (L),550,450,450,0,-0.18181818181818182
4,තලපත්,Sail fish,628,663.33,665.71,0.003789808917197445,0.060047770700637
5,බලයා,Skipjack tuna,280.83,438,415,-0.08190008190008191,0.4777623473275648
6,කෙළවල්ලා,Yellowfin tuna,587.86,610,625,0.025516279386248425,0.06317830776035108
7,සාලයා (මට්ට),Sardinella,128.57,195,202.5,0.05833398148868321,0.5750175001944466
8,මෝරා,Sharks,558.33,600,­,­,­
9,හුරුල්ලා,Herrings,264.29,446.67,507.5,0.23016383518105105,0.9202391312573308
10,කුම්බලා,Indian Mackerel,422.14,566,550,-0.037902117780831,0.3028852987160658
11,කාරල්ලා,Pony fish,132.86,215,150,-0.4892367906066536,0.1290079783230467
12,කටුවල්ලා,Katuwalla,262.5,400,335,-0.24761904761904763,0.2761904761904762
13,හාල්මැස්සා,Anchovy,250,308.33,297,-0.04531999999999994,0.188
14,ඉස්සා (M),"Prawns (M) 3""",838.33,921.43,858.33,-0.075268688941109,0.023856953705581333
15, කොප්පරා,Marlins,822.5,845,863.57,0.022577507598784255,0.04993313069908821
16,අලගොඩුවා,Frigate tuna,227.5,390,413.33,0.10254945054945049,0.8168351648351647
17,ඇටවල්ලා,Atawalla,295,405,437.5,0.11016949152542373,0.4830508474576271
18,ඇටිස්සා,Red Bream,700,675,700,0.03571428571428571,0
19,බෝල්ලා,Big eye scade,360,480,540,0.16666666666666666,0.5
20,ගින්නටි පරව්,Ginnati Paraw,566.67,545,561,0.028235128028658657,-0.010005823495155839
21,හබරලි,Needle fish,427.14,510,572.5,0.14632204897691622,0.34030996862855273
22,හැඩැල්ලා,Indian Anchovies,785.71,1000,850,-0.19091013223708492,0.08182408267681456
23,ජීලාවා,Barracuda,613.33,650,700,0.08152218218577274,0.1413105506008184
24,ලින්නා,Indian Scad,209.29,332.5,428.75,0.4598881934158345,1.0485928615796265
25,ලේන පරව්,Rainbow Runner,287.86,414.17,440,0.08973111929410124,0.5285208087264642
26,සුද්දා,Threadfin  Bream,516.67,598,­,­,­
27,සූඩයා,White Sardinella,108.33,149,155,0.055386319579063974,0.43081325579248597
28,දැල්ලා,Squids /Cuttle fish,792.14,767.86,751.67,-0.02043830635998694,-0.05108945388441441
29,කකුළුවා,Sea Crabs,560,475,440,-0.0625,-0.21428571428571427
30,තිලාපියා,Tilapia (M),382.5,450,376.67,-0.19171241830065355,-0.015241830065359436
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,
