Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Variety,,,2024,2025,,% Change   compared to:1st week of Aug. 2025,, ,,,, ,,
Sinhala Name,,Common Name,1st  week of Aug,4th week of July,1st  week of Aug,Last week ,Last Year,, , ,,,,
1,තෝරා,Seer,3816.67,3695,3696,0.00027063599458728013,-0.031616566273741264,, , ,, ,,
2,පරව් (ලොකු),Trevally (L),2395,2790,2580,-0.07526881720430108,0.07724425887265135, , , , ,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2040,2480,2440,-0.016129032258064516,0.19607843137254902,, ,, ,,,
4,තලපත්,Sail fish,3056,3063.33,3016,-0.015450506474979819,-0.013089005235602094,,, ,, ,,
5,බලයා,Skipjack tuna,1306.67,1820,1805,-0.008241758241758242,0.38137402710707363,,,, ,,,
6,කෙළවල්ලා,Yellowfin tuna,2471.67,2736,2430,-0.1118421052631579,-0.016859046717401623,,, ,, ,, 
7,සාලයා (මට්ට),Sardinella,673.33,805,725,-0.09937888198757763,0.07673800365348336,,, , ,, ,
8,මෝරා,Shark,1913.33,1856,1890,0.018318965517241378,-0.012193401033799673,,,,,,,
9,හුරුල්ලා,Herrings,964,1092,1054.17,-0.03464285714285708,0.09353734439834033,, ,,,,,
10,කුම්බලා,Indian mackerel,1260,1573.33,1510,-0.04025220392416081,0.1984126984126984,,,,,,, 
11,කාරල්ලා,Pony fish,480,,510,,0.0625,,, ,, ,,
12,කටුවල්ලා,Katuwalla,,,,,,, ,,,,,
13,හාල්මැස්සා,Anchovies,856,,,,,,,, ,,,
14,ඉස්සා (M),Prawns (M),1973.33,2075,2096.67,0.010443373493975939,0.06250348395858785,, , ,,,,
15, කොප්පරා,Marlins,3495,3590,3610,0.005571030640668524,0.032904148783977114,,,,,,,
16,අලගොඩුවා,Frigate tuna,813.33,1310,1180,-0.09923664122137404,0.45082561813777916,,, , ,,,
17,ඇටවල්ලා,Kawakawa,926.67,1390,1280,-0.07913669064748201,0.38128999535972896,,, , ,,,
18,ඇටිස්සා,Red Bream(L),1780,2020,1806.67,-0.10560891089108908,0.014983146067415772,,,,, ,,
19,බෝල්ලා,Big eye scade,1090,1520,,,,,,,, ,,
20,ගින්නටි පරව්,Ginnati paraw,1506.67,1680,1633.33,-0.02777976190476195,0.08406618569427933,,, ,,, ,
21,හබරලි,Needle fish,1160,1530,1380,-0.09803921568627451,0.1896551724137931,,, ,,,,
22,හැඩැල්ලා,Indian Anchovy,1530,1800,1620,-0.1,0.058823529411764705,,                                                                                                                                                                                                                                                                                                                                     ,,,,,
23,ජීලාවා,Barracuda(L),2093.33,2726.67,2595,-0.0482896720175159,0.23965165549626677,,,,,,,
24,ලින්නා,Indian Scade,770,1048,990,-0.05534351145038168,0.2857142857142857,,, ,,,,
25,ලේන පරව්,Rainbow runner,920,1195,1026.67,-0.1408619246861924,0.11594565217391312,,,,,,,
26,සුද්දා,Threadfin bream,1295,1426.67,1236,-0.13364688400260752,-0.04555984555984556,,,,,,,
27,සූඩයා,White Sardinella,370,540,480,-0.1111111111111111,0.2972972972972973,,,,, ,,
28,දැල්ලා,Cuttle fish,2060,2166.67,2140,-0.01230921183198183,0.038834951456310676,,,,,,,
29,කකුළුවා,Sea Crabs(L),2695,3190,2910,-0.0877742946708464,0.07977736549165121,,,,,,,
30,තිලාපියා,Thilapia (M),980,980,960,-0.02040816326530612,-0.02040816326530612,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,, ,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,
,,,,,,,, ,,,, ,,
