Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Variety,,,2024,2025,,% Change   compared to:4th week of Sep. 2025,, ,,,, ,,
Sinhala Name,,Common Name,4th  week of Sep,3rd  week of Sep,4th  week of Sep,Last week ,Last Year,, , ,,,,
1,තෝරා,Seer,3820,4168,4320,0.036468330134357005,0.13089005235602094,, , ,, ,,
2,පරව් (ලොකු),Trevally (L),2660,2595,2656,0.023506743737957612,-0.0015037593984962407, , , , ,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2225,2190,2240,0.0228310502283105,0.006741573033707865,, ,, ,,,
4,තලපත්,Sail fish,3076,2930,2936,0.0020477815699658703,-0.045513654096228866,,, , , ,,
5,බලයා,Skipjack tuna,1293.33,1940,1840,-0.05154639175257732,0.42268407908267813,,,, ,,,
6,කෙළවල්ලා,Yellowfin tuna,2546.67,2776,2793.33,0.0062427953890489656,0.09685589416767773,,, ,, ,, 
7,සාලයා (මට්ට),Sardinella,594,566.66,610,0.07648325274415,0.026936026936026935,,, , ,, ,
8,මෝරා,Shark,1826,2015,2080,0.03225806451612903,0.13910186199342825,,,,,,,
9,හුරුල්ලා,Herrings,1212.5,1092,1120,0.02564102564102564,-0.07628865979381444,, ,,,,,
10,කුම්බලා,Indian mackerel,1065,1277.5,1280,0.0019569471624266144,0.20187793427230047,,,,,,, 
11,කාරල්ලා,Pony fish,580,510,,,,,, ,, ,,
12,කටුවල්ලා,Katuwalla,,,,,,, ,,,,,
13,හාල්මැස්සා,Anchovies,,,,,,,,, , ,,
14,ඉස්සා (M),Prawns (M),1990,2295,2186.67,-0.047202614379084934,0.09882914572864325,, , ,,,,
15, කොප්පරා,Marlins,3610,3440,3520,0.023255813953488372,-0.024930747922437674,,,,,,,
16,අලගොඩුවා,Frigate tuna,1020,1130,1190,0.05309734513274336,0.16666666666666666,,, , ,,,
17,ඇටවල්ලා,Kawakawa,1085,1253.33,1153.33,-0.0797874462432081,0.06297695852534556,,, , ,,,
18,ඇටිස්සා,Red Bream(L),1910,1860,1920,0.03225806451612903,0.005235602094240838,,,,, ,,
19,බෝල්ලා,Big eye scade,1026.67,1215,1106.67,-0.08916049382716043,0.07792182492913984,,,,, ,,
20,ගින්නටි පරව්,Ginnati paraw,1406.67,1540,1546.67,0.004331168831168878,0.09952583050751064,,, ,,, ,
21,හබරලි,Needle fish,1206.67,1210,1360,0.12396694214876033,0.12706870975494536,,, ,,,,
22,හැඩැල්ලා,Indian Anchovy,1466.67,1504,1420,-0.05585106382978723,-0.03182038222640408,,                                                                                                                                                                                                                                                                                                                                     ,,,,,
23,ජීලාවා,Barracuda(L),2520,2545,,,,,,,,,,
24,ලින්නා,Indian Scade,892,976,931.66,-0.04543032786885249,0.044461883408071716,,, ,,,,
25,ලේන පරව්,Rainbow runner,1026.67,1020,940,-0.0784313725490196,-0.08441855708260694,,,,,,,
26,සුද්දා,Threadfin bream,1040,1320,1333.33,0.010098484848484794,0.2820480769230769,,,,,,,
27,සූඩයා,White Sardinella,405,380,420,0.10526315789473684,0.037037037037037035,,,,, ,,
28,දැල්ලා,Cuttle fish,2026.67,1960,2100,0.07142857142857142,0.03618250627877253,,,,,,,
29,කකුළුවා,Sea Crabs(L),2693.33,3190,3240,0.01567398119122257,0.20297178585617065,,,,,,,
30,තිලාපියා,Thilapia (M),920,960,960,0,0.043478260869565216,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,, ,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,
,,,,,,,, ,,,, ,,
