"","Summary Statistics at a Glance","","","",""
"Description","Unit","","Indicator","",""
"6. Social Information, cont…...","","2019","2020","2021","2022"
"6.5
Inland Fishers (Men & women)","Numbers","70,715","90,650","91,020","92,056"
"6.6
Marine Fishing Household Population","Numbers","804,760","804,980","803,820","804,340"
"6.7
Inland Fishing Household Population","Numbers","247,570","318,730","320,060","323,120"
"6.8
Direct and Indirect Employments (Marine & Inland)","Numbers","585,000","586,000","586,000","586,000"
"6.9
Fishing and Related Livelihoods","Million","2.7","2.7","2.7","2.7"
"6.10
Fisher Organizations (FO) - Marine","Numbers","1,000","1,000","1,025","1,038"
"6.11
Fisher Organizations (FO) - Inland","Numbers","445","445","463","490"
"6.12
No. of Memberships in FO - Marine","Numbers","84,321","84,321","84,933","86,804"
"6.13
No. of Memberships in FO - Inland","Numbers","21,550","21,550","21,884","19,077"
"7. Fish Trade and Processing","","2019","2020","2021","2022"
"7.1
Fish Processing Plants (EU Approved)","Numbers","34","31","39","38"
"7.2
Fish Packing Centers","Numbers","","16","17","18"
"","","30","","",""
"7.3
Fish Processing Plants (Other)","Numbers","","14","16","12"
"","Rs.Mn","53,483","39,874","63,222","97,243"
"7.4
Annual Export Earnings","","","","",""
"","US$ (million)","299","215","318","302"
"7.5
Annual Export Volume","Mt","28,771","21,298","26,749","25,730"
"","Rs.Mn","38,952","35,504","25,080","21,664"
"7.6
Annual Import Expenditure","","","","",""
"","US$ (million)","218","191","126","70"
"7.7
Annual Import Volume","Mt","95,637","85,809","56,176","41,737"
"","Rs.Mn","14,531","4,370","38,142","75,579"
"7.8
Balance of Fish Trade (8)","","","","",""
"","US$ (million)","81","24","192","232"
"","Mt","14,252","8,992","9,936","9,317"
"7.9
Volume of Tuna Export","","","","",""
"","Percentage","49.5","42.2","37.1","36.2"
"","Rs.Mn.","24,309","17,003","24,816","37,731"
"7.10
Value of Tuna Export","","","","",""
"","Percentage","45.5","42.6","39.3","38.8"
"","Mt","8,980","6,750","8,527","8,211"
"7.11
Total Fish and Fishery Products Export to EU","","","","",""
"","Percentage","31.2","31.7","31.9","31.9"
"","Mt","5,200","3,576","4,601","4,159"
"7.12
Tuna Export to EU","","","","",""
"","Percentage","36.5","39.8","46.3","44.6"
"8.  Other Selected Imports","Unit","2019","2020","2021","2022"
"8.1
Imports of frozen mackerel For canned fish industry","Mt","3,391.0","3,948.0","5,408.7","2,131.0"
"Value of imported frozen mackerel","Rs.Mn.","645.2","898.3","1,378.3","741.0"
"8.2
Imports of baits for multiday fishery","Mt","5,097.3","3,604.9","2,199.0","26.8"
"Value of imported baits","Rs.Mn.","1,141.9","839.9","522.1","14.8"
"9.  Supply of Fishery Products","Unit","2019","2020","2021","2022"
"9.1
Supply of Dried fish","Mt","89,939","102,506","83,925","52,882"
"Imported volume","Mt","35,059","42,746","32,585","29,922"
"Domestically produced volume","Mt","54,880","59,760","51,340","22,960"
"9.2
Supply of Canned fish","Mt","39,937","30,073","18,009","9,259"
"Imported volume","Mt","36,806","26,044","8,758","3,431"
"Domestically produced volume","Mt","3,131","4,029","9,251","5,828"
"Domestically produced volume","Millions of cans","","","",""
"","","7.5","10.0","21.8","13.9"
"No of  local canned fish manufactureing companies","Numbers","8","9","10","12"
"Note:
(1). Coastal Resources Management Plan (CRMP), CCD-1997","","","","",""
