"","Villus","Hectares","","","","5,000"
"","3.  Annual Fish Production","","2019","2020","2021","2022"
"3.1","Marine Sector","Mt.","415,490","326,930","331,675","280,610"
"","Coastal Waters","Mt.","242,580","182,560","178,260","149,440"
"","Offshore/Deep Sea Waters","Mt.","172,910","144,370","153,415","131,170"
"3.2","Inland and Aquaculture Sector","Mt.","90,340","101,810","104,235","116,620"
"","Inland Capture Fisheries","Mt.","73,230","84,310","80,720","94,860"
"","Aquaculture Fisheries","Mt.","10,710","10,140","9,105","7,680"
"","Shrimp Farms","Mt.","6,400","7,360","14,410","14,080"
"3.3","Total Production","Mt.","505,830","428,740","435,910","397,230"
"","4. Fishing Fleet (Operting Boats)","","2019","2020","2021","2022"
"4.1","Multy-day Boats (Offshore Vessels) -IMUL","Numbers","4,885","5,155","5,364","5,088"
"","Multy-day Boats  - High seas IMUL","Numbers","1,189","927","1,194","1,485"
"","Multy-day Boats  - Other IMUL","Numbers","3,696","4,228","4,170","3,603"
"4.2","Inboard Single Day Boats - IDAY","Numbers","948","895","860","831"
"4.3","Outboard Motor FRP Boats - OFRP","Numbers","23,404","24,074","24,389","24,530"
"4.4","Motorized Traditional Boats - MTRB","Numbers","2,140","2,310","2,398","2,374"
"4.5","Non-motorized Traditional Boats - NTRB","Numbers","16,312","16,006","15,695","14,877"
"4.6","Non-motorized Traditional Beach-seine Boats - NBSB","Numbers","1,287","1,056","1,070","980"
"","Total Marine Fishing Fleet","Numbers","48,976","49,496","49,776","48,680"
"4.7","Inland Fishing Fleet","Numbers","9,870","9,880","9,940","9,879"
"","5. Infrastructure Facilities (Marine sector)**","","2019","2020","2021","2022"
"5.1","Major Fishery Harbours(3)","Numbers","22","23","23","25"
"5.2","Functioning Major Fishery Harbours(4)","Numbers","21","21","21","24"
"5.3","Proposed Fishery Harbours for upgrading (5)","Numbers","8","14","8","7"
"5.4","Ongoing Fishery Harbours(6)","Numbers","3","3","3","1"
"5.5","Proposed New Fishery Harbours (7)","Numbers","4","4","4","4"
"5.4","Anchorages","Numbers","na","17","17","18"
"5.5","Minor Fish Landing Centers","Numbers","883","931","927","931"
"5.6","Active Ice Plants","Numbers","104","104","120","108"
"5.7","Ice Production Capacity","Mt/day","3,581.0","3,581.0","4,973","4,020"
"5.8","Boat Manufacturing Yards (Registered)","Numbers","72","65","65","67"
"5.9","Fishing Gear Factories","Numbers","10","38","38","15"
"","6. Social Information","","2019","2020","2021","2022"
"6.1","Fisheries Inspector Divisions (Marine)","Numbers","145","145","148","148"
"6.2","Marine Fishing Households","Numbers","185,390","185,570","185,810","186,500"
"6.3","Inland Fishing Households","Numbers","64,290","81,070","81,410","83,690"
"","","iii","","","",""
