"","Table 2.2: Active Ice Plants and Production Capacity by Districts (1983 - 2021)","","","","","","","","","","","","","","","","","",""
"","","","1983","","","1997","","","2005","","","2010","","2017/2018","","2019/2020","","2020/2021",""
"Addministrative 
Fisheries","","","","","","","","","","","","","","","","","","",""
"","","","Production","","","Production","","","Production","","","Production","","","Production","","Production","","Producti"
"","","Ice","","","Ice","","","Ice","","","Ice","","","Ice","","Ice","","",""
"District
District","","","","","","","","","","","","","","","","","","",""
"","","","Capacity","","","Capacity","","","Capacity","","","Capacity","","","Capacity","","Capacity","Ice plants","on"
"","","plants","","","plants","","","plants","","","plants","","","plants","","plants","","",""
"","","","","(Mt/day)","","","(Mt/day)","","(Mt/day)","","","","(Mt/day)","","(Mt/day)","","(Mt/day)","","Capacity"
"Colombo 
Colombo","","17","","339","3","","103","2","","10","3","","25","-","-","-","-","-","-"
"1","","","","","","","","","","","","","","","","","","",""
"Gampaha                 Negombo","-","","","-","-","","-","10","","329","6","","245","12","689","14","607","11","917"
"2","","","","","","","","","","","","","","","","","","",""
"Kalutara                Kalutara","","2","","20","4","","106","2","","60","5","","185","6","278","6","253","8","330"
"3","","","","","","","","","","","","","","","","","","",""
"Matale             
Matale","-","","","-","-","","-","1","","8","-","","-","1","15","1","15","1","44"
"5","","","","","","","","","","","","","","","","","","",""
"Galle
Galle","","1","","50","3","","100","3","","76","9","","189","5","120","9","289","10","352"
"7","","","","","","","","","","","","","","","","","","",""
"Matara             
Matara","","2","","10","8","","180","5","","180","2","","20","11","452","11","397","10","355"
"8","","","","","","","","","","","","","","","","","","",""
"Hambantota                Tangalle","","1","","10","5","","32","3","","40","6","","44","14","480","14","549","19","657"
"9","","","","","","","","","","","","","","","","","","",""
"Jaffna
Jaffna","","12","","85","1","","3","6","","8","4","","313","6","130","5","135","5","135"
"10","","","","","","","","","","","","","","","","","","",""
"","","","","","2","","20","4","","34","-","","-","4","164","4","141","6","167"
"11 Mannar","","","","","","","","","","","","","","","","","","",""
"","","","","","-","","-","-","","-","8","","17","2","47","2","47","2","47"
"13 Mullaitivu","","","","","","","","","","","","","","","","","","",""
"Kilinochchi                 Kilinochchi","-","","","-","-","","-","-","","-","-","","-","2","11","2","85","2","85"
"14","","","","","","","","","","","","","","","","","","",""
"Batticaloa               Batticaloa","","4","","28","1","","10","-","","-","4","","36","4","113","5","165","6","166"
"15","","","","","","","","","","","","","","","","","","",""
"16
Ampara                        Kalmunai","","3","","11","5","","10","-","","-","5","","148","3","32","3","32","3","30"
"Trincomalee          Trincomalee","","5","","30","3","","20","2","","100","6","","140","6","316","8","285","8","285"
"17","","","","","","","","","","","","","","","","","","",""
"Kurunegala","-","","","-","-","","-","-","","-","1","","10","1","1","1","1","1","23"
"18","","","","","","","","","","","","","","","","","","",""
"Puttalam","","9","","64","3","","75","3","","90","5","","175","8","230","6","167","12","400"
"19
Puttalam","","","","","","","","","","","","","","","","","","",""
"Chilaw","-","","","-","-","","-","5","","121","6","","140","5","215","9","378","",""
"Anuradhapura","-","","","-","-","","-","1","","10","1","","10","2","13","2","18","2","11"
"20","","","","","","","","","","","","","","","","","","",""
"Polonnaruwa","-","","","-","","","","-","","-","-","","-","1","2","1","15","1","15"
"21","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","1","2","1","2","1","2"
"22 Monaragala","","","","","","","","","","","","","","","","","","",""
"Total
Total","","62","","682","35","","584","47","","1,066","71","","1,697","94","3,310","104","3,580.65","108","4,020"
"Source: Statistics Unit, Ministry of Fisheries","","","","","","","","","","","","","","","","","","",""
