"Source  : Statistics Unit, Ministry of Fisheries","","","","","","","","","","","",""
"Note     : Retail prices at Maharagama, Kirulapone, Wellampitiya, Dematagoda, Battaramulla and Nugegoda retail markets","","","","","","","","","","","",""
"","Table 7.2: Annual Average Wholesale Prices of Fresh Fish at Main Fish Market in Colombo** -  (Rs/Kg)","","","","","","","","","","",""
"","Wholesale","1990","1995","2000","2005","2010","2015","2018","2019","2020","2021","2022"
"1","Salaya/Sardinella","15.00","30.00","29.00","62.00","106.00","125.00","158.00","193.00","236.00","196.00","452.47"
"2","Hurulla/ Herrings","18.00","41.00","64.00","98.00","197.00","260.00","298.00","374.00","420.00","447.00","692.26"
"3","Balaya/ Skipjack tuna","35.00","43.00","81.00","107.00","215.00","314.00","319.00","359.00","341.00","409.00","723.50"
"4","Kelawalla/ Yellowfin tuna","40.00","56.00","127.00","156.00","314.00","478.00","571.00","613.00","576.00","687.00","1,232.21"
"5","Thora/ Seer","65.00","118.00","270.00","366.00","667.00","1035.00","1,252.00","1,385.00","1304.00","1,099.00","1,780.94"
"6","Para/ Travelly","45.00","107.00","140.00","187.00","349.00","499.00","531.00","574.00","625.00","652.00","1,165.94"
"7","Mora/ Sharks","42.00","45.00","100.00","144.00","289.00","431.00","556.00","602.00","584.00","628.00","977.10"
"8","Thalapath/ Sail fish","45.00","77.00","181.00","233.00","442.00","601.00","615.00","696.00","701.00","970.00","1,607.57"
"9","Kumbalawa/ Indian mackerel","35.00","54.00","99.00","155.00","269.00","360.00","405.00","474.00","505.00","464.00","802.48"
"10","Gal malu/ Rock fish","38.00","72.00","95.00","148.00","287.00","360.00","524.00","467.00","610.00","697.00","1,182.20"
"11","Issa/ Prawns","88.00","140.00","290.00","na","620.00","722.00","888.00","923.00","996.00","878.00","1,235.01"
"12","Theppili/ Thilapia","24.00","32.00","53.00","69.00","162.00","268.00","334.00","355.00","378.00","395.00","506.60"
"","US$/Rs","40.06","51.25","75.78","100.50","113.06","135.94","162.54","178.78","185.52","198.88","363.10"
