"","Table 1.2:  Information of Perennial Tanks by Districts 2021-2022","","","","","","","","","","","","","",""
"","","","","","","","2021","","","","","2022","","",""
"","District","","","","Tanks","","","","Landing","","Tanks","","","Area","Landing"
"","","","","","","","","Area (Ha)","","","","","","",""
"","","Major Mediu Minor","","","","","Total","","Sites","Major Medium","","Minor","Total","(Ha)","Sites"
"1","Colombo","-","","-","","13","13","130","6","-","-","13","13","130","7"
"2","Gampaha","-","","-","","50","50","120","36","-","-","50","50","120","40"
"3","Kalutara","","1","-","","24","25","1,410","22","1","-","20","21","1,300","15"
"4","Kandy","","1","-","","59","60","2,850","51","1","-","59","60","2,850","45"
"5","Matale","","2","","5","59","66","7,400","47","2","5","55","62","7,200","50"
"6","Nuwara Eliya","","1","","3","44","48","4,300","39","1","3","44","48","4,300","30"
"7","Galle","","-","-","","7","7","25","5","-","-","7","7","25","5"
"8","Matara","","-","-","","35","35","970","35","-","-","35","35","970","35"
"9","Hambantota","","2","","6","85","93","9,685","79","2","6","80","88","9,450","87"
"10","Jaffna","-","","-","","-","-","-","-","-","-","-","0","-",""
"11","Mannar","","1","","3","39","43","6,360","11","1","3","35","39","6,100","14"
"12","Vavunia","","1","","4","32","37","4,350","24","1","4","30","35","4,300","15"
"13","Mulathivu","","2","","5","36","43","10,600","34","2","5","36","43","10,600","30"
"14","Killinochchi","","2","","2","22","26","5,600","10","2","2","20","24","5,500","15"
"15","Batticaloa","","2","","5","53","60","5,620","21","2","5","50","57","5,500","22"
"16","Ampara","","7","","13","120","140","28,000","92","7","13","110","130","27,700","85"
"17","Trincomalee","","2","","4","94","100","14,100","61","2","4","90","96","13,900","55"
"18","Kurunegala","","2","","9","43","54","9,200","66","2","9","43","54","9,200","60"
"19","Puttalam","-","","","5","42","47","4,900","41","-","5","40","45","4,800","45"
"20","Anuradhapura","","11","","12","101","124","29,200","175","11","12","116","139","29,500","190"
"21","Polonnaruwa","","5","","3","117","125","19,900","101","5","3","110","118","19,700","105"
"22","Badulla","","1","","6","44","51","5,700","44","1","6","40","47","5,550","45"
"23","Monaragala","","2","","6","86","94","7,810","84","2","6","86","94","7,810","90"
"24","Ratnapura","","1","","2","41","44","5,300","21","1","2","35","38","5,100","20"
"25","Kegalle","-","","-","","19","19","30","19","-","-","20","20","35","15"
"Total","","","46","","93","1,265","1,404","183,560","1,124","46","93","1,224","1,363","181,640","1,120"
"Source : National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","","","","","","","","","",""
