"Source of Production","2010","2014","2015","2018","2019","2020","2021","2022"
"Freshwater prawns (Macrobrachium","","","","","","","",""
"rosenbergii)","","","","","","","",""
"Aquaculture Centres","","","","","","","",""
"Pambala","1.77","1.53","1.78","6.46","9.51","13.50","11.55","4.67"
"Kahandamodara","11.27","9.08","19.94","44.65","37.09","30.20","22.97","18.98"
"Kallar","","","","","3.36","16.00","17.83","12.35"
"Sub-total","13.04","10.61","21.72","51.11","49.96","59.70","52.35","36"
"Other","","","","","","","",""
"Private hatcheries","","","2.00","22.65","15.95","18.00","","11.65"
"Total","13.04","10.61","23.72","73.76","65.91","77.70","52.35","47.65"
