"","","Active","","","","Inactive","Permanently Closed","Total",""
"Administrative","","","Daily production","","","Daily production","Daily production","","Daily production"
"","Fisheries District","","","","","","","",""
"District","","Number","capacity","Number","","capacity                     
Number","capacity                     
Number","","capacity"
"","","(Mt/ day)","","","","(Mt/ day)","(Mt/ day)","(Mt/ day)",""
"Colombo","Colombo","","","","","1","","1","-"
"Gampaha","Negombo","11","917","","1","","","12","917.00"
"Kalutara","Kaluthara","8","330","","1","40.00
             
1","10.00","10","380.00"
"Matale","Matale","1","44","","","","","1","43.50"
"Galle","Galle","10","352","","","","","10","351.50"
"Matara","Matara","10","355","","","1","","11","355.30"
"Hambanthota","Tangalle","19","657","","2","20.00","","21","677.00"
"Jaffna","Jaffna","5","135","","1","5.00","","6","140.00"
"Mannar","Mannar","6","167","","","","","6","167.00"
"Mullaitivu","Mullaitivu","2","47","","","1","3.50","3","50.90"
"Kilinochchi","Kilinochchi","2","85","","","","","2","85.00"
"Batticaloa","Batticaloa","6","166","","","","","6","166.00"
"Ampara","Kalmunai","3","30","","","2","","5","29.50"
"Trincomalee","Trincomalee","8","285","","","","","8","285.00"
"Kurunegala","Kurunegala","1","23","","","","","1","22.80"
"","Puttalam","12","400","","2","","","14","400.00"
"Puttalam","","","","","","","","",""
"","Chilaw","","","","","","","-","-"
"Anuradhapura","Anuradhapura","2","11","","","","","2","11.00"
"Polonnaruwa","Polonnaruwa","1","15","","","","","1","15.00"
"Monaragala","Monaragala","1","2","","","","","1","2.00"
"Total","","108","4,020","","7","65.00
             
6","13.50","121","4,098.50"
