Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2021,2022,,"% Change 1st week of May 2022, compared to:",
Sinhala Name,,Common Name,May 1st week average,April  4th week average,May 1st week average,Last week ,Last Year
1,තෝරා,Seer,1840,2560,2583.33,0.009113281249999971,0.40398369565217385
2,පරව් (ලොකු),Trevally (L),1333.33,1860,1746.67,-0.06093010752688168,0.31000577501443766
3,ගල්මාළු (ලොකු),Rock Fish (L),1320,1552.5,1562.5,0.00644122383252818,0.18371212121212122
4,තලපත්,Sail fish,1400,1948,2033.33,0.043803901437371624,0.45237857142857135
5,බලයා,Skipjack tuna,890,1136,1106.66,-0.025827464788732324,0.2434382022471911
6,කෙළවල්ලා,Yellowfin tuna,1280,1858.33,1883.33,0.013452938929038438,0.47135156249999993
7,සාලයා (මට්ට),Sardinella,326.66,390,397.5,0.019230769230769232,0.2168615686034408
8,මෝරා,Shark,,1410,,,
9,හුරුල්ලා,Herrings,626.67,804,790,-0.017412935323383085,0.260631592385147
10,කුම්බලා,Indian mackerel,660,966.67,910,-0.058623935779531754,0.3787878787878788
11,කාරල්ලා,Pony fish,,400,390,-0.025,
12,කටුවල්ලා,Katuwalla,,530,,,
13,හාල්මැස්සා,Anchovies,,620,680,0.0967741935483871,
14,ඉස්සා (M),Prawns (M),1120,1401.66,1392.5,-0.0065351083715024195,0.24330357142857142
15, කොප්පරා,Marlins,,2256.66,2210,-0.020676575115436024,
16,අලගොඩුවා,Frigate tuna,,790,826.66,0.0464050632911392,
17,ඇටවල්ලා,Kawakawa,600,826.64,835,0.010113229459014824,0.39166666666666666
18,ඇටිස්සා,Red Bream,1040,,,,
19,බෝල්ලා,Big eye scade,480,892.5,872.5,-0.022408963585434174,0.8177083333333334
20,ගින්නටි පරව්,Ginnati paraw,920,1100,,,-1
21,හබරලි,Needle fish,,,,,
22,හැඩැල්ලා,Indian Anchovy,,1291.66,1375,0.06452162333741071,
23,ජීලාවා,Barracuda,,1286.66,,,
24,ලින්නා,Indian Scade,520,812,806.66,-0.006576354679802995,0.5512692307692307
25,ලේන පරව්,Rainbow runner,,900,932.5,0.03611111111111111,
26,සුද්දා,Threadfin bream,,933.33,980,0.050003750013392856,
27,සූඩයා,White Sardinella,,270,300,0.1111111111111111,
28,දැල්ලා,Cuttle fish,,1350,,,
29,කකුළුවා,Sea Crabs(L),,2520,2600,0.031746031746031744,
30,තිලාපියා,Thilapia (M),,760,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,
Maharagama and Dematagoda fish markets.,,,440,,,,
**Rrtail Price collection done by Telephone,,,,,,,
