Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Variety,,,2021,2022,,"% Change 4th week of Apr. 2022, compared to:",, 
Sinhala Name,,2nd,1st week of May,4th week of Apr.,1st week of May,Last week ,Last Year,
1,තෝරා,Seer (Nl),1000,1320.6,1358.33,0.028570346812055142,0.3583299999999999,
2,පරව් (ලොකු),Trevally (L),683.33,942.86,845,-0.10379059457395585,0.23659139800681947,  
3,ගල්මාළු (ලොකු),Rock fish (L),668.75,950,1083.33,0.14034736842105255,0.6199327102803738, 
4,ගල්මාළු (පොඩි),Rock fish (S),,793.75,791.67,-0.0026204724409449333,,
5,තලපත්,Sail fish,900,1266.67,1200,-0.05263407201560001,0.3333333333333333,
6,බලයා,Skipjack tuna,478.57,650.71,621.43,-0.044997003273347706,0.2985143239233549,
7,කෙළවල්ලා,Yellowfin tuna,840,1112.5,1115,0.0022471910112359553,0.3273809523809524,
8,සාලයා (මට්ට),Sardinella,195,267.5,265,-0.009345794392523364,0.358974358974359,
9,මෝරා,Sharks,616.67,825,,,,
10,හුරුල්ලා,Herrings,518.33,600,570,-0.05,0.0996855285242991,
11,කුම්බලා,Indian Mackerel,624.29,753.57,695.83,-0.07662194620274163,0.11459417898732974,
12,කාරල්ලා,Pony fish,335,233.33,231.25,-0.008914413063043811,-0.30970149253731344,
13,කටුවල්ලා,Katuwalla,317.5,433.33,325,-0.2499942307248517,0.023622047244094488,
14,හාල්මැස්සා,Anchovy,330,380,400,0.05263157894736842,0.21212121212121213,
15,ඉස්සා (M),"Prawns (M) 3""",912.5,1046.43,1008.33,-0.036409506608182124,0.10501917808219183,
16, කොප්පරා,Marlins,992.86,1415,1368.75,-0.03268551236749117,,
17,අලගොඩුවා,Frigate tuna(L),423.75,649,625,-0.03697996918335902,0.4749262536873156,
18,ඇටවල්ලා,Atawalla,476,691,700,0.013024602026049204,,
19,ඇටිස්සා,Red Bream(L),710,960,891.67,-0.07117708333333338,0.25587323943661966,
20,බෝල්ලා,Big eye scade,532.86,737.5,612.5,-0.1694915254237288,,
21,ගින්නටි පරව්,Ginnati Paraw,706,920.83,875,-0.049770315910645874,0.23937677053824363,
22,හබරලි,Needle fish,580,690,650,-0.057971014492753624,0.1206896551724138,
23,හැඩැල්ලා,Indian Anchovies,910,1033.33,1200,0.16129406869054425,0.31868131868131866,
24,ජීලාවා,Barracuda(L),720,920,856.25,-0.06929347826086957,0.1892361111111111,
25,ලින්නා,Indian Scad(L),401.43,644.17,633.33,-0.016827856000745017,0.5776847769225021,
26,ලින්නා,Indian Scad(S),,540,493.75,-0.08564814814814815,,
27,ලේන පරව්,Rainbow Runner,471.67,612.5,680,0.11020408163265306,0.441685924481099,
28,සුද්දා,Threadfin  Bream,583.33,770,800,0.03896103896103896,0.3714364082080468,
29,සූඩයා,White Sardinella,116.43,164.29,206.67,0.25795848803944244,0.7750579747487759,
30,දැල්ලා,Squids /Cuttle fish,942.86,1114.27,1256.25,0.12741974566307987,0.3323823261141633,
31,කකුළුවා(L),Sea Crabs(L),795,1850,1962.5,0.060810810810810814,1.4685534591194969,
32,තිලාපියා,Tilapia (M),398,566.67,,,-1,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,
