Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Variety,,,2023,2024,,Compared to Average of 1st week of  Oct. 2024,, ,,,,,,,
Sinhala Name,,Common Name,Average of 1st week of  Oct.,Average of 4th week of  Sep.,Average of 1st week of  Oct.,Last week ,Last Year,, ,, ,,,,
1,තෝරා,Seer,3300,3820,3726.67,-0.02443193717277485,0.1292939393939394,, ,, ,, ,,
2,පරව් (ලොකු),Trevally (L),2410,2660,2260,-0.15037593984962405,-0.06224066390041494, , , ,, ,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2283,2225,2090,-0.060674157303370786,-0.08453788874288218,, ,,,,,,
4,තලපත්,Sail fish,3008,3076,2896.67,-0.05829973992197657,-0.03701130319148934,,, , ,,,,
5,බලයා,Skipjack tuna,1366.6,1293.33,1200,-0.07216255711999253,-0.12190838577491579,,, ,,,,,
6,කෙළවල්ලා,Yellowfin tuna,2388,2546.67,2270,-0.10863991015718569,-0.049413735343383586,,, , ,,,, 
7,සාලයා (මට්ට),Sardinella,660,594,532,-0.10437710437710437,-0.19393939393939394,,,, ,,, ,
8,මෝරා,Shark,1710,1826,1722.5,-0.056681270536692224,0.007309941520467836,,,,,,,,
9,හුරුල්ලා,Herrings,792,1212.5,930,-0.2329896907216495,0.17424242424242425,,,,,,,,
10,කුම්බලා,Indian mackerel,1038,1065,910,-0.14553990610328638,-0.1233140655105973,,,,,,,,
11,කාරල්ලා,Pony fish,,580,520,-0.10344827586206896,,,,,,,,,
12,කටුවල්ලා,Katuwalla,,,640,, ,,,,,,,,
13,හාල්මැස්සා,Anchovies,760,,,,,,,,,,,,
14,ඉස්සා (M),Prawns (M),1845,1990,1965,-0.01256281407035176,0.06504065040650407,,,,,,,,
15, කොප්පරා,Marlins,3810,3610,3190,-0.11634349030470914,-0.16272965879265092,,,,,,,,
16,අලගොඩුවා,Frigate tuna,825,1020,920,-0.09803921568627451,0.11515151515151516,,,,,,,,
17,ඇටවල්ලා,Kawakawa,890,1085,1010,-0.06912442396313365,0.1348314606741573,,,,,,,,
18,ඇටිස්සා,Red Bream(L),2167,1910,1710,-0.10471204188481675,-0.21089063221042917,,, ,,,,,
19,බෝල්ලා,Big eye scade,787,1026.67,920,-0.1038990133148919,0.16899618805590852,,,,,,,,
20,ගින්නටි පරව්,Ginnati paraw,1507,1406.67,,,-1,,,, ,,, ,
21,හබරලි,Needle fish,,1206.67,1160,-0.03867668873842896, ,,, ,,,,,
22,හැඩැල්ලා,Indian Anchovy,1467,1466.67,1593.33,0.08635889463887572,0.08611451942740281,,,,,,,,
23,ජීලාවා,Barracuda,,2520,2120,-0.15873015873015872,,,,,,,,,
24,ලින්නා,Indian Scade,767,892,856.67,-0.039607623318385694,0.11691003911342888,,,,,,,,
25,ලේන පරව්,Rainbow runner,1093,1026.67,980,-0.04545764461803702,-0.10338517840805124,,,,,,,,
26,සුද්දා,Threadfin bream,963,1040,910,-0.125,-0.055036344755970926,,,,,,,,
27,සූඩයා,White Sardinella,470,405,340,-0.16049382716049382,-0.2765957446808511,,,,,,,,
28,දැල්ලා,Cuttle fish,1820,2026.67,2010,-0.00822531541888915,0.1043956043956044,,,,,,,,
29,කකුළුවා,Sea Crabs(L),,2693.33,2720,0.009902239978019802,,,,,,,,,
30,තිලාපියා,Thilapia (M),,920,,,,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,,, ,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
