--- 01-RETAIL.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Variety,,,2019,2020,,"% Change 4th  week September 2020, compared to:",,,,
Sinhala Name,,Common Name,4th week September,3rd week September,4th week September,Last week ,Last Year,,,
19,බෝල්ලා,Big eye scade,403.33,418,420,0.004784688995215311,0.04133092009024872,,මට්ට සාලයා,230.0
20,ගින්නටි පරව්,Ginnati paraw,816.67,920,,,,,හුරුල්ලා,475.0
21,හබරලි,Needle fish,632.5,,,,,,කුම්බලා,542.5
22,හැඩැල්ලා,Indian Anchovy,800,1197.5,1000,-0.1649269311064718,0.25,,කාරල්ලා,200.0
23,ජීලාවා,Barracuda,804,665,665,0,-0.17288557213930347,,කටුවල්ලා,0.0
24,ලින්නා,Indian Scade,405,402.66666666666663,346.6666666666667,-0.13907284768211908,-0.14403292181069954,,හාල් මැස්සා,0.0
25,ලේන පරව්,Rainbow runner,573.33,495,395,-0.20202020202020202,-0.3110425060610818,,බෝල්ලා,420.0
26,සුද්දා,Threadfin bream,520,550,502.5,-0.08636363636363636,-0.03365384615384615,,හබරලි,450.0
27,සූඩයා,White Sardinella,240,,,,,,හැඩැල්ලා,860.0
28,දැල්ලා,Cuttle fish(L),840,940,,,,,ජීලාවා,660.0
29,කකුළුවා,Sea Crabs,1450,1050,1100,0.047619047619047616,-0.2413793103448276,,ලින්නා,346.6666666666667
30,තිලාපියා,Thilapia (M),585,450,450,0,-0.23076923076923078,,සුද්දා,502.5
"* Selected Markets - Wellampitiya,  Battaramulla, Dematagoda,  Nugegoda,  Kirulapana, Maharagama  ",,,,,,,,,සුඩයා,0.0
,,,,,,,,,සුරා පරව්,430.0
** Prices of Pony fish and Kawakawa reported only from Baththaramulla,,,,,,,,,පියාමැස්සා,0.0
,,,,,,,,,සවරා,1500.0
,,,,,,,,,බට්ටා,450.0
,,,,,,,,,ගොඩයා,0.0
,,,,,,,,,කලම් කූරි,0.0
,,,,,,,,,අඟයා,400.0
,,,,,,,,,මෝදා,600.0
,,,,,,,,,තිරලි,350.0
,,,,,,,,,මොරල්ලා,0.0
,,,,,,,,,ඉස්සා (S),0.0
,,,,,,,,,ඉස්සා (M),1150.0
,,,,,,,,,ඉස්සා (L),1326.6666666666667
,,,,,,,,,කකුළුවා (L),1100.0
,,,,,,,,,කකුළුවා (S),0.0
,,,,,,,,,දැල්ලා (S),0.0
,,,,,,,,,දැල්ලා (L),525.0
,,,,,,,,,ඇටවල්ලා,350.0
,,,,,,,,,අලගොඩුවා,0.0
,,,,,,,,,මෝදා කලමි,0.0
,,,,,,,,,තිලපියා,0.0
,,,,,,,,,ලුලා,0.0
,,,,,,,,,ගොඩුවා,0.0
,,,,,,,,,මුහුදු කුකුළා,240.0
,,,,,,,,,පානතඹුවා,0.0
,,,,,,,,,කහ පරව්,450.0
,,,,,,,,,බයිටා,0.0
,,,,,,,,,නගරි,0.0
,,,,,,,,,පුළුන්නා,480.0
,,,,,,,,,මූදිල්ලා,0.0
,,,,,,,,,වන්න පරා,0.0
,,,,,,,,,කලංදා,0.0
,,,,,,,,,දිවුලා,0.0
,,,,,,,,,වව්වාලයා,0.0
,,,,,,,,,පීලි දැල්ලා,800.0
,,,,,,,,,කෙලවල්ලා (S),485.0
,,,,,,,,,හිගුරා,0.0
,,,,,,,,,ජීලාවා (S),0.0
,,,,,,,,,තෝරා (S),0.0
,,,,,,,,,බලයා  (S),0.0
,,,,,,,,,රතු දැල්ලා,480.0
,,,,,,,,,රතු ගල්මාළු,0.0
,,,,,,,,,කිරල පරා,380.0
,,,,,,,,,අංජිලා (s),0.0
,,,,,,,,,දැල්ලා (කපන),600.0
,,,,,,,,,සාවාලයා,0.0
,,,,,,,,,තෝරා (කපන),0.0
,,,,,,,,,පන්නා,0.0
,,,,,,,,,පරව් (කපන),0.0
,,,,,,,,,තලපත් (කපන),900.0
,,,,,,,,,කකුළුවා මස්,0.0
,,,,,,,,,සාලයා,0.0
,,,,,,,,,තම්බුවා,0.0
,,,,,,,,,ඉස්සා (head less),0.0
,,,,,,,,,දැල්ලා (corn),790.0
,,,,,,,,,ජීලාවා (කපන),0.0
,,,,,,,,,කුම්බලා (S),0.0
,,,,,,,,,කෙලවල්ලා කූරි,570.0
,,,,,,,,,කිරි මෝරා,690.0
,,,,,,,,,තලපත් කූරි,0.0
,,,,,,,,,ඉස්සා Flowery,0.0
,,,,,,,,,කෙලවල්ලා (කපන),0.0
,,,,,,,,,තලපත් කෑලි,380.0
,,,,,,,,,සෙරයා,0.0
,,,,,,,,,කොස්සා,0.0
,,,,,,,,,අන්ගුලුවා,0.0
,,,,,,,,,කුනිස්සා,0.0
,,,,,,,,,කොරලි,0.0
,,,,,,,,,සප්පරා,680.0
,,,,,,,,,අංජීලා,1100.0
,,,,,,,,,කොප්පරා (Mid Cut),1100.0
,,,,,,,,,බබරා,0.0
,,,,,,,,,බෝල්ලා (S),0.0
,,,,,,,,,ඉස්සා (Clearn),0.0
,,,,,,,,,මුහුදු ඉස්සා,0.0
,,,,,,,,,කොප්පරා (Marlin),0.0
,,,,,,,,,පරා ඔලු,0.0
,,,,,,,,,ඇටිස්සා (S),0.0
,,,,,,,,,ලින්නා (S),0.0
,,,,,,,,,ෆාම් ඉස්සා,0.0
,,,,,,,,,කිරි ඉස්සා,0.0
,,,,,,,,,කට්ලට් මාඵ,0.0
,,,,,,,,,හැඩැල්ලා (S),0.0
,,,,,,,,,කීරමින් සාලයා,0.0
,,,,,,,,,කටු මැස්සා,0.0
,,,,,,,,,මල් ඉස්සා,0.0
,,,,,,,,,දැල්ලා (CLEARN),0.0
,,,,,,,,,මෝරා (කපන),0.0
,,,,,,,,,බල කූරි,0.0
,,,,,,,,,පරා පැටව්,625.0
,,,,,,,,,සැමන් පරව්,0.0
,,,,,,,,,පරාටි,0.0
,,,,,,,,,ලේන පරව් (s),0.0
,,,,,,,,,වැව් මාඵ,0.0
,,,,,,,,,ගිරවා,0.0
,,,,,,,,,කොප්පරා,950.0
,,,,,,,,,කෙලවල්ලා (S),0.0
,,,,,,,,,තොරා කූරි,0.0
,,,,,,,,,තෙප්පිලි,0.0
,,,,,,,,,බතලයා,0.0
,,,,,,,,,පරා කෑලි,0.0
,,,,,,,,,ගල් මාඵ (කපන),800.0
,,,,,,,,,සුදු ඉස්සා,0.0
,,,,,,,,,,0.0
,,,,,,,,,,0.0

--- 02-WHOLESALE.csv ---

Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Variety,,,2019,2020,,"% Change 4th week September 2019, compared to:",,,,,,,,,
Sinhala Name,,Common Name,4th week September,3rd week September,4th week September,Last week ,Last Year,,,,,,Sinhala Name,3rd week Avg.,4th week avg.
1,තෝරා,Seer (Nl),1282.14,1275,1391,0.09098039215686274,0.08490492457921903,,,තෝරා බිලී,1583.3333333333333,,තෝරා බිලී,1275,1391
2,පරව් (ලොකු),Trevally (L),540,630,626,-0.006349206349206349,0.15925925925925927,,,තෝරා නයිලෝන්,1233.3333333333333,,තෝරා නයිලෝන්,900,1037.5
3,ගල්මාළු (ලොකු),Rock fish (L),425,,475,,0.11764705882352941,,,පරව් (ලොකු),614.0,,පරව් (ලොකු),630,670
