Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Variety,,,2024,2025,,% Change   compared to:4th week of April 2025,, ,,,,,,,,,
Sinhala Name,,Common Name,4th week of April,3rd week of April,4th week of April,Last week ,Last Year,, , ,,,,, ,, 
1,තෝරා,Seer,3363.33,3793.33,3805,0.0030764526155119837,0.13131925799728247,, , ,, ,,,,,
2,පරව් (ලොකු),Trevally (L),2313.33,2510,2580,0.027888446215139442,0.11527538224118482, , , , ,,,,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2126.67,2280,2320,0.017543859649122806,0.09090738102291372,, ,,,,,,,,
4,තලපත්,Sail fish,2563.33,2965,2906,-0.019898819561551432,0.13368157825952962,,, ,, ,,,,,
5,බලයා,Skipjack tuna,1210,1980,1870,-0.05555555555555555,0.5454545454545454,,,, ,,,,,,
6,කෙළවල්ලා,Yellowfin tuna,1996,2620,2688.33,0.0260801526717557,0.3468587174348697,,, ,, ,, ,,,
7,සාලයා (මට්ට),Sardinella,696.67,715,780,0.09090909090909091,0.11961186788579965,,, , ,, ,,,,
8,මෝරා,Shark,2120,2090,1980,-0.05263157894736842,-0.0660377358490566,,,,,,,,,,
9,හුරුල්ලා,Herrings,960,1310,1360,0.03816793893129771,0.4166666666666667,, ,,,,,,,,
10,කුම්බලා,Indian mackerel,1203.33,1303.33,1304,0.0005140678109151733,0.08365951152219264,,,,,,,,,,
11,කාරල්ලා,Pony fish,,480,,,,,, ,,,,,,,
12,කටුවල්ලා,Katuwalla,735,,,,,, ,,,,,,,,
13,හාල්මැස්සා,Anchovies,880,590,620,0.05084745762711865,-0.29545454545454547,,,, ,,,,,,
14,ඉස්සා (M),Prawns (M),2236,2487.5,2488,0.00020100502512562814,0.11270125223613596,, , ,,,,,,,
15, කොප්පරා,Marlins,3170,3260,3240,-0.006134969325153374,0.022082018927444796,,,,,,,,,,
16,අලගොඩුවා,Frigate tuna,1220,1240,1253.33,0.010749999999999942,0.02731967213114748,,, ,,,,,,,
17,ඇටවල්ලා,Kawakawa,1240,1355,1295,-0.04428044280442804,0.04435483870967742,,, ,,,,,,,
18,ඇටිස්සා,Red Bream(L),1710,,1820, ,0.06432748538011696,,,,, ,,,,,
19,බෝල්ලා,Big eye scade,1170,1210,1293.33,0.06886776859504126,0.10541025641025635,,,,, ,,,,,
20,ගින්නටි පරව්,Ginnati paraw,1626.67,,1740,, ,,, ,,, ,,,,
21,හබරලි,Needle fish,1360,1210,1260,0.04132231404958678,-0.07352941176470588,,, ,,,,,,,
22,හැඩැල්ලා,Indian Anchovy,1440,2100,,, ,,                                                                                                                                                                                                                                                                                                                                     ,,,,,,,,
23,ජීලාවා,Barracuda(L),2040,,2490, ,0.22058823529411764,,,,,,,,,,
24,ලින්නා,Indian Scade,1016.67,1106.67,1196.67,0.08132505624983057,0.17704859984065638,,, ,,,,,,,
25,ලේන පරව්,Rainbow runner,1190,1273.33,1310,0.028798504708127566,0.10084033613445378,,,,,,,,,,
26,සුද්දා,Threadfin bream,1296,1220,1346.67,0.10382786885245908,0.039097222222222276,,,,,,,,,,
27,සූඩයා,White Sardinella,460,495,510,0.030303030303030304,0.10869565217391304,,,,, ,,,,,
28,දැල්ලා,Cuttle fish,1850,2120,2200,0.03773584905660377,0.1891891891891892,,,,,,,,,,
29,කකුළුවා,Sea Crabs(L),2673.33,,2580, ,-0.03491151485226288,,,,,,,,,,
30,තිලාපියා,Thilapia (M),1050,1050,,,,,,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,, ,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,,
,,,,,,,, ,,,, ,,,,,
