Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Variety,,,2021,2022,,"% Change 4th  week of Dec. 2022, compared to:",, ,,,,,
Sinhala Name,,Common Name,4th week of  Dec.,3rd week of  Dec.,4th week of  Dec.,Last week ,Last Year,,,,,,
1,තෝරා,Seer (L),1100,2200,2325,0.056818181818181816,1.1136363636363635,,,,,,
2,පරව් (ලොකු),Trevally (L),820,1250,1360,0.088,0.6585365853658537,  ,, , ,,
3,ගල්මාළු (ලොකු),Rock fish (L),,1185.71,1500,0.2650648134872776,, ,,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),,840,1080,0.2857142857142857,,,,,, , 
5,තලපත්,Sail fish,1441.67,1608.33,1792.86,0.11473391654697729,0.24359943676430793,,,,,,
6,බලයා,Skipjack tuna,513.33,783.33,825,0.05319597104668525,0.6071532932032024,,,,,,
7,කෙළවල්ලා,Yellowfin tuna,856.25,1092.86,1414.29,0.2941181853119339,0.6517255474452555, ,,,,,
8,සාලයා (මට්ට),Sardinella,228.57,416.43,535.71,0.2864346949067071,1.3437458984118653,,,,,,
9,මෝරා,Sharks,500,1316.67,1110,-0.15696415958440615,1.22,,,,,,
10,හුරුල්ලා,Herrings,441,685.77,721.43,0.05199994167140582,0.6358956916099772,,,,,,
11,කුම්බලා,Indian Mackerel,465.71,750,800,0.06666666666666667,0.7178072190848382,,,,,,
12,කාරල්ලා,Pony fish,100,362.5,420,0.15862068965517243,3.2,,,,,,
13,කටුවල්ලා,Katuwalla,225,554.17,500,-0.09774978797120011,1.2222222222222223,,, ,, ,
14,හාල්මැස්සා,Anchovy,283.33,500,501,0.002,0.7682560971305545,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",933.33,1441.67,1480,0.026587221763649048,0.5857199489998178,,,,,,
16, කොප්පරා,Marlins,1683.33,2057.14,2242.86,0.09028068094539034,0.33239471761330236,, ,,,,
17,අලගොඩුවා,Frigate tuna(L),511.25,825,800,-0.030303030303030304,0.5647921760391198,,,,,,
18,ඇටවල්ලා,Kawakawa,620,878.57,966.67,0.10027658581558659,0.5591451612903225,,,,,,
19,ඇටිස්සා,Red Bream(L),833.33,1160,1475,0.27155172413793105,0.7700070800283201,,,,,,
20,බෝල්ලා,Big eye scade,438.57,750,771.43,0.028573333333333267,0.7589666415851517,,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,600,1125,1075,-0.044444444444444446,0.7916666666666666,, ,,, ,
22,හබරලි,Needle fish,625,895.86,890,-0.006541200634027654,0.424,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1030,1260,1542.86,0.2244920634920634,0.4979223300970873,, ,,,,
24,ජීලාවා,Barracuda(L),700,1116.67,1300,0.16417562932647956,0.8571428571428571,,, ,,,
25,ලින්නා,Indian Scad(L),458.33,950,842.86,-0.11277894736842103,0.8389806471319793,,,,,,
26,ලින්නා,Indian Scad(S),396,783.33,740,-0.05531512900054899,0.8686868686868687,,,,,,
27,ලේන පරව්,Rainbow Runner,457.5,735.77,735.71,-8.154722263743484e-05,0.6081092896174864,,,,,,
28,සුද්දා,Threadfin  Bream,597.5,890,1000,0.12359550561797752,0.6736401673640168,,,,,,
29,සූඩයා,White Sardinella,118,269.29,304.29,0.12997140629061604,1.5787288135593223,,,,,,
30,දැල්ලා,Squids /Cuttle fish,1025,1658.3,1572.86,-0.05152264367122961,0.5344975609756096,,,,,,
31,කකුළුවා(L),Sea Crabs(L),1125,1766.67,2450,0.38678983624559193,1.1777777777777778,,,, ,,
32,තිලාපියා,Tilapia (M),450,550,600,0.09090909090909091,0.3333333333333333,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,
