Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Variety,,,2019,2020,2021,,"% Change 4th week of Dec. 2021, compared to:",,, ,
Sinhala Name,,Common Name,4th week of Dec.,4th week of Dec.,3rd week of Dec.,4th week of Dec.,Last week ,Last Year,2019.0,,
1,තෝරා,Seer (Nl),1566.67,1381,1266.67,1100,-0.1315812326809667,-0.20347574221578565,-0.29787383431099085,,
2,පරව් (ලොකු),Trevally (L),540,687.5,875,820,-0.06285714285714286,0.19272727272727272,0.5185185185185185,,
3,ගල්මාළු (ලොකු),Rock fish (L),550,575,816.67,,,,, ,
4,ගල්මාළු (පොඩි),Rock fish (S),,,700,,,,,,
5,තලපත්,Sail fish,681.67,750,1380,1441.67,0.0446884057971015,0.9222266666666668,1.1149089735502518,,
6,බලයා,Skipjack tuna,387.5,262.5,451,513.33,0.1382039911308205,0.9555428571428572,0.3247225806451614,, 
7,කෙළවල්ලා,Yellowfin tuna,531.67,400,750,856.25,0.14166666666666666,1.140625,0.6104914702729137,,
8,සාලයා (මට්ට),Sardinella,210,275,265,228.57,-0.13747169811320759,-0.16883636363636367,0.0884285714285714,,
9,මෝරා,Sharks,626.67,333.3333333333333,725,500,-0.3103448275862069,0.5000000000000001,-0.20213190355370445,,
10,හුරුල්ලා,Herrings,450,312.5,428,441,0.030373831775700934,0.4112,-0.02,,
11,කුම්බලා,Indian Mackerel,550,366.6666666666667,443,465.71,0.05126410835214442,0.2701181818181817,-0.1532545454545455,,
12,කාරල්ලා,Pony fish,143.33,387.5,133.33,100,-0.24998124953123835,-0.7419354838709677,-0.3023093560315357,,
13,කටුවල්ලා,Katuwalla,220,97.5,383.33,225,-0.41303837424673256,1.3076923076923077,0.022727272727272728,,
14,හාල්මැස්සා,Anchovy,300,325,310,283.33,-0.08603225806451618,-0.12821538461538468,-0.05556666666666672,,
15,ඉස්සා (M),"Prawns (M) 3""",925,975,900,933.33,0.037033333333333376,-0.042738461538461496,0.00900540540540545,,
16, කොප්පරා,Marlins,770,816.6666666666666,1560,1683.33,0.07905769230769226,1.0612204081632652,1.186142857142857,,
17,අලගොඩුවා,Frigate tuna(L),400,166.66666666666666,450,511.25,0.1361111111111111,2.0675000000000003,0.278125,,
18,ඇටවල්ලා,Atawalla,466.67,216.66666666666666,515,620,0.20388349514563106,1.8615384615384618,0.32856193884329393,,
19,ඇටිස්සා,Red Bream(L),625,600,800,833.33,0.041662500000000054,0.3888833333333334,0.33332800000000007,,
20,බෝල්ලා,Big eye scade,438,366.6666666666667,431.67,438.57,0.01598443255264433,0.1960999999999999,0.001301369863013683,,
21,ගින්නටි පරව්,Ginnati Paraw,600,600,616.67,600,-0.027032286311965817,0,0.0,,
22,හබරලි,Needle fish,465,383.3333333333333,595,625,0.05042016806722689,0.6304347826086958,0.34408602150537637,,
23,හැඩැල්ලා,Indian Anchovies,1150,766.6666666666666,1067.67,1030,-0.03528243745726682,0.3434782608695653,-0.10434782608695652,,
24,ජීලාවා,Barracuda(L),700,350,766.67,700,-0.08696049147612397,1,,,
25,ලින්නා,Indian Scad(L),309,325,464.17,458.33,-0.012581597259624775,0.4102461538461538,0.4832686084142394,, 
26,ලින්නා,Indian Scad(S),,,369,396,0.07317073170731707,,,,
27,ලේන පරව්,Rainbow Runner,432,450,462.5,457.5,-0.010810810810810811,0.016666666666666666,0.059027777777777776,,
28,සුද්දා,Threadfin  Bream,650,416.6666666666667,650,597.5,-0.08076923076923077,0.43399999999999994,-0.08076923076923077,,
29,සූඩයා,White Sardinella,151,237.5,129.17,118,-0.08647518773709056,-0.5031578947368421,-0.2185430463576159,,
30,දැල්ලා,Squids /Cuttle fish,825,450,1081.25,1025,-0.05202312138728324,1.2777777777777777,0.24242424242424243,,
31,කකුළුවා(L),Sea Crabs(L),475,412.5,1516.67,1125,-0.2582433884760693,1.7272727272727273,1.368421052631579,,
32,තිලාපියා,Tilapia (M),374,337.5,280,450,0.6071428571428571,0.3333333333333333,0.20320855614973263,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,
