"","","","","","Wholesale","","","","","","",""
"","Lak","","CFC Outlets","","Market,","","","","","","",""
"Year","","","","","","","","","","","",""
"","Sathosa","","Mobile","","operation","Foreign","Landing","Private","Inland","","",""
"","","Hospitals","","Total","","","","","","Import","","Total"
"","outlets &","","Trucks, Vans,","","Dev &","Vessels","Centers","Suppliers","Fish","","",""
"","co-op city","","etc","","Colombo","","","","","","",""
"","","","","","Region","","","","","","",""
"2010","256","338","2,864","3,458","998","515","1,262","416","21","","336","3,548"
"2011","510","200","4,035","4,745","1,209","694","1,787","1,017","29","","243","4,979"
"2012","429","232","3,949","4,610","1,178","980","1,799","838","-","","71","4,866"
"2013","255","201","3,521","3,977","1,230","1,212","-","1,328","-","","478","4,248"
"2014","172","202","3,565","3,939","736","872","1,893","466","-","","148","4,115"
"2015","54","193","3,414","3,661","791","-","1,977","396","-","","102","3,266"
"2016","159","196","3,506","3,861","478","-","2,409","732","-","-","","3,619"
"2017","133","222","3,027","3,382","493","-","2,598","680","-","","-","3,771"
