"","","","","","","Value of Exports by Countries","","","","",""
"","Total","","","","","","","","","",""
"","","European Union","","Other European","","U. S. A.","","Japan","","Other Non European",""
"Year","Quantity","","","","","","","","","",""
"","(Mn)","Value","","Value","","Value","","Value","","Value",""
"","","","%","","%","","%","","%","","%"
"","","(RsMn)","","(RsMn)","","(RsMn)","","(RsMn)","","(RsMn)",""
"2010","19,834","12,987","65.5","446","2.2","1,150","5.8","1,867","9.4","3,384","17.1"
"2011","21,876","11,272","51.5","633","2.9","1,921","8.8","3,429","15.7","4,621","21.1"
"2012","26,363","10,677","40.5","620","2.4","5,101","19.3","5,376","20.4","4,590","17.4"
"2013","31,792","13,377","42.1","610","1.9","5,624","17.7","4,909","15.4","7,272","22.9"
"2014","34,797","14,138","40.6","855","2.5","6,881","19.8","4,261","12.2","8,662","24.9"
"2015","24,716","4,774","19.3","1,096","4.4","7,551","30.6","2,712","11.0","8,583","34.7"
"2016","26,802","5,239","19.5","1,091","4.1","8,777","32.7","2,757","10.3","8,938","33.4"
"2017","39,230","11,052","28.2","1,458","3.7","10,140","25.8","3,190","8.1","13,390","34.1"
"2018","47,948","16,024","33.4","1,496","3.1","11,239","23.4","3,783","7.9","15,407","32.1"
"Source :  Custom Returns/ Statistics Unit -  Ministry of Fisheries and Aquatic Resources Development","","","","","","","","","","",""
