"1 Negombo","Thora (Seer)
     
460","Paraw (Trevally)
      
600","Balaya (Skipjack 
tuna)
    
3,120","tuna)
    
8,350","Tuna Like fishes 
(other blood fishes)
    
1,220","Thalapath (Billfish)
    
1,680","Mora/Maduwa 
(Sharks/Skates)
   
1,450","Rock fish (Mullets)
    
1,500","Shore Seine (Small 
fish)
       
7,470","Issa (Prawns)
       
820","Pokirissa (lobster)
       
20","Kakuluwa (Crabs)
       
210","Other fish
    
2,820","Total
       
29,720"
"2 Colombo","250","440","210","100","1,240","100","260","1,030","1,440","180","45","80","560","5,935"
"3 Kalutara","310","2,370","4,080","1,100","6,150","1,070","1,000","760","25,370","40","40","10","140","42,440"
"4 Galle","480","1,900","6,230","8,580","3,910","460","530","280","24,940","90","80","30","240","47,750"
"5 Matàra","210","270","10,210","6,360","5,700","1,930","590","290","3,130","10","10","10","80","28,800"
"6 Tangalla","480","1,110","26,360","5,410","7,790","14,420","1,330","1,890","8,050","50","90","10","1,060","68,050"
"7 Kalmunai","550","1,590","2,750","840","860","620","530","2,220","8,540","340","100","340","1,600","20,880"
"8 Batticaloa","1,080","2,330","1,460","1,010","1,270","910","510","2,560","6,090","2,030","10","320","3,920","23,500"
"9 Trincomalee","610","2,810","1,820","5,460","7,890","970","300","4,250","7,150","500","40","410","1,200","33,410"
"10 Mullaithivu","580","710","120","70","300","150","270","490","1,820","330","10","260","360","5,470"
"11 Kilinochchi","20","750","10","40","120","30","960","1,270","2,430","1,920","30","2,160","2,100","11,840"
"12 Jaffna","1,740","4,460","90","70","400","3,300","2,060","7,670","14,480","5,070","5","2,390","2,730","44,465"
"13 Mannar","540","1,390","20","-","190","3,820","1,490","1,430","4,670","2,560","10","2,400","2,860","21,380"
"14 Puttalam","370","2,010","640","900","1,700","790","1,660","2,370","14,650","2,940","40","2,610","5,210","35,890"
"15 Chilaw","110","950","840","670","5,780","2,930","680","3,090","13,020","740","10","270","820","29,910"
"Total","7,790","23,690","57,960","38,960","44,520","33,180","13,620","31,100","143,250","17,620","540","11,510","25,700","449,440"
