"","","Summary Statistics at a Glance","","","",""
"","Description","Unit","","Indicator","",""
"6.2","Marine Fishing Households","Numbers","190,960","188,690","183,650","181,880"
"6.3","Inland Fishing Households","Numbers","48,900","49,450","54,170","56250"
"6.4","Marine Fishers (Men & women)","Numbers","221,560","218,830","220,870","218130"
"6.5","Inland Fishers (Men & women)","Numbers","54,450","54,520","60,595","61590"
"6.6","Marine Fishing Household Population","Numbers","830,560","827,480","802,340","795190"
"6.7","Inland Fishing Household Population","Numbers","207,410","210,160","216,270","222270"
"6.8","Direct and Indirect Employments (Marine & Inland)","Numbers","575,000","580,000","582,000","583000"
"6.9","Fishing and Related Livelihoods","Million","2.7","2.7","2.7","2.7"
"6.10","Fisher Organizations (FO) - Marine","Numbers","927","802","808","977"
"6.11","Fisher Organizations (FO) - Inland","Numbers","337","287","319","434"
"6.12","No. of Memberships in FO - Marine","Numbers","86,410","85,208","86,347","83518"
"7. Fish Trade and Processing","","","2015","2016","2017","2018"
"7.1","Active Fish Sales Outlets of CFC","Numbers","98","95","103",""
"7.2","Fish Processing Plants (EU Approved)","Numbers","28","28","33",""
"7.3","Fish Packing Centers","Numbers","na","na","16",""
"7.3","Fish Processing Plants (Other)","Numbers","6","6","19",""
"","","Rs.Mn","24,716","26,802","39,230","47,949"
"7.4","Annual Export Earnings","","","","",""
"","","US$ (million)","182","184","257","295"
"7.5","Annual Export Volume","Mt","17,461","17,593","24,827","27,998"
"","","Rs.Mn","30,729","35,172","33,969","32726"
"7.6","Annual Import Expenditure","","","","",""
"","","US$ (million)","226","242","223","201"
"7.7","Annual Import Volume","Mt","120,046","115,693","106,020","84,463"
"","","Rs.Mn","(6,013)","(8,370)","5,261","15222"
"7.8","Balance of Fish Trade (9)","","","","",""
"","","US$ (million)","(44)","(57)","35","94"
"","","Mt","9,845","8,863","13,279","13,448"
"7.9","Volume of Tuna Export","","","","",""
"","","Percentage","56.4","50.4","53.5","48.0"
"","","Rs.Mn.","13,688","13,611","19,698","22,277"
"7.10","Value of Tuna Export","","","","",""
"","","Percentage","55.4","50.8","50.2","46.5"
"","","Mt","2,065","2,542","5,725","7597"
"7.11","Total Fish and Fishery Products Export to EU","","","","",""
"","","Percentage","11.8","14.4","23.1","27.1"
"7.12","Tuna Export to EU","Mt
Percentage","1,491
                  
15.1","1,739
                  
19.6","4,142
                  
31.2","4936
                  
36.7"
"8.  Spply of Fishery Products","","Unit","2015","2016","2017","2018"
"8.1","Supply of Dried fish","Mt","90,503","99,698","93,202","93426"
"","Imported volume","Mt","33,053","34,978","33,012","32176"
"","Domestically produced volume","Mt","57,450","64,720","60,190","61250"
"8.2","Supply of Canned fish","Mt","51,098","39,030","44,231","30793"
"","Imported volume","Mt","49,016","37,089","40,614","28068"
"","Domestically produced volume","Mt","2,082","1,941","3,617","2725"
"","","Millions of","","","",""
"","Domestically produced volume","","4.9","4.6","8.5",""
"","","cans ( 425g)","","","","6.4"
"Note:","(1). Coastal Resources Management Plan (CRMP), CCD-1997","","","","",""
