"","Gross","","","","",""
"","","","","Fishing","",""
"","","Agriculture","","","",""
"Year","Domestic","","","","",""
"","","Sector","","","",""
"","","","Marine","Inland","Total",""
"","Product (GDP)","","","","",""
"2011","7,219,106","637,567","96,627","11,916","","108,543"
"2012","8,732,463","650,510","117,495","13,244","","130,739"
"2013","9,592,125","735,382","137,651","13,460","","151,111"
"2014","10,361,151","829,577","141,987","16,043","","158,030"
"2015","10,950,621","896,229","146,923","15,305","","162,228"
"2016","11,996,083","890,925","159,310","14,307","","173,617"
"2017","13,418,287","1,044,218","159,132","18,603","","177,735"
"**2018","14,449,931","1,137,170","172,988","24,194","","197,182"
"Source:  National Accounts Reports, Department of Census and Statistics","","","","","",""
