Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Variety,,,2024,2025,,% Change   compared to:3rd week of Dec. 2025,, , ,, , ,,,,
Sinhala Name,,Common Name,3rd week of Dec.,2nd week of Dec.,3rd week of Dec.,Last week ,Last Year,, ,, , ,,,,
1,තෝරා,Seer (Ni-L),1870,2516.6666666666665,2316.6666666666665,-0.07947019867549669,0.23885918003565054,, , , ,, , , ,
2,පරව් (ලොකු),Trevally (L),1280,1492.857142857143,1317.857142857143,-0.11722488038277512,0.029575892857142884,  , , ,  , ,, ,,
3,ගල්මාළු (ලොකු),Rock fish (L),1180,1470,1400,-0.047619047619047616,0.1864406779661017, , , , , , ,,,
4,ගල්මාළු (පොඩි),Rock fish (S),860,1110,1040,-0.06306306306306306,0.20930232558139536,, , , , , ,, ,
5,තලපත්,Sail fish,1814.2857142857142,2014.2857142857142,1814.2857142857142,-0.09929078014184398,0,, , , , ,,,,
6,බලයා,Skipjack tuna,707.1428571428571,845.8333333333334,746.4285714285714,-0.11752287121745252,0.05555555555555563, , , , , , ,,,
7,කෙළවල්ලා,Yellowfin tuna,1316.6666666666667,1592.857142857143,1616.6666666666667,0.014947683109118114,0.22784810126582278, , , , , ,,,,
8,සාලයා (මට්ට),Sardinella,369.1666666666667,510,480,-0.058823529411764705,0.30022573363431143,,, , , , ,,,
9,මෝරා,Sharks,980,1287.5,1060,-0.1766990291262136,0.08163265306122448,,, , , , ,,,
10,හුරුල්ලා,Herrings,863.3333333333334,807.14,878.57,0.08849765839879087,0.017648648648648662,, ,, ,,, ,,
11,කුම්බලා,Indian Mackerel,975,1050,925,-0.11904761904761904,-0.05128205128205128,,,,,,,,,
12,කාරල්ලා,Pony fish,229.16666666666666,283.3333333333333,270.8333333333333,-0.04411764705882353,0.1818181818181818,, , , ,, , ,,
13,කටුවල්ලා,Katuwalla,566.6666666666666,531.25,357.14285714285717,-0.32773109243697474,-0.3697478991596638,, , , ,, ,,, 
14,හාල්මැස්සා,Anchovy,387.5,387.5,366.67,-0.05375483870967738,-0.05375483870967738,,, , , , ,,,
15,ඉස්සා (M),"Prawns (M) 3""",1889.2857142857142,1535.7142857142858,1835.7142857142858,0.19534883720930232,-0.02835538752362942,, , , ,,,,,
16, කොප්පරා,Marlins,2241.6666666666665,2428.5714285714284,1992.857142857143,-0.1794117647058823,-0.11099309612320757,, , , ,, ,,,
17,අලගොඩුවා,Frigate tuna(L),700,810,750,-0.07407407407407407,0.07142857142857142,,, ,,,,,,
18,ඇටවල්ලා,Kawakawa,881.25,1075,1012.5,-0.05813953488372093,0.14893617021276595,,, , , , , ,,
19,ඇටිස්සා,Red Bream(L),1208.3333333333333,1407.142857142857,1425,0.012690355329949263,0.1793103448275863,,,,,,,,,
20,බෝල්ලා,Big eye scade,795.8333333333334,805,741.6666666666666,-0.07867494824016567,-0.06806282722513098,,, , , ,,,,
21,ගින්නටි පරව්,Ginnati Paraw,1025,1050,1150,0.09523809523809523,0.12195121951219512,, , ,, , ,,,
22,හබරලි,Needle fish,940,1064.2857142857142,1135.7142857142858,0.06711409395973167,0.20820668693009126, , , , , , ,,,
23,හැඩැල්ලා,Indian Anchovies,1933.3333333333333,2225,1900,-0.14606741573033707,-0.01724137931034479,, , , , ,,,,
24,ජීලාවා,Barracuda(L),1190,1492.857142857143,1266.6666666666667,-0.1515151515151515,0.06442577030812331,, , , ,, ,,,
25,ලින්නා,Indian Scad(L),746.4285714285714,753.5714285714286,842.8571428571429,0.11848341232227495,0.1291866028708134,, , ,,,,,,
26,ලින්නා,Indian Scad(S),525,612.5,691.6666666666666,0.12925170068027206,0.3174603174603174,,,, ,,,, ,
27,ලේන පරව්,Rainbow Runner,691.6666666666666,685.7142857142857,653.5714285714286,-0.04687499999999996,-0.05507745266781409,,, , , , ,,,
28,සුද්දා,Threadfin  Bream,960,1166.6666666666667,1200,0.028571428571428505,0.25,,, ,, ,,,, 
29,සූඩයා,White Sardinella,254.16666666666666,342.85714285714283,325,-0.052083333333333266,0.27868852459016397, ,, ,,, , ,,
30,දැල්ලා,Squids /Cuttle fish(Peeli),1632.142857142857,1983.3333333333333,2128.5714285714284,0.07322929171668666,0.3041575492341356,,,, , , ,,,
31,කකුළුවා(L),Sea Crabs(L),1758.3333333333333,2271.4285714285716,1950,-0.1415094339622642,0.10900473933649293,, ,, ,,,,,
32,තිලාපියා,Tilapia (M),,,,,,,,,, ,,, ,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,, ,,,,,
,,,,,,,,,, ,,,,,,
,,,,,,,,, ,,,,,,,
,,,,,,,,,,, ,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,,,
