--- 01-Wholesale.csv ---

Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Variety,,,2022,2023,,"% Change 4th week of July 2023, compared to:",, ,,,,,,
Sinhala Name,,Common Name,4th  week of July,3rd  week of July,4th  week of July,Last week ,Last Year,,, , , ,,
1,තෝරා,Seer (L),2437.5,2841.6666666666665,3066.67,0.07918005865102648,0.2581210256410257,, ,,,,,
2,පරව් (ලොකු),Trevally (L),1442.86,1308.3333333333333,1390,0.06242038216560516,-0.03663557101867118,  , , ,, ,, 
3,ගල්මාළු (ලොකු),Rock fish (L),1650,1391.6666666666667,1450,0.0419161676646706,-0.12121212121212122, ,, ,,,,
4,ගල්මාළු (පොඩි),Rock fish (S),1150,1025,1100,0.07317073170731707,-0.043478260869565216,, ,,, , ,
5,තලපත්,Sail fish,1870,2092.8571428571427,1814.29,-0.13310375426621154,-0.0297914438502674,,,,, ,,
6,බලයා,Skipjack tuna,1008.57,864.2857142857143,935.71,0.08263966942148758,-0.07224089552534778,,,,,, ,
7,කෙළවල්ලා,Yellowfin tuna,1600,1550,1457.14,-0.059909677419354775,-0.08928749999999994, ,,,,, ,
8,සාලයා (මට්ට),Sardinella,663.33,535.7142857142857,557.14,0.039994666666666734,-0.16008623158910354,,,,,,,
9,මෝරා,Sharks,,1250,1400,0.12,,,,,, ,,
10,හුරුල්ලා,Herrings,825,870,725,-0.16666666666666666,-0.12121212121212122,,,,,,,
11,කුම්බලා,Indian Mackerel,1078.57,1058.3333333333333,1164.29,0.1001165354330709,0.0794756019544397,,,,,,,
12,කාරල්ලා,Pony fish,590,375,440,0.17333333333333334,-0.2542372881355932,,,,,,,
13,කටුවල්ලා,Katuwalla,625,550,675,0.22727272727272727,0.08,,, ,,,,
14,හාල්මැස්සා,Anchovy,675,600,480,-0.2,-0.28888888888888886,,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1328.57,1475,1400,-0.05084745762711865,0.053764573940402134,,,,,,,
16, කොප්පරා,Marlins,2062.5,2528.5714285714284,2475,-0.021186440677966052,0.2,, ,,,,,
17,අලගොඩුවා,Frigate tuna(L),800,915,950,0.03825136612021858,0.1875,,,,,,,
18,ඇටවල්ලා,Kawakawa,1000,1005,1060,0.05472636815920398,0.06,,, ,,,,
19,ඇටිස්සා,Red Bream(L),1900,1483.3333333333333,1640,0.10561797752808995,-0.1368421052631579,,,,,,,
20,බෝල්ලා,Big eye scade,950,968.75,1120,0.15612903225806452,0.17894736842105263,,,, ,,,
21,ගින්නටි පරව්,Ginnati Paraw,1216.67,1337.5,1470,0.09906542056074766,0.20821586790173172,, ,,, ,,
22,හබරලි,Needle fish,966.67,1083.3333333333333,1335.71,0.23296307692307705,0.38176420081310075,,,,,,,
23,හැඩැල්ලා,Indian Anchovies,1217.5,1200,1416.67,0.1805583333333334,0.16358932238193025,, , ,,,,
24,ජීලාවා,Barracuda(L),1533.33,1500,1460,-0.02666666666666667,-0.04782401700873258,,, ,,,,
25,ලින්නා,Indian Scad(L),740,764.2857142857143,771.43,0.00934766355140174,0.04247297297297291,,,,,,,
26,ලින්නා,Indian Scad(S),612.5,529.1666666666666,600,0.1338582677165355,-0.02040816326530612,,,,,,,
27,ලේන පරව්,Rainbow Runner,815,864.2857142857143,935.71,0.08263966942148758,0.1481104294478528,,,,,,,
28,සුද්දා,Threadfin  Bream,1170.83,1437.5,1220,-0.15130434782608695,0.04199584909850284,,, ,,,,
29,සූඩයා,White Sardinella,440,400,433.33,0.08332499999999995,-0.015159090909090945,,,,,, ,
30,දැල්ලා,Squids /Cuttle fish,1375,1560,1720,0.10256410256410256,0.2509090909090909,,,,,,,
31,කකුළුවා(L),Sea Crabs(L),2500,2020,2262.5,0.12004950495049505,-0.095,,,, ,,,
32,තිලාපියා,Tilapia (M),500,,,,,,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,,

--- 02-Retail.csv ---

Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Variety,,,2022,2023,2023,"% Change 4th week of July 2023, compared to:",,,
Sinhala Name,,Common Name,Average of 4th week of July,Average of 3rd week of July,Average of 4th week of July,Last week ,Last Year,,
1,තෝරා,Seer,3656.66,4220,4345,0.02962085308056872,0.1882428226851827,,
2,පරව් (ලොකු),Trevally (L),2688,2999,2904,-0.03167722574191397,0.08035714285714286,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2480,2230,2167,-0.028251121076233184,-0.12620967741935485,,
4,තලපත්,Sail fish,2795,3220,3220,0,0.1520572450805009,,
5,බලයා,Skipjack tuna,1796.66,1690,1747,0.03372781065088758,-0.027640176772455602,,
6,කෙළවල්ලා,Yellowfin tuna,2630,2798.33,2773.3,-0.008944620541537184,0.05448669201520919,,
7,සාලයා (මට්ට),Sardinella,910,772,795,0.029792746113989636,-0.12637362637362637,,
8,මෝරා,Shark,1960,2100,2150,0.023809523809523808,0.09693877551020408,,
9,හුරුල්ලා,Herrings,1167.5,1206.25,1136,-0.058238341968911915,-0.026980728051391862,,
10,කුම්බලා,Indian mackerel,1390,1463,1468,0.003417634996582365,0.05611510791366906,, 
11,කාරල්ලා,Pony fish,700,700,,,,,
12,කටුවල්ලා,Katuwalla,,,,,,,
13,හාල්මැස්සා,Anchovies,905,1060,980,-0.07547169811320754,0.08287292817679558,,
14,ඉස්සා (M),Prawns (M),1658.75,1898,1822.5,-0.03977871443624868,0.0987189148455162,,
15, කොප්පරා,Marlins,3085,3847,3830,-0.004419027813880946,0.24149108589951376,,
16,අලගොඩුවා,Frigate tuna,1040,1130,1160,0.02654867256637168,0.11538461538461539,,
17,ඇටවල්ලා,Kawakawa,1120,1355,1353,-0.0014760147601476014,0.2080357142857143,,
18,ඇටිස්සා,Red Bream(L),,1890,2100,0.1111111111111111,,,
19,බෝල්ලා,Big eye scade,1276.67,1370,1387,0.012408759124087591,0.08642013989519604,,
20,ගින්නටි පරව්,Ginnati paraw,1570,,1900,,,,
21,හබරලි,Needle fish,,,,,,,
22,හැඩැල්ලා,Indian Anchovy,1752.5,1681.25,1712.5,0.01858736059479554,-0.02282453637660485,,
23,ජීලාවා,Barracuda,2613.33,2913,2830,-0.028492962581531067,0.0829095445274803,,
24,ලින්නා,Indian Scade,998,1075,1082,0.0065116279069767444,0.0841683366733467,,
25,ලේන පරව්,Rainbow runner,1180,1314,1327,0.00989345509893455,0.12457627118644068,,
26,සුද්දා,Threadfin bream,1596.66,1535,1357,-0.11596091205211727,-0.15010083549409398,,
27,සූඩයා,White Sardinella,700,575,590,0.02608695652173913,-0.15714285714285714,,
28,දැල්ලා,Cuttle fish,1716.67,1920,1933,0.0067708333333333336,0.1260172310345028,,
29,කකුළුවා,Sea Crabs(L),3340,2915,3090,0.060034305317324184,-0.0748502994011976,,
30,තිලාපියා,Thilapia (M),920,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,
,,,,,,, ,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,, ,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
