Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Variety,,,2024,2025,,% Change   compared to:1st week of July 2025,, ,,,, ,,
Sinhala Name,,Common Name,1st week of July,4th week of June,1st week of July,Last week ,Last Year,, , ,,,,
1,තෝරා,Seer,4575,4870,4845,-0.00513347022587269,0.05901639344262295,, , ,, ,,
2,පරව් (ලොකු),Trevally (L),2446.67,2693.33,2616,-0.028711669197610368,0.0692083525771763, , , , ,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2140,2470,2520,0.020242914979757085,0.17757009345794392,, ,, , ,,
4,තලපත්,Sail fish,3113.33,3213.33,3163.33,-0.015560182116371491,0.016059974368280907,,, ,, ,,
5,බලයා,Skipjack tuna,1275,1950,1973.33,0.011964102564102528,0.5477098039215685,,,, ,,,
6,කෙළවල්ලා,Yellowfin tuna,2063.33,2676,2640,-0.013452914798206279,0.2794851041762588,,, ,, ,, 
7,සාලයා (මට්ට),Sardinella,648,933.33,920,-0.014282193864978133,0.41975308641975306,,, , ,, ,
8,මෝරා,Shark,2153.33,1990,2050,0.03015075376884422,-0.047986142393409245,,,,,,,
9,හුරුල්ලා,Herrings,1025,1690,1520,-0.10059171597633136,0.48292682926829267,, ,,,,,
10,කුම්බලා,Indian mackerel,1200,1580,1540,-0.02531645569620253,0.2833333333333333,,,,,,,
11,කාරල්ලා,Pony fish,360,,540,,0.5,,, ,,,,
12,කටුවල්ලා,Katuwalla,,,,,,, ,,,,,
13,හාල්මැස්සා,Anchovies,760,,820,,0.07894736842105263,,,, ,,,
14,ඉස්සා (M),Prawns (M),1990,2010,1940,-0.03482587064676617,-0.02512562814070352,, , ,,,,
15, කොප්පරා,Marlins,3680,3766.67,3666.66,-0.026551303936899227,-0.0036250000000000396,,,,,,,
16,අලගොඩුවා,Frigate tuna,933.33,1260,1270,0.007936507936507936,0.3607191454255193,,, , ,,,
17,ඇටවල්ලා,Kawakawa,1013.33,1293.33,1310,0.012889208477341494,0.2927674104191132,,, , ,,,
18,ඇටිස්සා,Red Bream(L),1780,1820,1890,0.038461538461538464,0.06179775280898876,,,,, ,,
19,බෝල්ලා,Big eye scade,1073.33,1540,1560,0.012987012987012988,0.45342066279708954,,,,, ,,
20,ගින්නටි පරව්,Ginnati paraw,1510,1650,1666.67,0.010103030303030346,0.10375496688741727,,, ,,, ,
21,හබරලි,Needle fish,1020,1520,1520,0,0.49019607843137253,,, ,,,,
22,හැඩැල්ලා,Indian Anchovy,1590,2493.33,1805,-0.27606855089378457,0.13522012578616352,,                                                                                                                                                                                                                                                                                                                                     ,,,,,
23,ජීලාවා,Barracuda(L),2226.67,2890,2740,-0.05190311418685121,0.23053708003431128,,,,,,,
24,ලින්නා,Indian Scade,825,1020,998.33,-0.021245098039215645,0.21009696969696975,,, ,,,,
25,ලේන පරව්,Rainbow runner,1040,1146.67,1085,-0.053781820401684936,0.04326923076923077,,,,,,,
26,සුද්දා,Threadfin bream,1493.33,1526.67,1540,0.008731421983794747,0.03125230190245965,,,,,,,
27,සූඩයා,White Sardinella,360,696.67,633.33,-0.0909182252716493,0.7592500000000001,,,,, ,,
28,දැල්ලා,Cuttle fish,2100,2100,2180,0.0380952380952381,0.0380952380952381,,,,,,,
29,කකුළුවා,Sea Crabs(L),2693.33,,3290,,0.2215361652675313,,,,,,,
30,තිලාපියා,Thilapia (M),,1020,933.33,-0.08497058823529408,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,, ,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,
,,,,,,,, ,,,, ,,
