Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Variety,,,2021,2022,,"% Change 2nd week of Oct. 2022, compared to:",,,,,
Sinhala Name,,Common Name,Average of Oct.2nd week,Average of Oct.1st week,Average of Oct.2nd week,Last week ,Last Year,,,,
1,තෝරා,Seer,2296.67,3690,3335,-0.09620596205962059,0.45210239172366945,,,,
2,පරව් (ලොකු),Trevally (L),1590,2826.66,2326.67,-0.1768836718954525,0.46331446540880505,,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),1290,2693.33,2140,-0.20544456119376384,0.6589147286821705,,,,
4,තලපත්,Sail fish,1635,2746.66,2885,0.0503666271034639,0.764525993883792,,,,
5,බලයා,Skipjack tuna,840,1600,1252.5,-0.2171875,0.49107142857142855,,,,
6,කෙළවල්ලා,Yellowfin tuna,1506,2606.66,2332,-0.10536855592981051,0.548472775564409,,,,
7,සාලයා (මට්ට),Sardinella,325,793.33,702.5,-0.1144920776978055,1.1615384615384616,,,,
8,මෝරා,Shark,1140,2110,1780,-0.15639810426540285,0.5614035087719298,,,, 
9,හුරුල්ලා,Herrings,540,864,870,0.006944444444444444,0.6111111111111112,,,,
10,කුම්බලා,Indian mackerel,725,1086.66,1102,0.014116651022398834,0.52,,,,
11,කාරල්ලා,Pony fish,500,,680,,0.36,,,,
12,කටුවල්ලා,Katuwalla,,,,,,,,,
13,හාල්මැස්සා,Anchovies,450,1010,1020,0.009900990099009901,1.2666666666666666,,,,
14,ඉස්සා (M),Prawns (M),1291.25,1920,1940,0.010416666666666666,0.5024201355275896,,,,
15, කොප්පරා,Marlins,1800,3393.33,3695,0.08890087318356897,1.0527777777777778,,,, 
16,අලගොඩුවා,Frigate tuna,530,1190,1120,-0.058823529411764705,,,,,
17,ඇටවල්ලා,Kawakawa,535,1260,1126.66,-0.10582539682539677,1.105906542056075,,,,
18,ඇටිස්සා,Red Bream,,,,,,,,,
19,බෝල්ලා,Big eye scade,600,1020,1086.66,0.06535294117647067,0.8111000000000002,,,,
20,ගින්නටි පරව්,Ginnati paraw,,1520,1346.66,-0.11403947368421047,,,,,
21,හබරලි,Needle fish,700,,1100,,0.5714285714285714,,,,
22,හැඩැල්ලා,Indian Anchovy,1100,1640,1486.66,-0.09349999999999994,0.351509090909091,,,,
23,ජීලාවා,Barracuda,1240,2240,2235,-0.002232142857142857,0.8024193548387096,,,,
24,ලින්නා,Indian Scade,560,1124,1066,-0.051601423487544484,0.9035714285714286,,,,
25,ලේන පරව්,Rainbow runner,640,1190,1186.66,-0.0028067226890755616,0.8541562500000002,,,,
26,සුද්දා,Threadfin bream,785,1413.33,1291.25,-0.08637756221123158,0.6449044585987261,,,,
27,සූඩයා,White Sardinella,,580,480,-0.1724137931034483, ,,,,
28,දැල්ලා,Cuttle fish,1133.33,2100,1840,-0.12380952380952381,0.6235341868652556,,,,
29,කකුළුවා,Sea Crabs(L),,3240,2470,-0.23765432098765432,,,,,
30,තිලාපියා,Thilapia (M),640,980,875,-0.10714285714285714,0.3671875,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,
**Retail Price collection done by over the phone,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,, ,,,,,,
