Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Variety,,,2019,2020,2021,,"% Change 1st  week of December 2021, compared to:",,
Sinhala Name,,Common Name,December 1st  week average,December 1st  week average,November 4th  week average,December 1st  week average,Last week ,Last Year,2019.0
1,තෝරා,Seer,1505,1320,2400,2438,0.015833333333333335,0.8469696969696969,0.6199335548172757
2,පරව් (ලොකු),Trevally (L),991.17,1160,1680,1595,-0.050595238095238096,0.375,0.6092093182804161
3,ගල්මාළු (ලොකු),Rock Fish (L),726.67,1080,1380,1243.33,-0.09903623188405802,0.1512314814814814,0.7109967385470709
4,තලපත්,Sail fish,1198.33,1238,1970,2006.67,0.01861421319796958,0.6208966074313409,0.6745554229636246
5,බලයා,Skipjack tuna,820,,930,970,0.043010752688172046,,0.18292682926829268
6,කෙළවල්ලා,Yellowfin tuna,1030.5,1010,1590,1568.33,-0.013628930817610109,0.5528019801980197,0.5219116933527413
7,සාලයා (මට්ට),Sardinella,266.67,210,333.33,340,0.02001020010200107,0.6190476190476191,0.27498406269921616
8,මෝරා,Shark,960,750,,,,,
9,හුරුල්ලා,Herrings,450,,604,576,-0.046357615894039736,,0.28
10,කුම්බලා,Indian mackerel,575,400,610,580,-0.04918032786885246,0.45,0.008695652173913044
11,කාරල්ලා,Pony fish,180,,,,,,
12,කටුවල්ලා,Katuwalla,320,,,,,,
13,හාල්මැස්සා,Anchovies,560,310,,,,,
14,ඉස්සා (M),Prawns (M),1280.6,1069,1266.67,1300,0.026313088649766652,0.21608980355472404,0.01514914883648297
15, කොප්පරා,Marlins,895,950,2080,2120,0.019230769230769232,1.231578947368421,1.3687150837988826
16,අලගොඩුවා,Frigate tuna,420,,640,,,,
17,ඇටවල්ලා,Kawakawa,580,400,700,660,,,
18,ඇටිස්සා,Red Bream,800,560,,,,,
19,බෝල්ලා,Big eye scade,470,365,720,620,-0.1388888888888889,0.6986301369863014,0.3191489361702128
20,ගින්නටි පරව්,Ginnati paraw,960,560,980,980,0,0.75,0.020833333333333332
21,හබරලි,Needle fish,637.5,460,,,,,
22,හැඩැල්ලා,Indian Anchovy,900,,1180,1280,0.0847457627118644,,
23,ජීලාවා,Barracuda,760,,1200,1220,0.016666666666666666,,0.6052631578947368
24,ලින්නා,Indian Scade,440,340,634,607.5,-0.0417981072555205,0.7867647058823529,0.3806818181818182
25,ලේන පරව්,Rainbow runner,563.33,410,680,680,,0.6585365853658537,0.207107734365292
26,සුද්දා,Threadfin bream,668,520,573.33,700,0.22093733103099428,0.34615384615384615,0.04790419161676647
27,සූඩයා,White Sardinella,240,,,,,,
28,දැල්ලා,Cuttle fish,1040,550,1280,1320,0.03125,1.4,
29,කකුළුවා,Sea Crabs(L),1333.33,,,1796.67,,,
30,තිලාපියා,Thilapia (M),450,,680,700,0.029411764705882353,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,440,,,,,
(price collection was done by over the phone due to prevailling covid pandemic ),,,,,,,,,
