Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variety,,,2018,2019,,"% Change 1st week October 2019, compared to:",
Sinhala Name,,Common Name,1st week October,4th week September,1st week October,Last week ,Last Year
1,තෝරා,Seer (Nl),1067,1282.14,1171.43,-0.08634782473052867,0.09787253983130277
2,පරව් (ලොකු),Trevally (L),470,540,460,-0.14814814814814814,-0.02127659574468085
3,ගල්මාළු (ලොකු),Rock fish (L),425,425,466.67,0.09804705882352945,0.09804705882352945
4,තලපත්,Sail fish,592,704,718.33,0.020355113636363695,0.21339527027027033
5,බලයා,Skipjack tuna,232,360,380,0.05555555555555555,0.6379310344827587
6,කෙළවල්ලා,Yellowfin tuna,448,682.86,611.43,-0.10460416483613048,0.364799107142857
7,සාලයා (මට්ට),Sardinella,145,196.43,148,-0.24655093417502422,0.020689655172413793
8,මෝරා,Sharks,522,613,550,-0.10277324632952692,0.05363984674329502
9,හුරුල්ලා,Herrings,190,356.43,322.14,-0.09620402323036786,0.6954736842105262
10,කුම්බලා,Indian Mackerel,333,460,394.29,-0.14284782608695648,0.18405405405405412
11,කාරල්ලා,Pony fish,134,163.33,150,-0.08161391048796922,0.11940298507462686
12,කටුවල්ලා,Katuwalla,180,­,200,­,0.1111111111111111
13,හාල්මැස්සා,Anchovy,248,282.5,250,-0.11504424778761062,0.008064516129032258
14,ඉස්සා (M),"Prawns (M) 3""",763,1028.57,939.29,-0.08680012055572298,0.23104849279161202
15, කොප්පරා,Marlins,804,892,883,-0.010089686098654708,0.09825870646766169
16,අලගොඩුවා,Frigate tuna,250,360,236.67,-0.34258333333333335,-0.05332000000000005
17,ඇටවල්ලා,Atawalla,258,375,325,-0.13333333333333333,0.2596899224806202
18,ඇටිස්සා,Red Bream,575,700,612.5,-0.125,0.06521739130434782
19,බෝල්ලා,Big eye scade,324,309.17,258.57,-0.16366400362260253,-0.20194444444444445
20,ගින්නටි පරව්,Ginnati Paraw,436,630,532.14,-0.15533333333333335,0.22050458715596327
21,හබරලි,Needle fish,350,486.43,370.71,-0.23789651131714742,0.059171428571428514
22,හැඩැල්ලා,Indian Anchovies,463,721.43,645.83,-0.10479187169926385,0.39488120950323985
23,ජීලාවා,Barracuda,500,700,515.83,-0.26309999999999995,0.031660000000000084
24,ලින්නා,Indian Scad,223,325.71,193.57,-0.4056983205919376,-0.13197309417040362
25,ලේන පරව්,Rainbow Runner,270,375,340,-0.09333333333333334,0.25925925925925924
26,සුද්දා,Threadfin  Bream,339,458.33,313.57,-0.31584229703488753,-0.07501474926253689
27,සූඩයා,White Sardinella,83,143.33,113.57,-0.2076327356450151,0.3683132530120481
28,දැල්ලා,Squids /Cuttle fish,753,875,840,-0.04,0.11553784860557768
29,කකුළුවා,Sea Crabs,450,600,600,0,0.3333333333333333
30,තිලාපියා,Tilapia (M),294,362.5,340,-0.06206896551724138,0.1564625850340136
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,
