Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Variety,,,2024,2025,,% Change   compared to:1st week of  Sep. 2025,, , ,, , ,,,,
Sinhala Name,,Common Name,1st week of Sep,4th  week of Aug,1st week of Sep,Last week ,Last Year,, , , , ,,,,
1,තෝරා,Seer (Ni-L),1921.43,2700,2500,-0.07407407407407407,0.30111427426448006,, , , ,, , , ,
2,පරව් (ලොකු),Trevally (L),1120,1228.5714285714287,1400,0.13953488372093015,0.25,  , , , , ,, ,,
3,ගල්මාළු (ලොකු),Rock fish (L),1083.33,1358.3333333333333,1500,0.10429447852760743,0.38461964498352313, , , , , , ,,,
4,ගල්මාළු (පොඩි),Rock fish (S),880,878.5714285714286,1100,0.2520325203252033,0.25,, , , , , ,, ,
5,තලපත්,Sail fish,1950,1807.142857142857,1700,-0.0592885375494071,-0.1282051282051282,, ,,, ,,,,
6,බලයා,Skipjack tuna,821.43,750,900,0.2,0.09565026843431583, , , , , ,,,,
7,කෙළවල්ලා,Yellowfin tuna,1300,1335.7142857142858,1500,0.12299465240641706,0.15384615384615385, , ,, , ,,,,
8,සාලයා (මට්ට),Sardinella,303.57,310.7142857142857,331.6666666666667,0.06743295019157092,0.09255416103918929,,,, , ,,,,
9,මෝරා,Sharks,1025,1121.4285714285713,1200,0.07006369426751602,0.17073170731707318,,, , , , ,,,
10,හුරුල්ලා,Herrings,621.43,882.1428571428571,795.8333333333334,-0.0978407557354925,0.28064839697686533,,,, ,,, ,,
11,කුම්බලා,Indian Mackerel,778.57,1114.2857142857142,1140,0.023076923076923137,0.46422287013370656,,,,,,,,,
12,කාරල්ලා,Pony fish,283.33,320,266.6666666666667,-0.1666666666666666,-0.05881245661713655,, , , ,, ,,,
13,කටුවල්ලා,Katuwalla,475,,,,,, , , ,, ,,, 
14,හාල්මැස්සා,Anchovy,587.5,410,500,0.21951219512195122,-0.14893617021276595,,, , , , ,,,
15,ඉස්සා (M),"Prawns (M) 3""",1585.71,1750,2000,0.14285714285714285,0.2612646700846939,, , , ,,,,,
16, කොප්පරා,Marlins,2225,2142.8571428571427,2100,-0.01999999999999991,-0.056179775280898875,, , , ,, ,,,
17,අලගොඩුවා,Frigate tuna(L),540,783.3333333333334,950,0.21276595744680846,0.7592592592592593,,, ,,,,,,
18,ඇටවල්ලා,Kawakawa,716.67,957.1428571428571,1062.5,0.11007462686567168,0.48255124394770266,,, , , , , ,,
19,ඇටිස්සා,Red Bream(L),1342.86,1428.5714285714287,1520,0.06399999999999993,0.13191248529258456,,,,,,,,,
20,බෝල්ලා,Big eye scade,666.67,771.43,975,0.2638865483582439,0.4624926875365624,,,, , ,,,,
21,ගින්නටි පරව්,Ginnati Paraw,1020,1275,1233.3333333333333,-0.03267973856209156,0.20915032679738554,, , ,, , ,,,
22,හබරලි,Needle fish,871.43,1085.7142857142858,1133.33,0.04385657894736829,0.300540490917228, , , , , , ,,,
23,හැඩැල්ලා,Indian Anchovies,1166.67,1307.142857142857,1400,0.07103825136612024,0.19999657143836724,, , , , ,,,,
24,ජීලාවා,Barracuda(L),1280,1366.6666666666667,1500,0.09756097560975603,0.171875,, , , ,, ,,,
25,ලින්නා,Indian Scad(L),439.29,619.2857142857143,887.5,0.4331026528258361,1.02030549295454,, , ,,,,,,
26,ලින්නා,Indian Scad(S),341.67,540,816.6666666666666,0.5123456790123456,1.3902205832138221,,,, ,,,, ,
27,ලේන පරව්,Rainbow Runner,537.5,553.5714285714286,816.67,0.4752748387096774,0.5193860465116278,,, , ,, ,,,
28,සුද්දා,Threadfin  Bream,660.71,1100,933.33,-0.15151818181818177,0.41261673048690045,,, , , ,,,, 
29,සූඩයා,White Sardinella,219.29,256.67,318.75,0.24186698874040588,0.4535546536549775, ,, ,,, , ,,
30,දැල්ලා,Squids /Cuttle fish(Peeli),1557.14,1614.2857142857142,1840,0.13982300884955756,0.18165354431842987,,,,, , ,,,
31,කකුළුවා(L),Sea Crabs(L),2275,2466.6666666666665,2266.6666666666665,-0.08108108108108109,-0.00366300366300373,,,, ,,,,,
32,තිලාපියා,Tilapia (M),,475,,,,,,,, ,,, ,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,, ,,,,,,,
,,,,,,,,,,, ,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,,,
