Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Variety,,,2022,2023,,"% Change 3rd week of Mar. 2023, compared to:",, ,,,,,
Sinhala Name,,Common Name,3rd week of Mar.,2nd week of Mar.,3rd week of Mar.,Last week ,Last Year,,,,,,
1,තෝරා,Seer (L),1200,1666.67,1628.57,-0.02285995428009152,0.35714166666666664,,,,,,
2,පරව් (ලොකු),Trevally (L),804.17,1171.43,1014.29,-0.13414373884909905,0.26128803611176743,  ,, , ,,
3,ගල්මාළු (ලොකු),Rock fish (L),800,1121.43,1100,-0.019109529796777384,0.375, ,, ,,,
4,ගල්මාළු (පොඩි),Rock fish (S),600,908.33,816.67,-0.10091046205674158,0.3611166666666666,, ,,, , 
5,තලපත්,Sail fish,1200,1307.14,1328.57,0.0163945713542542,0.10714166666666661,,,,,,
6,බලයා,Skipjack tuna,516.67,728.57,689.29,-0.05391383120359071,0.33410107031567543,,,,,,
7,කෙළවල්ලා,Yellowfin tuna,875,1200,1135.71,-0.05357499999999997,0.2979542857142858, ,,,,,
8,සාලයා (මට්ට),Sardinella,257.5,425,339.29,-0.20167058823529407,0.31763106796116514,,,,,,
9,මෝරා,Sharks,750,966.67,875,-0.094830707480319,0.16666666666666666,,,,,,
10,හුරුල්ලා,Herrings,600,735.71,604.17,-0.17879327452392937,0.006949999999999932,,,,,,
11,කුම්බලා,Indian Mackerel,560,800,657.14,-0.178575,0.17346428571428568,,,,,,
12,කාරල්ලා,Pony fish,250,350,329.29,-0.059171428571428514,0.3171600000000001,,,,,,
13,කටුවල්ලා,Katuwalla,366.67,483.33,600,0.2413878716404941,0.6363487604658139,,, ,,,
14,හාල්මැස්සා,Anchovy,250,475,408.33,-0.14035789473684213,0.6333199999999999,,,,,,
15,ඉස්සා (M),"Prawns (M) 3""",1016.67,1342.86,1342.86,0,0.32084157101124255,,,,,,
16, කොප්පරා,Marlins,1375,1585.71,1642.86,0.03604063794767004,0.19480727272727266,, ,,,,
17,අලගොඩුවා,Frigate tuna(L),350,710,640,-0.09859154929577464,0.8285714285714286,,,,,,
18,ඇටවල්ලා,Kawakawa,556.25,816.67,700,-0.14286064138513715,0.25842696629213485,,, ,,,
19,ඇටිස්සා,Red Bream(L),816.67,1214.29,1128.57,-0.07059269202579288,0.38191680850282245,,,,,,
20,බෝල්ලා,Big eye scade,533.33,766.67,621.43,-0.18944265459715395,0.16518853242832748,,,,,,
21,ගින්නටි පරව්,Ginnati Paraw,650,1066.67,950,-0.10937778319442758,0.46153846153846156,, ,,, ,
22,හබරලි,Needle fish,675,892.86,764.29,-0.1439979392065946,0.13228148148148142,,,,,,
23,හැඩැල්ලා,Indian Anchovies,975,1192.86,1057.14,-0.1137769729892861,0.08424615384615394,, , ,,,
24,ජීලාවා,Barracuda(L),625,1050,1028.547,-0.02043142857142855,0.6456752,,, ,,,
25,ලින්නා,Indian Scad(L),531.67,765,657.14,-0.1409934640522876,0.23599225083228326,,,,,,
26,ලින්නා,Indian Scad(S),375,625,554.17,-0.11332800000000007,0.4777866666666666,,,,,,
27,ලේන පරව්,Rainbow Runner,546.67,714.29,678.57,-0.05000769995380016,0.24127901659136244,,,,,,
28,සුද්දා,Threadfin  Bream,626,985,821.43,-0.16606091370558382,0.3121884984025558,,, ,,,
29,සූඩයා,White Sardinella,172.5,364.29,250,-0.3137335639188559,0.4492753623188406,,,,,, 
30,දැල්ලා,Squids /Cuttle fish,1000,1464.29,1500,0.024387245695866283,0.5,,,,,,
31,කකුළුවා(L),Sea Crabs(L),2183.33,1871.43,2016.67,0.07760910106175492,-0.07633294096632202,,,, ,,
32,තිලාපියා,Tilapia (M),433.33,,500,,0.1538550296540743,,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,,,,
