Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Variety,,,2024,2025,,% Change   compared to:4th week of May 2025,, ,,,,,,
Sinhala Name,,Common Name,4th week of May,3rd week of May,4th week of May,Last week ,Last Year,, , ,,,,
1,තෝරා,Seer,3993.33,3832.5,4245,0.10763209393346379,0.06302259016910701,, , ,, ,,
2,පරව් (ලොකු),Trevally (L),3036,2876.67,2995,0.041134367167593056,-0.013504611330698288, , , , ,,,
3,ගල්මාළු (ලොකු),Rock Fish (L),2100,2393.33,2395,0.0006977725595718404,0.14047619047619048,, ,, , ,,
4,තලපත්,Sail fish,3100,2980,3068,0.02953020134228188,-0.01032258064516129,,, ,, ,,
5,බලයා,Skipjack tuna,1770,1850,2050,0.10810810810810811,0.15819209039548024,,,, ,,,
6,කෙළවල්ලා,Yellowfin tuna,2492,2826.67,2895,0.024173320550329513,0.1617174959871589,,, ,, ,, 
7,සාලයා (මට්ට),Sardinella,842.5,733.33,815,0.11136868803949103,-0.032640949554896145,,, , ,, ,
8,මෝරා,Shark,1920,1920,2060,0.07291666666666667,0.07291666666666667,,,,,,,
9,හුරුල්ලා,Herrings,1100,1560,1660,0.0641025641025641,0.509090909090909,, ,,,,,
10,කුම්බලා,Indian mackerel,1384,1410,1620,0.14893617021276595,0.17052023121387283,,,,,,,
11,කාරල්ලා,Pony fish,,,,,,,, ,,,,
12,කටුවල්ලා,Katuwalla,,,,,,, ,,,,,
13,හාල්මැස්සා,Anchovies,,750,,,,,,, ,,,
14,ඉස්සා (M),Prawns (M),2105,2437.5,2216.67,-0.09059692307692305,0.05304988123515443,, , ,,,,
15, කොප්පරා,Marlins,3580,3240,3493.33,0.07818827160493826,-0.02420949720670393,,,,,,,
16,අලගොඩුවා,Frigate tuna,1090,1293.33,1350,0.04381712324000841,0.23853211009174313,,, ,,,,
17,ඇටවල්ලා,Kawakawa,1360,1380,1422.5,0.030797101449275364,0.04595588235294118,,, ,,,,
18,ඇටිස්සා,Red Bream(L),1720,1890,1890,0,0.09883720930232558,,,,, ,,
19,බෝල්ලා,Big eye scade,1313.33,,1430,,0.08883525085089054,,,,, ,,
20,ගින්නටි පරව්,Ginnati paraw,1706.67,1693.33,1740,0.027561077876137596,0.019529258731916497,,, ,,, ,
21,හබරලි,Needle fish,1490,1390,1402.5,0.008992805755395683,-0.0587248322147651,,, ,,,,
22,හැඩැල්ලා,Indian Anchovy,1630,2060,2000,-0.02912621359223301,0.22699386503067484,,                                                                                                                                                                                                                                                                                                                                     ,,,,,
23,ජීලාවා,Barracuda(L),,2510,2633.33,0.04913545816733065,,,,,,,,
24,ලින්නා,Indian Scade,1105,1216,1272,0.046052631578947366,0.151131221719457,,, ,,,,
25,ලේන පරව්,Rainbow runner,1313.33,1113.33,,,,,,,,,,
26,සුද්දා,Threadfin bream,,,,,,,,,,,,
27,සූඩයා,White Sardinella,520,470,505,0.07446808510638298,-0.028846153846153848,,,,, ,,
28,දැල්ලා,Cuttle fish,2050,2190,2200,0.0045662100456621,0.07317073170731707,,,,,,,
29,කකුළුවා,Sea Crabs(L),,2715,2720,0.001841620626151013,,,,,,,,
30,තිලාපියා,Thilapia (M),,,1060,,,,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,,, ,,,
Maharagama and Dematagoda fish markets.,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,
,,,,,,,, ,,,, ,,
