Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Variety,,,2021,2022,,"% Change 1st week of Aug. 2022, compared to:",, ,
Sinhala Name,,Common Name,1st week of Aug.,4th week of July,1st week of Aug.,Last week ,Last Year,,
1,තෝරා,Seer (Nl),1433.33,2437.5,2437.5,0,0.7005853501984889,,
2,පරව් (ලොකු),Trevally (L),616.67,1442.86,1628.75,0.12883439834772611,1.641201939448976,  ,
3,ගල්මාළු (ලොකු),Rock fish (L),716.67,1650,1825,0.10606060606060606,1.546499783721936, , 
4,ගල්මාළු (පොඩි),Rock fish (S),533.33,1150,1566.67,0.36232173913043486,1.9375246095288097,,
5,තලපත්,Sail fish,1030,1870,1932.14,0.033229946524064226,0.875864077669903,,
6,බලයා,Skipjack tuna,410.71,1008.57,1028.57,0.01983005641651039,1.5043704803876212,,
7,කෙළවල්ලා,Yellowfin tuna,681.25,1600,1700,0.0625,1.4954128440366972, ,
8,සාලයා (මට්ට),Sardinella,275.71,663.33,787.5,0.1871918954366604,1.8562620144354578,,
9,මෝරා,Sharks,673.33,,1400,,1.079218213951554,,
10,හුරුල්ලා,Herrings,441.67,825,1018.75,0.23484848484848486,1.3065863653859213,,
11,කුම්බලා,Indian Mackerel,485.71,1078.57,1150,0.06622657778354679,1.3676679500113236,,
12,කාරල්ලා,Pony fish,265,590,775,0.3135593220338983,1.9245283018867925,,
13,කටුවල්ලා,Katuwalla,325,625,,,,,
14,හාල්මැස්සා,Anchovy,300,675,650,-0.037037037037037035,1.1666666666666667,,
15,ඉස්සා (M),"Prawns (M) 3""",750,1328.57,1375,0.0349473494057521,0.8333333333333334,,
16, කොප්පරා,Marlins,1170,2062.5,2185.71,0.059738181818181836,0.8681282051282052,,
17,අලගොඩුවා,Frigate tuna(L),420,800,1016.67,0.27083749999999995,1.420642857142857,,
18,ඇටවල්ලා,Kawakawa,464.29,1000,1080,0.08,1.3261323741627,,
19,ඇටිස්සා,Red Bream(L),831.25,1900,1780,-0.06315789473684211,1.1413533834586467,,
20,බෝල්ලා,Big eye scade,387.14,950,1150,0.21052631578947367,1.970501627318283,,
21,ගින්නටි පරව්,Ginnati Paraw,703,1216.67,1437.5,0.1815036123188703,1.0448079658605975,,
22,හබරලි,Needle fish,620,966.67,1270,0.3137885731428513,1.0483870967741935,,
23,හැඩැල්ලා,Indian Anchovies,830,1217.5,1425,0.1704312114989733,0.7168674698795181,,
24,ජීලාවා,Barracuda(L),750,1533.33,1675,0.09239367911669379,1.2333333333333334,,
25,ලින්නා,Indian Scad(L),390.71,740,1015.71,0.3725810810810811,1.5996519157431344,,
26,ලින්නා,Indian Scad(S),315,612.5,975,0.5918367346938775,2.0952380952380953,,
27,ලේන පරව්,Rainbow Runner,442,815,1045,0.2822085889570552,1.3642533936651584,, 
28,සුද්දා,Threadfin  Bream,525,1170.83,1100,-0.06049554589479252,1.0952380952380953,,
29,සූඩයා,White Sardinella,163.57,440,600,0.36363636363636365,2.6681543070245155,,
30,දැල්ලා,Squids /Cuttle fish,975,1375,1600,0.16363636363636364,0.6410256410256411,,
31,කකුළුවා(L),Sea Crabs(L),816.67,2500,2900,0.16, ,,
32,තිලාපියා,Tilapia (M),460,500,500,0,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,
